month,day,hour,min,n_px,n_p,truth
1,1,0,0,2.07,0.109,0
1,1,0,15,2.1,0.11,0
1,1,0,30,2.13,0.11,0
1,1,0,45,2.16,0.11,0
1,1,1,0,2.19,0.109,0
1,1,1,15,2.23,0.11,0
1,1,1,30,2.27,0.109,0
1,1,1,45,2.31,0.11,0
1,1,2,0,2.37,0.11,0
1,1,2,15,2.42,0.11,0
1,1,2,30,2.47,0.11,0
1,1,2,45,2.52,0.11,0
1,1,3,0,2.58,0.109,0
1,1,3,15,2.63,0.109,0
1,1,3,30,2.68,0.11,0
1,1,3,45,2.74,0.109,0
1,1,4,0,2.79,0.109,0
1,1,4,15,2.85,0.109,0
1,1,4,30,2.91,0.109,0
1,1,4,45,2.97,0.11,0
1,1,5,0,3.03,0.11,0
1,1,5,15,3.08,0.11,0
1,1,5,30,3.14,0.109,0
1,1,5,45,3.2,0.109,0
1,1,6,0,3.25,0.109,0
1,1,6,15,3.31,0.107,0
1,1,6,30,3.36,0.106,0
1,1,6,45,3.41,0.106,0
1,1,7,0,3.44,0.109,0
1,1,7,15,3.46,0.109,0
1,1,7,30,3.48,0.11,0
1,1,7,45,3.49,0.109,0
1,1,8,0,3.49,0.108,0
1,1,8,15,3.48,0.11,0
1,1,8,30,3.45,0.109,0
1,1,8,45,3.42,0.107,0
1,1,9,0,3.38,0.109,0
1,1,9,15,3.34,0.109,0
1,1,9,30,3.3,0.108,0
1,1,9,45,3.25,0.109,0
1,1,10,0,3.19,0.11,0
1,1,10,15,3.12,0.109,0
1,1,10,30,3.06,0.11,0
1,1,10,45,2.99,0.109,0
1,1,11,0,2.92,0.106,0
1,1,11,15,2.86,0.107,0
1,1,11,30,2.79,0.109,0
1,1,11,45,2.73,0.107,0
1,1,12,0,2.67,0.109,0
1,1,12,15,2.61,0.109,0
1,1,12,30,2.55,0.11,0
1,1,12,45,2.5,0.109,0
1,1,13,0,2.45,0.108,0
1,1,13,15,2.4,0.109,0
1,1,13,30,2.35,0.106,0
1,1,13,45,2.31,0.107,0
1,1,14,0,2.28,0.108,0
1,1,14,15,2.26,0.107,0
1,1,14,30,2.23,0.107,0
1,1,14,45,2.2,0.11,0
1,1,15,0,2.18,0.109,0
1,1,15,15,2.16,0.109,0
1,1,15,30,2.15,0.108,0
1,1,15,45,2.13,0.107,0
1,1,16,0,2.12,0.109,0
1,1,16,15,2.11,0.108,0
