iteration,precision,recall,f1Score,accuracy,trueNegativeRate,falsePositiveRate,mse
1,0.00,0.00,0.00,0.95,0.95,0.05,0.05
2,0.00,0.00,0.00,0.93,0.93,0.07,0.07
3,0.00,0.00,0.00,0.94,0.94,0.06,0.06
4,0.00,0.00,0.00,0.94,0.94,0.06,0.06
5,0.00,0.00,0.00,0.93,0.93,0.07,0.07
6,0.00,0.00,0.00,0.95,0.95,0.05,0.05
7,0.00,0.00,0.00,0.93,0.93,0.07,0.07
8,0.00,0.00,0.00,0.93,0.93,0.07,0.07
9,0.00,0.00,0.00,0.94,0.94,0.06,0.06
10,0.00,0.00,0.00,0.93,0.93,0.07,0.07
11,0.00,0.00,0.00,0.93,0.93,0.07,0.07
12,0.00,0.00,0.00,0.93,0.93,0.07,0.07
13,0.00,0.00,0.00,0.94,0.94,0.06,0.06
14,0.00,0.00,0.00,0.93,0.93,0.07,0.07
15,0.00,0.00,0.00,0.93,0.93,0.07,0.07
16,0.00,0.00,0.00,0.93,0.93,0.07,0.07
17,0.00,0.00,0.00,0.94,0.94,0.06,0.06
18,0.00,0.00,0.00,0.92,0.92,0.08,0.08
19,0.00,0.00,0.00,0.94,0.94,0.06,0.06
20,0.00,0.00,0.00,0.92,0.92,0.08,0.08
21,0.00,0.00,0.00,0.95,0.95,0.05,0.05
22,0.00,0.00,0.00,0.93,0.93,0.07,0.07
23,0.00,0.00,0.00,0.95,0.95,0.05,0.05
24,0.00,0.00,0.00,0.94,0.94,0.06,0.06
25,0.00,0.00,0.00,0.94,0.94,0.06,0.06
