id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,correlation_ids_0,0,,,0.58,0.57,0.56,0.59,0.56,0.56,0.57,0.55,0.57,0.56,0.57,0.57,0.57,0.55,0.57,0.56,0.57,0.56,0.57,0.57,0.57,0.58,0.57,0.55,0.57,14.17,0.57,true
1,correlation_ids_0,0.001953125,,,0.55,0.58,0.54,0.56,0.56,0.54,0.55,0.54,0.54,0.54,0.55,0.57,0.54,0.55,0.55,0.54,0.55,0.56,0.56,0.56,0.56,0.57,0.56,0.55,0.55,13.82,0.55,false
2,correlation_ids_0,0.00390625,,,0.57,0.58,0.57,0.59,0.56,0.56,0.57,0.57,0.57,0.56,0.58,0.57,0.57,0.57,0.57,0.57,0.56,0.55,0.58,0.58,0.57,0.58,0.56,0.55,0.56,14.22,0.57,true
3,correlation_ids_0,0.005859375,,,0.56,0.56,0.54,0.57,0.56,0.54,0.54,0.55,0.55,0.53,0.56,0.56,0.56,0.55,0.56,0.55,0.55,0.53,0.55,0.56,0.55,0.56,0.54,0.55,0.54,13.77,0.55,false
4,correlation_ids_0,0.0078125,,,0.50,0.50,0.50,0.52,0.49,0.50,0.50,0.49,0.49,0.50,0.50,0.50,0.51,0.50,0.49,0.49,0.49,0.51,0.51,0.50,0.49,0.50,0.48,0.49,0.50,12.45,0.50,false
5,correlation_ids_0,0.009765625,,,0.50,0.50,0.49,0.52,0.49,0.49,0.50,0.48,0.49,0.49,0.49,0.50,0.50,0.49,0.49,0.48,0.49,0.50,0.50,0.48,0.49,0.50,0.48,0.48,0.49,12.31,0.49,false
6,correlation_ids_0,0.01171875,,,0.58,0.60,0.58,0.59,0.59,0.57,0.60,0.56,0.56,0.57,0.58,0.57,0.59,0.59,0.58,0.59,0.57,0.57,0.58,0.59,0.58,0.59,0.56,0.59,0.58,14.51,0.58,true
7,correlation_ids_0,0.013671875,,,0.50,0.50,0.47,0.51,0.49,0.48,0.50,0.49,0.48,0.49,0.47,0.50,0.50,0.49,0.50,0.48,0.49,0.49,0.49,0.49,0.50,0.49,0.49,0.49,0.49,12.27,0.49,false
8,correlation_ids_0,0.015625,,,0.48,0.49,0.47,0.49,0.48,0.48,0.48,0.47,0.48,0.47,0.47,0.49,0.48,0.48,0.48,0.47,0.48,0.48,0.48,0.46,0.49,0.48,0.46,0.48,0.47,11.94,0.48,false
9,correlation_ids_0,0.017578125,,,0.48,0.47,0.46,0.49,0.47,0.47,0.47,0.46,0.48,0.48,0.47,0.49,0.47,0.47,0.48,0.47,0.47,0.48,0.48,0.48,0.49,0.47,0.47,0.47,0.48,11.87,0.47,false
10,correlation_ids_0,0.01953125,,,0.55,0.56,0.55,0.59,0.56,0.53,0.55,0.55,0.55,0.53,0.55,0.55,0.54,0.56,0.56,0.55,0.56,0.56,0.56,0.55,0.54,0.54,0.55,0.53,0.54,13.76,0.55,false
11,correlation_ids_0,0.021484375,,,0.48,0.49,0.46,0.49,0.48,0.48,0.48,0.47,0.48,0.48,0.48,0.48,0.47,0.48,0.49,0.49,0.49,0.47,0.49,0.48,0.49,0.49,0.49,0.49,0.47,12.04,0.48,false
12,correlation_ids_0,0.0234375,,,0.60,0.60,0.61,0.61,0.59,0.58,0.57,0.59,0.60,0.59,0.59,0.59,0.59,0.60,0.60,0.60,0.59,0.58,0.58,0.60,0.58,0.57,0.59,0.59,0.59,14.78,0.59,true
13,correlation_ids_0,0.025390625,,,0.54,0.56,0.54,0.56,0.55,0.55,0.55,0.54,0.55,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.55,0.56,0.54,0.55,0.54,0.55,0.55,13.74,0.55,false
14,correlation_ids_0,0.02734375,,,0.49,0.51,0.48,0.51,0.50,0.49,0.49,0.49,0.50,0.50,0.50,0.49,0.50,0.50,0.51,0.50,0.50,0.48,0.52,0.49,0.51,0.50,0.51,0.49,0.49,12.45,0.50,false
15,correlation_ids_0,0.029296875,,,0.52,0.51,0.51,0.54,0.53,0.51,0.51,0.51,0.52,0.51,0.51,0.53,0.51,0.50,0.51,0.50,0.51,0.52,0.52,0.50,0.52,0.52,0.52,0.50,0.52,12.86,0.51,false
16,correlation_ids_0,0.03125,,,0.59,0.58,0.58,0.59,0.59,0.59,0.58,0.59,0.58,0.58,0.59,0.58,0.59,0.58,0.59,0.60,0.59,0.61,0.59,0.56,0.61,0.59,0.59,0.60,0.57,14.69,0.59,true
