iteration,precision,recall,f1Score,accuracy,trueNegativeRate,falsePositiveRate,mse
1,0.20,1.00,0.33,0.98,0.98,0.02,0.02
2,0.29,1.00,0.44,0.99,0.99,0.01,0.01
3,0.22,1.00,0.36,0.99,0.99,0.01,0.01
4,0.18,1.00,0.31,0.98,0.98,0.02,0.02
5,0.20,1.00,0.33,0.98,0.98,0.02,0.02
6,0.22,1.00,0.36,0.99,0.99,0.01,0.01
7,0.33,1.00,0.50,0.99,0.99,0.01,0.01
8,0.20,1.00,0.33,0.98,0.98,0.02,0.02
9,0.22,1.00,0.36,0.99,0.99,0.01,0.01
10,0.25,1.00,0.40,0.99,0.99,0.01,0.01
11,0.20,1.00,0.33,0.98,0.98,0.02,0.02
12,0.20,1.00,0.33,0.98,0.98,0.02,0.02
13,0.14,1.00,0.25,0.98,0.98,0.02,0.02
14,0.33,1.00,0.50,0.99,0.99,0.01,0.01
15,0.22,1.00,0.36,0.99,0.99,0.01,0.01
16,0.18,1.00,0.31,0.98,0.98,0.02,0.02
17,0.17,1.00,0.29,0.98,0.98,0.02,0.02
18,0.20,1.00,0.33,0.98,0.98,0.02,0.02
19,0.22,1.00,0.36,0.99,0.99,0.01,0.01
20,0.20,1.00,0.33,0.98,0.98,0.02,0.02
21,0.18,1.00,0.31,0.98,0.98,0.02,0.02
22,0.18,1.00,0.31,0.98,0.98,0.02,0.02
23,0.29,1.00,0.44,0.99,0.99,0.01,0.01
24,0.22,1.00,0.36,0.99,0.99,0.01,0.01
25,0.25,1.00,0.40,0.99,0.99,0.01,0.01
