id,valueY,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,0,0,0.73,0.74,0.76,0.72,0.75,0.72,0.73,0.74,0.74,0.73,0.74,0.71,0.71,0.73,0.72,0.73,0.71,0.72,0.74,0.72,0.72,0.74,0.71,0.77,0.72,18.25,0.73,true
1,0.06666666666666667,0.00027839643652561246,0.54,0.53,0.53,0.55,0.53,0.53,0.53,0.55,0.53,0.54,0.53,0.52,0.54,0.53,0.55,0.52,0.54,0.52,0.53,0.55,0.54,0.53,0.53,0.54,0.54,13.37,0.53,false
2,0.13333333333333333,0.0005567928730512249,0.55,0.53,0.52,0.54,0.53,0.53,0.53,0.53,0.53,0.54,0.52,0.52,0.53,0.53,0.54,0.52,0.53,0.52,0.54,0.54,0.54,0.52,0.54,0.52,0.54,13.28,0.53,false
3,0.2,0.0008351893095768374,0.54,0.52,0.50,0.53,0.51,0.51,0.52,0.51,0.52,0.53,0.50,0.51,0.51,0.51,0.53,0.52,0.52,0.51,0.53,0.53,0.52,0.51,0.54,0.52,0.53,12.98,0.52,false
4,0.26666666666666666,0.0011135857461024498,0.50,0.49,0.49,0.50,0.47,0.47,0.49,0.48,0.48,0.49,0.49,0.48,0.48,0.49,0.49,0.48,0.49,0.48,0.48,0.49,0.48,0.49,0.48,0.48,0.48,12.12,0.48,false
5,0.3333333333333333,0.0013919821826280624,0.48,0.47,0.47,0.48,0.46,0.46,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.46,0.47,0.47,0.46,0.47,0.47,0.46,0.46,11.74,0.47,false
6,0.4,0.0016703786191536749,0.53,0.54,0.52,0.51,0.51,0.52,0.51,0.53,0.52,0.52,0.51,0.52,0.52,0.52,0.53,0.52,0.53,0.51,0.52,0.53,0.53,0.52,0.53,0.51,0.52,13.03,0.52,false
7,0.4666666666666667,0.0019487750556792874,0.49,0.48,0.47,0.46,0.46,0.46,0.47,0.48,0.46,0.48,0.47,0.47,0.48,0.46,0.47,0.47,0.47,0.46,0.46,0.47,0.47,0.48,0.47,0.47,0.46,11.74,0.47,false
8,0.5333333333333333,0.0022271714922048997,0.47,0.47,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.47,0.46,0.46,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.47,0.46,0.46,0.45,11.53,0.46,false
9,0.9333333333333333,0.0025055679287305124,0.50,0.48,0.48,0.48,0.47,0.47,0.48,0.47,0.47,0.49,0.47,0.48,0.48,0.46,0.49,0.46,0.47,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.46,11.84,0.47,false
