id,valueY,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,0,1,0.57,0.54,0.55,0.55,0.57,0.54,0.56,0.56,0.55,0.54,0.56,0.55,0.55,0.53,0.56,0.57,0.55,0.56,0.56,0.54,0.55,0.55,0.54,0.56,0.60,13.86,0.55,false
1,0.01282051282051282,0.002004008016032064,0.47,0.47,0.44,0.45,0.46,0.46,0.46,0.48,0.44,0.46,0.46,0.46,0.43,0.45,0.46,0.48,0.44,0.46,0.46,0.44,0.47,0.47,0.44,0.47,0.49,11.47,0.46,false
2,0.02564102564102564,0.004008016032064128,0.45,0.45,0.42,0.43,0.44,0.44,0.44,0.46,0.41,0.43,0.43,0.44,0.42,0.44,0.44,0.44,0.42,0.44,0.44,0.42,0.44,0.46,0.43,0.44,0.45,10.92,0.44,false
3,0.038461538461538464,0.006012024048096192,0.43,0.44,0.41,0.43,0.43,0.44,0.44,0.44,0.41,0.43,0.43,0.43,0.41,0.42,0.43,0.44,0.41,0.43,0.44,0.42,0.43,0.44,0.42,0.43,0.45,10.73,0.43,false
4,0.05128205128205128,0.008016032064128256,0.42,0.43,0.40,0.41,0.42,0.42,0.42,0.43,0.39,0.42,0.41,0.41,0.40,0.41,0.42,0.41,0.40,0.41,0.41,0.40,0.43,0.41,0.40,0.40,0.44,10.32,0.41,false
5,0.0641025641025641,0.01002004008016032,0.43,0.43,0.41,0.42,0.43,0.42,0.41,0.43,0.40,0.42,0.42,0.42,0.40,0.41,0.43,0.42,0.40,0.42,0.42,0.41,0.43,0.42,0.41,0.41,0.44,10.46,0.42,false
6,0.07692307692307693,0.012024048096192385,0.43,0.42,0.40,0.41,0.41,0.42,0.41,0.41,0.40,0.42,0.41,0.43,0.40,0.41,0.41,0.43,0.40,0.42,0.41,0.41,0.42,0.42,0.41,0.40,0.43,10.34,0.41,false
7,0.08974358974358974,0.014028056112224449,0.43,0.42,0.41,0.42,0.42,0.41,0.41,0.41,0.41,0.42,0.41,0.42,0.40,0.42,0.41,0.43,0.41,0.41,0.41,0.41,0.42,0.41,0.41,0.40,0.43,10.36,0.41,false
8,0.10256410256410256,0.01603206412825651,0.41,0.41,0.39,0.41,0.41,0.41,0.41,0.40,0.39,0.41,0.40,0.41,0.40,0.41,0.40,0.41,0.39,0.40,0.41,0.40,0.41,0.41,0.39,0.39,0.43,10.11,0.40,false
9,0.11538461538461539,0.018036072144288578,0.40,0.40,0.39,0.40,0.40,0.40,0.39,0.40,0.38,0.40,0.40,0.40,0.39,0.40,0.39,0.41,0.39,0.39,0.39,0.39,0.39,0.40,0.39,0.39,0.40,9.88,0.40,false
10,0.1282051282051282,0.02004008016032064,0.41,0.42,0.39,0.42,0.41,0.42,0.40,0.41,0.40,0.41,0.41,0.41,0.39,0.41,0.41,0.42,0.40,0.41,0.41,0.40,0.41,0.41,0.40,0.38,0.42,10.18,0.41,false
11,0.14102564102564102,0.022044088176352707,0.40,0.40,0.39,0.41,0.41,0.42,0.39,0.41,0.39,0.41,0.40,0.41,0.39,0.41,0.40,0.42,0.40,0.40,0.40,0.39,0.40,0.40,0.39,0.39,0.40,10.03,0.40,false
12,0.15384615384615385,0.02404809619238477,0.39,0.40,0.39,0.41,0.40,0.39,0.40,0.39,0.39,0.41,0.40,0.39,0.38,0.40,0.38,0.41,0.39,0.39,0.39,0.39,0.39,0.40,0.38,0.39,0.41,9.86,0.39,false
13,0.16666666666666666,0.026052104208416832,0.39,0.40,0.39,0.40,0.40,0.40,0.40,0.39,0.39,0.40,0.40,0.40,0.38,0.39,0.39,0.41,0.39,0.39,0.40,0.39,0.39,0.40,0.38,0.38,0.40,9.85,0.39,false
14,0.1794871794871795,0.028056112224448898,0.41,0.42,0.41,0.41,0.40,0.42,0.40,0.41,0.40,0.40,0.41,0.42,0.39,0.42,0.41,0.42,0.40,0.41,0.41,0.41,0.41,0.41,0.38,0.40,0.40,10.18,0.41,false
15,0.19230769230769232,0.03006012024048096,0.39,0.40,0.38,0.39,0.39,0.39,0.38,0.38,0.37,0.40,0.39,0.39,0.38,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.39,0.39,0.37,0.38,0.40,9.65,0.39,false
16,0.20512820512820512,0.03206412825651302,0.39,0.39,0.38,0.39,0.39,0.39,0.38,0.38,0.38,0.40,0.39,0.39,0.38,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.40,0.38,0.37,0.38,0.40,9.65,0.39,false
17,0.21794871794871795,0.03406813627254509,0.39,0.38,0.38,0.39,0.38,0.39,0.38,0.39,0.38,0.39,0.38,0.39,0.37,0.38,0.39,0.39,0.38,0.39,0.38,0.37,0.39,0.38,0.37,0.38,0.39,9.58,0.38,false
18,0.23076923076923078,0.036072144288577156,0.39,0.39,0.38,0.38,0.40,0.39,0.37,0.39,0.38,0.39,0.38,0.39,0.38,0.39,0.38,0.39,0.38,0.39,0.38,0.38,0.39,0.38,0.37,0.38,0.39,9.61,0.38,false
19,0.24358974358974358,0.03807615230460922,0.40,0.40,0.40,0.39,0.41,0.41,0.38,0.39,0.40,0.39,0.40,0.40,0.40,0.41,0.39,0.40,0.39,0.41,0.39,0.40,0.40,0.39,0.38,0.39,0.39,9.91,0.40,false
20,0.2564102564102564,0.04008016032064128,0.39,0.39,0.38,0.38,0.40,0.38,0.37,0.39,0.37,0.38,0.39,0.38,0.37,0.38,0.39,0.38,0.37,0.39,0.39,0.38,0.39,0.38,0.37,0.38,0.39,9.56,0.38,false
21,0.2692307692307692,0.04208416833667335,0.38,0.37,0.37,0.37,0.39,0.39,0.37,0.38,0.37,0.39,0.37,0.38,0.37,0.37,0.38,0.38,0.37,0.39,0.37,0.37,0.38,0.38,0.37,0.37,0.38,9.41,0.38,false
22,0.28205128205128205,0.04408817635270541,0.40,0.40,0.38,0.38,0.40,0.40,0.38,0.39,0.38,0.40,0.40,0.39,0.38,0.39,0.40,0.39,0.39,0.39,0.38,0.38,0.40,0.39,0.38,0.38,0.39,9.74,0.39,false
23,0.08974358974358974,0.04609218436873747,0.38,0.39,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.39,0.39,0.39,0.37,0.39,0.39,0.37,0.39,0.39,0.38,0.38,0.40,9.61,0.38,false
24,0.07692307692307693,0.04809619238476954,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.39,0.38,0.37,0.38,0.39,0.38,0.38,0.38,0.38,0.37,0.39,9.53,0.38,false
25,0.0641025641025641,0.050100200400801605,0.39,0.39,0.38,0.39,0.39,0.39,0.38,0.39,0.39,0.40,0.39,0.40,0.39,0.39,0.39,0.39,0.38,0.39,0.40,0.38,0.39,0.39,0.39,0.38,0.39,9.73,0.39,false
26,0.2948717948717949,0.052104208416833664,0.38,0.38,0.37,0.38,0.39,0.38,0.37,0.38,0.37,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.39,0.37,0.37,0.39,0.38,0.37,0.37,0.39,9.47,0.38,false
