iteration,precision,recall,f1Score,accuracy
1,1.00,0.50,0.67,0.99
2,0.75,0.50,0.60,0.99
3,0.75,0.50,0.60,0.99
4,0.75,0.50,0.60,0.99
5,1.00,0.50,0.67,0.99
6,1.00,0.50,0.67,0.99
7,1.00,0.50,0.67,0.99
8,1.00,0.50,0.67,0.99
9,1.00,0.50,0.67,0.99
10,1.00,0.50,0.67,0.99
11,1.00,0.50,0.67,0.99
12,1.00,0.50,0.67,0.99
13,1.00,0.50,0.67,0.99
14,1.00,0.50,0.67,0.99
15,1.00,0.50,0.67,0.99
16,1.00,0.50,0.67,0.99
17,1.00,0.50,0.67,0.99
18,1.00,0.50,0.67,0.99
19,0.75,0.50,0.60,0.99
20,0.75,0.50,0.60,0.99
21,1.00,0.50,0.67,0.99
22,0.75,0.50,0.60,0.99
23,1.00,0.50,0.67,0.99
24,0.75,0.50,0.60,0.99
25,0.75,0.50,0.60,0.99
