id,value_y,value_x,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,0.3043478260869568,0,0.58,0.59,0.56,0.60,0.58,0.56,0.60,0.60,0.61,0.60,0.60,0.59,0.58,0.58,0.59,0.55,0.59,0.58,0.59,0.60,0.58,0.59,0.60,0.62,0.58,14.70,0.59,true
1,0.3695652173913042,0.00021222410865874363,0.43,0.45,0.40,0.45,0.45,0.43,0.44,0.45,0.44,0.43,0.43,0.44,0.43,0.45,0.43,0.42,0.45,0.43,0.43,0.42,0.44,0.43,0.43,0.40,0.43,10.83,0.43,false
2,0.42391304347826103,0.00042444821731748726,0.41,0.43,0.44,0.44,0.44,0.42,0.44,0.45,0.44,0.44,0.43,0.44,0.44,0.46,0.42,0.44,0.42,0.44,0.43,0.43,0.46,0.44,0.45,0.44,0.44,10.93,0.44,false
3,0.47826086956521735,0.0006366723259762309,0.40,0.43,0.42,0.44,0.44,0.42,0.43,0.44,0.44,0.45,0.44,0.43,0.43,0.45,0.44,0.45,0.41,0.44,0.44,0.44,0.45,0.45,0.45,0.44,0.42,10.89,0.44,false
4,0.5326086956521742,0.0008488964346349745,0.38,0.40,0.40,0.41,0.41,0.40,0.39,0.40,0.40,0.42,0.41,0.40,0.42,0.43,0.40,0.43,0.40,0.41,0.40,0.41,0.41,0.42,0.42,0.42,0.42,10.21,0.41,false
5,0.5652173913043479,0.0010611205432937182,0.39,0.40,0.41,0.41,0.41,0.40,0.40,0.42,0.41,0.43,0.41,0.43,0.42,0.43,0.41,0.42,0.40,0.42,0.41,0.43,0.42,0.41,0.42,0.43,0.42,10.36,0.41,false
6,0.5978260869565221,0.0012733446519524619,0.41,0.41,0.41,0.43,0.41,0.40,0.41,0.39,0.41,0.41,0.40,0.41,0.42,0.41,0.40,0.41,0.40,0.41,0.41,0.41,0.43,0.41,0.43,0.40,0.42,10.26,0.41,false
7,0.6304347826086958,0.0014855687606112054,0.41,0.41,0.42,0.43,0.41,0.42,0.42,0.40,0.41,0.42,0.42,0.43,0.42,0.41,0.40,0.41,0.41,0.42,0.42,0.41,0.42,0.42,0.42,0.40,0.43,10.39,0.42,false
8,0.6521739130434784,0.001697792869269949,0.39,0.39,0.39,0.41,0.39,0.38,0.40,0.38,0.40,0.40,0.40,0.40,0.39,0.39,0.39,0.39,0.38,0.40,0.37,0.39,0.41,0.39,0.39,0.39,0.40,9.81,0.39,false
9,0.6847826086956521,0.0019100169779286927,0.38,0.39,0.40,0.40,0.38,0.40,0.39,0.38,0.40,0.39,0.39,0.39,0.40,0.39,0.39,0.39,0.38,0.41,0.37,0.39,0.40,0.38,0.40,0.38,0.41,9.78,0.39,false
