iteration,precision,recall,f1Score,accuracy,trueNegativeRate,falsePositiveRate,mse
1,0.33,0.50,0.40,0.99,1.00,0.00,0.01
2,0.33,0.50,0.40,0.99,1.00,0.00,0.01
3,0.50,0.50,0.50,1.00,1.00,0.00,0.00
4,0.00,0.00,0.00,0.99,1.00,0.00,0.01
5,0.33,0.50,0.40,0.99,1.00,0.00,0.01
6,0.17,0.50,0.25,0.99,0.99,0.01,0.01
7,0.00,0.00,0.00,0.99,1.00,0.00,0.01
8,0.00,0.00,0.00,0.99,1.00,0.00,0.01
9,0.25,0.50,0.33,0.99,0.99,0.01,0.01
10,0.33,0.50,0.40,0.99,1.00,0.00,0.01
11,0.17,0.50,0.25,0.99,0.99,0.01,0.01
12,0.25,0.50,0.33,0.99,0.99,0.01,0.01
13,0.25,0.50,0.33,0.99,0.99,0.01,0.01
14,0.33,0.50,0.40,0.99,1.00,0.00,0.01
15,0.33,0.50,0.40,0.99,1.00,0.00,0.01
16,0.20,0.50,0.29,0.99,0.99,0.01,0.01
17,0.67,1.00,0.80,1.00,1.00,0.00,0.00
18,0.25,0.50,0.33,0.99,0.99,0.01,0.01
19,0.33,0.50,0.40,0.99,1.00,0.00,0.01
20,0.25,0.50,0.33,0.99,0.99,0.01,0.01
21,0.00,0.00,0.00,0.99,1.00,0.00,0.01
22,0.25,0.50,0.33,0.99,0.99,0.01,0.01
23,0.17,0.50,0.25,0.99,0.99,0.01,0.01
24,0.00,0.00,0.00,0.99,1.00,0.00,0.01
25,0.25,0.50,0.33,0.99,0.99,0.01,0.01
