id,value_y,value_x,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,0,1,0.56,0.56,0.58,0.55,0.56,0.55,0.55,0.54,0.57,0.60,0.56,0.60,0.56,0.56,0.56,0.55,0.58,0.56,0.61,0.56,0.52,0.56,0.58,0.54,0.56,14.08,0.56,true
1,0.012345679012345678,0.002004008016032064,0.45,0.45,0.45,0.46,0.47,0.47,0.46,0.44,0.46,0.46,0.44,0.47,0.46,0.47,0.45,0.46,0.46,0.45,0.46,0.44,0.45,0.47,0.44,0.46,0.44,11.39,0.46,false
2,0.024691358024691357,0.004008016032064128,0.43,0.43,0.42,0.44,0.45,0.45,0.44,0.43,0.45,0.45,0.43,0.46,0.44,0.45,0.44,0.44,0.43,0.43,0.45,0.43,0.42,0.45,0.43,0.45,0.43,10.97,0.44,false
3,0.037037037037037035,0.006012024048096192,0.43,0.42,0.42,0.43,0.44,0.43,0.43,0.43,0.43,0.44,0.42,0.45,0.42,0.44,0.43,0.43,0.42,0.43,0.44,0.43,0.42,0.44,0.42,0.45,0.42,10.76,0.43,false
4,0.037037037037037035,0.008016032064128256,0.41,0.41,0.42,0.42,0.43,0.42,0.41,0.42,0.42,0.42,0.40,0.44,0.40,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.43,0.41,0.42,0.40,10.37,0.41,false
5,0.04938271604938271,0.01002004008016032,0.42,0.41,0.42,0.43,0.44,0.42,0.42,0.42,0.42,0.43,0.41,0.44,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.42,0.41,0.44,0.41,0.42,0.41,10.50,0.42,false
6,0,0.012024048096192385,0.41,0.41,0.42,0.42,0.43,0.42,0.41,0.41,0.41,0.42,0.40,0.44,0.41,0.41,0.41,0.42,0.42,0.41,0.41,0.41,0.41,0.43,0.40,0.41,0.41,10.36,0.41,false
7,0.024691358024691357,0.014028056112224449,0.40,0.42,0.42,0.43,0.43,0.43,0.41,0.41,0.42,0.42,0.40,0.43,0.42,0.41,0.41,0.42,0.41,0.41,0.41,0.41,0.41,0.42,0.41,0.41,0.41,10.38,0.42,false
8,0.012345679012345678,0.01603206412825651,0.41,0.40,0.40,0.40,0.41,0.41,0.40,0.41,0.40,0.40,0.41,0.42,0.39,0.41,0.40,0.41,0.40,0.41,0.40,0.40,0.40,0.41,0.40,0.40,0.40,10.10,0.40,false
9,0.06172839506172839,0.018036072144288578,0.39,0.39,0.40,0.40,0.41,0.41,0.39,0.40,0.40,0.40,0.40,0.41,0.39,0.40,0.39,0.40,0.40,0.40,0.39,0.40,0.39,0.41,0.39,0.40,0.39,9.95,0.40,false
10,0.07407407407407407,0.02004008016032064,0.40,0.41,0.41,0.41,0.43,0.40,0.40,0.41,0.41,0.42,0.42,0.43,0.40,0.42,0.41,0.41,0.41,0.40,0.41,0.40,0.40,0.42,0.40,0.40,0.40,10.23,0.41,false
11,0.08641975308641975,0.022044088176352707,0.40,0.40,0.40,0.41,0.42,0.41,0.40,0.41,0.40,0.41,0.40,0.43,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.40,0.39,0.41,0.40,0.41,0.40,10.14,0.41,false
12,0.09876543209876543,0.02404809619238477,0.39,0.40,0.40,0.40,0.41,0.40,0.39,0.41,0.39,0.40,0.39,0.40,0.40,0.40,0.39,0.39,0.40,0.40,0.39,0.39,0.39,0.40,0.40,0.39,0.40,9.92,0.40,false
13,0.1111111111111111,0.026052104208416832,0.38,0.39,0.39,0.40,0.41,0.40,0.39,0.41,0.38,0.40,0.39,0.41,0.39,0.40,0.39,0.40,0.39,0.40,0.39,0.39,0.39,0.40,0.39,0.40,0.39,9.87,0.39,false
14,0.12345679012345678,0.028056112224448898,0.39,0.40,0.40,0.41,0.42,0.40,0.39,0.41,0.40,0.41,0.41,0.41,0.41,0.43,0.40,0.41,0.40,0.41,0.40,0.40,0.41,0.40,0.42,0.41,0.41,10.16,0.41,false
15,0.13580246913580246,0.03006012024048096,0.39,0.38,0.39,0.39,0.40,0.39,0.39,0.40,0.38,0.39,0.39,0.40,0.38,0.39,0.38,0.39,0.39,0.39,0.38,0.39,0.37,0.40,0.39,0.39,0.39,9.72,0.39,false
16,0.14814814814814814,0.03206412825651302,0.38,0.38,0.39,0.38,0.40,0.39,0.38,0.39,0.38,0.39,0.39,0.40,0.38,0.39,0.38,0.39,0.39,0.39,0.39,0.38,0.37,0.40,0.39,0.39,0.38,9.67,0.39,false
17,0.16049382716049382,0.03406813627254509,0.38,0.39,0.39,0.39,0.39,0.39,0.37,0.39,0.38,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.39,0.37,0.39,0.37,0.39,0.38,0.38,0.38,9.63,0.39,false
18,0.1728395061728395,0.036072144288577156,0.37,0.39,0.39,0.38,0.39,0.38,0.37,0.40,0.38,0.39,0.38,0.39,0.38,0.39,0.37,0.39,0.38,0.38,0.38,0.38,0.37,0.39,0.38,0.39,0.39,9.58,0.38,false
19,0.1728395061728395,0.03807615230460922,0.38,0.40,0.40,0.40,0.40,0.39,0.38,0.40,0.39,0.40,0.39,0.40,0.39,0.41,0.39,0.40,0.39,0.40,0.39,0.40,0.38,0.40,0.40,0.40,0.41,9.89,0.40,false
