id,value_y_name,value_y,value_x_name,value_x,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,end_device_ids.device_id,0,0,0,0.52,0.51,0.50,0.52,0.52,0.51,0.48,0.52,0.51,0.51,0.49,0.51,0.50,0.51,0.50,0.51,0.49,0.51,0.50,0.49,0.51,0.52,0.51,0.51,0.50,12.66,0.51,false
1,end_device_ids.device_id,0.07142857142857142,0,0.002004008016032064,0.53,0.53,0.51,0.51,0.52,0.53,0.53,0.50,0.53,0.53,0.52,0.54,0.52,0.51,0.52,0.50,0.52,0.52,0.52,0.50,0.50,0.51,0.51,0.51,0.49,12.91,0.52,false
2,end_device_ids.device_id,0.14285714285714285,0,0.004008016032064128,0.49,0.50,0.48,0.48,0.52,0.49,0.48,0.51,0.49,0.50,0.48,0.49,0.50,0.50,0.49,0.48,0.49,0.49,0.49,0.50,0.51,0.50,0.50,0.49,0.50,12.35,0.49,false
3,end_device_ids.device_id,0.21428571428571427,0,0.006012024048096192,0.48,0.48,0.46,0.47,0.48,0.48,0.46,0.49,0.48,0.47,0.46,0.47,0.46,0.48,0.47,0.48,0.45,0.46,0.47,0.45,0.48,0.46,0.47,0.46,0.45,11.72,0.47,false
4,end_device_ids.device_id,0.2857142857142857,0,0.008016032064128256,0.46,0.43,0.42,0.42,0.43,0.44,0.42,0.44,0.44,0.42,0.43,0.44,0.42,0.43,0.43,0.42,0.43,0.44,0.43,0.42,0.43,0.45,0.43,0.42,0.43,10.77,0.43,false
5,end_device_ids.device_id,0.35714285714285715,0,0.01002004008016032,0.45,0.43,0.41,0.42,0.42,0.42,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.42,0.41,0.41,0.42,0.41,0.41,0.41,0.42,0.43,0.42,0.41,0.42,10.50,0.42,false
6,end_device_ids.device_id,0.42857142857142855,0,0.012024048096192385,0.51,0.51,0.51,0.51,0.52,0.50,0.48,0.51,0.49,0.50,0.49,0.51,0.50,0.50,0.52,0.48,0.51,0.49,0.49,0.49,0.52,0.50,0.51,0.51,0.51,12.57,0.50,false
7,end_device_ids.device_id,0.5,0,0.014028056112224449,0.53,0.48,0.50,0.51,0.51,0.51,0.50,0.53,0.50,0.48,0.49,0.52,0.51,0.49,0.49,0.50,0.50,0.49,0.51,0.50,0.49,0.49,0.51,0.50,0.50,12.54,0.50,false
8,end_device_ids.device_id,0.5714285714285714,0,0.01603206412825651,0.42,0.41,0.41,0.40,0.42,0.42,0.40,0.42,0.41,0.40,0.41,0.40,0.40,0.40,0.41,0.40,0.41,0.41,0.41,0.40,0.40,0.42,0.42,0.40,0.42,10.22,0.41,false
9,end_device_ids.device_id,0.6428571428571429,0,0.018036072144288578,0.45,0.44,0.44,0.44,0.45,0.44,0.44,0.44,0.44,0.45,0.43,0.46,0.44,0.43,0.44,0.44,0.46,0.44,0.44,0.43,0.43,0.44,0.44,0.43,0.43,11.01,0.44,false
10,end_device_ids.device_id,0.7142857142857143,0,0.02004008016032064,0.44,0.44,0.44,0.44,0.44,0.43,0.45,0.44,0.45,0.42,0.42,0.44,0.43,0.42,0.45,0.43,0.44,0.43,0.44,0.42,0.42,0.44,0.45,0.43,0.42,10.87,0.43,false
11,end_device_ids.device_id,0.7857142857142857,0,0.022044088176352707,0.42,0.42,0.40,0.40,0.41,0.42,0.41,0.42,0.41,0.42,0.40,0.41,0.41,0.41,0.42,0.40,0.41,0.41,0.41,0.41,0.40,0.41,0.41,0.40,0.40,10.24,0.41,false
