iteration,precision,recall,f1Score,accuracy,trueNegativeRate,falsePositiveRate,mse
1,0.13,1.00,0.22,0.97,0.97,0.03,0.03
2,0.10,1.00,0.18,0.96,0.96,0.04,0.04
3,0.13,1.00,0.24,0.97,0.97,0.03,0.03
4,0.13,1.00,0.24,0.97,0.97,0.03,0.03
5,0.11,1.00,0.19,0.97,0.97,0.03,0.03
6,0.11,1.00,0.20,0.97,0.97,0.03,0.03
7,0.13,1.00,0.24,0.97,0.97,0.03,0.03
8,0.13,1.00,0.22,0.97,0.97,0.03,0.03
9,0.13,1.00,0.22,0.97,0.97,0.03,0.03
10,0.12,1.00,0.21,0.97,0.97,0.03,0.03
11,0.13,1.00,0.24,0.97,0.97,0.03,0.03
12,0.13,1.00,0.24,0.97,0.97,0.03,0.03
13,0.13,1.00,0.22,0.97,0.97,0.03,0.03
14,0.11,1.00,0.19,0.97,0.97,0.03,0.03
15,0.14,1.00,0.25,0.98,0.98,0.02,0.02
16,0.12,1.00,0.21,0.97,0.97,0.03,0.03
17,0.13,1.00,0.24,0.97,0.97,0.03,0.03
18,0.14,1.00,0.25,0.98,0.98,0.02,0.02
19,0.13,1.00,0.24,0.97,0.97,0.03,0.03
20,0.13,1.00,0.22,0.97,0.97,0.03,0.03
21,0.12,1.00,0.21,0.97,0.97,0.03,0.03
22,0.11,1.00,0.20,0.97,0.97,0.03,0.03
23,0.13,1.00,0.24,0.97,0.97,0.03,0.03
24,0.12,1.00,0.21,0.97,0.97,0.03,0.03
25,0.13,1.00,0.22,0.97,0.97,0.03,0.03
