id,value_y,value_x,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,0,0,0.55,0.53,0.54,0.53,0.52,0.53,0.54,0.56,0.51,0.52,0.53,0.55,0.54,0.53,0.55,0.55,0.53,0.52,0.52,0.52,0.55,0.53,0.53,0.54,0.54,13.36,0.53,false
1,0.25,0.002004008016032064,0.52,0.52,0.49,0.52,0.51,0.51,0.52,0.52,0.51,0.51,0.51,0.53,0.50,0.53,0.52,0.49,0.52,0.50,0.53,0.50,0.54,0.51,0.50,0.50,0.50,12.81,0.51,false
2,0.5,0.004008016032064128,0.48,0.47,0.50,0.49,0.49,0.49,0.49,0.50,0.46,0.50,0.49,0.51,0.48,0.50,0.50,0.48,0.49,0.48,0.50,0.48,0.50,0.49,0.48,0.49,0.48,12.22,0.49,false
3,0.5,0.006012024048096192,0.44,0.44,0.44,0.44,0.43,0.46,0.42,0.44,0.43,0.43,0.44,0.45,0.43,0.46,0.45,0.42,0.44,0.44,0.44,0.43,0.44,0.44,0.43,0.44,0.41,10.93,0.44,false
4,0,0.008016032064128256,0.41,0.41,0.42,0.42,0.41,0.43,0.40,0.41,0.41,0.42,0.41,0.42,0.42,0.42,0.43,0.42,0.42,0.42,0.41,0.39,0.43,0.42,0.40,0.43,0.40,10.38,0.42,false
5,0,0.01002004008016032,0.40,0.40,0.41,0.41,0.40,0.43,0.40,0.40,0.39,0.41,0.41,0.41,0.40,0.42,0.42,0.41,0.41,0.40,0.41,0.39,0.42,0.40,0.40,0.41,0.40,10.16,0.41,false
6,0.25,0.012024048096192385,0.50,0.49,0.49,0.49,0.51,0.49,0.49,0.50,0.49,0.50,0.49,0.49,0.48,0.50,0.49,0.48,0.50,0.49,0.50,0.49,0.49,0.51,0.49,0.50,0.50,12.35,0.49,false
7,0,0.014028056112224449,0.50,0.48,0.50,0.48,0.48,0.51,0.49,0.50,0.47,0.49,0.48,0.50,0.50,0.49,0.48,0.50,0.50,0.48,0.50,0.50,0.51,0.52,0.49,0.48,0.51,12.34,0.49,false
8,0,0.01603206412825651,0.41,0.41,0.40,0.40,0.41,0.42,0.40,0.40,0.39,0.40,0.41,0.41,0.40,0.41,0.42,0.41,0.41,0.40,0.40,0.38,0.42,0.41,0.40,0.41,0.39,10.12,0.40,false
9,0,0.018036072144288578,0.41,0.41,0.40,0.41,0.41,0.43,0.40,0.40,0.39,0.41,0.42,0.42,0.41,0.41,0.41,0.40,0.40,0.41,0.41,0.41,0.43,0.41,0.40,0.40,0.40,10.21,0.41,false
10,0,0.02004008016032064,0.41,0.41,0.40,0.41,0.41,0.42,0.41,0.41,0.40,0.41,0.41,0.41,0.41,0.43,0.41,0.41,0.42,0.42,0.42,0.40,0.42,0.41,0.41,0.41,0.40,10.28,0.41,false
11,0.5,0.022044088176352707,0.41,0.41,0.41,0.39,0.40,0.42,0.40,0.40,0.39,0.40,0.39,0.40,0.42,0.42,0.41,0.41,0.42,0.41,0.40,0.40,0.42,0.41,0.41,0.40,0.39,10.14,0.41,false
12,0,0.02404809619238477,0.49,0.48,0.51,0.48,0.50,0.50,0.49,0.48,0.48,0.48,0.49,0.50,0.49,0.50,0.49,0.48,0.49,0.50,0.50,0.47,0.50,0.49,0.49,0.49,0.50,12.27,0.49,false
13,0.25,0.026052104208416832,0.49,0.48,0.47,0.46,0.47,0.49,0.48,0.50,0.48,0.49,0.47,0.49,0.47,0.50,0.49,0.46,0.48,0.48,0.49,0.47,0.49,0.48,0.46,0.47,0.48,11.99,0.48,false
14,0.5,0.028056112224448898,0.44,0.44,0.45,0.42,0.44,0.46,0.45,0.46,0.45,0.44,0.45,0.45,0.45,0.46,0.46,0.46,0.45,0.44,0.46,0.44,0.46,0.43,0.45,0.45,0.45,11.21,0.45,false
15,0,0.03006012024048096,0.52,0.50,0.52,0.51,0.52,0.54,0.52,0.52,0.52,0.52,0.50,0.51,0.50,0.53,0.53,0.49,0.53,0.51,0.54,0.51,0.53,0.50,0.48,0.52,0.52,12.89,0.52,false
16,0.75,0.03206412825651302,0.45,0.44,0.45,0.45,0.46,0.45,0.44,0.44,0.45,0.43,0.45,0.45,0.44,0.45,0.44,0.44,0.45,0.45,0.44,0.45,0.44,0.45,0.44,0.44,0.44,11.13,0.45,false
17,0,0.03406813627254509,0.48,0.47,0.47,0.49,0.46,0.48,0.48,0.47,0.46,0.47,0.46,0.48,0.48,0.49,0.48,0.47,0.48,0.48,0.50,0.46,0.49,0.48,0.47,0.47,0.49,11.91,0.48,false
18,0.75,0.036072144288577156,0.71,0.69,0.68,0.69,0.70,0.69,0.69,0.69,0.67,0.70,0.69,0.71,0.69,0.69,0.69,0.71,0.71,0.69,0.68,0.68,0.69,0.70,0.70,0.72,0.71,17.37,0.69,true
19,1,0.03807615230460922,0.59,0.61,0.60,0.61,0.59,0.62,0.62,0.63,0.63,0.62,0.58,0.61,0.60,0.59,0.61,0.60,0.61,0.58,0.61,0.61,0.62,0.59,0.61,0.60,0.61,15.15,0.61,false
20,0.25,0.04008016032064128,0.48,0.47,0.48,0.46,0.49,0.47,0.48,0.47,0.47,0.46,0.46,0.51,0.49,0.48,0.48,0.48,0.47,0.47,0.48,0.47,0.49,0.48,0.47,0.48,0.49,11.93,0.48,false
21,0.25,0.04208416833667335,0.41,0.40,0.41,0.41,0.41,0.42,0.41,0.40,0.40,0.41,0.41,0.42,0.40,0.42,0.41,0.40,0.41,0.41,0.42,0.40,0.41,0.40,0.41,0.41,0.40,10.21,0.41,false
22,0.5,0.04408817635270541,0.40,0.42,0.42,0.40,0.41,0.42,0.40,0.42,0.41,0.41,0.41,0.43,0.41,0.43,0.42,0.43,0.43,0.43,0.41,0.40,0.43,0.41,0.41,0.43,0.41,10.40,0.42,false
23,0,0.04609218436873747,0.39,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.39,0.39,0.38,0.39,0.37,9.58,0.38,false
24,0.25,0.04809619238476954,0.42,0.40,0.40,0.41,0.41,0.41,0.41,0.40,0.40,0.42,0.41,0.41,0.40,0.42,0.41,0.40,0.41,0.41,0.42,0.40,0.41,0.40,0.41,0.40,0.41,10.20,0.41,false
25,0.75,0.050100200400801605,0.50,0.49,0.50,0.49,0.50,0.50,0.49,0.49,0.50,0.49,0.50,0.51,0.48,0.52,0.50,0.49,0.50,0.49,0.49,0.50,0.49,0.50,0.52,0.51,0.52,12.47,0.50,false
26,0,0.052104208416833664,0.39,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.40,0.38,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.38,0.38,0.39,0.39,0.38,0.39,0.37,9.63,0.39,false
27,0,0.05410821643286573,0.38,0.38,0.39,0.40,0.38,0.40,0.39,0.39,0.38,0.39,0.40,0.40,0.39,0.40,0.39,0.39,0.39,0.40,0.39,0.38,0.40,0.39,0.40,0.40,0.38,9.78,0.39,false
28,0.5,0.056112224448897796,0.39,0.40,0.39,0.39,0.38,0.41,0.39,0.39,0.40,0.38,0.40,0.40,0.39,0.40,0.39,0.39,0.40,0.40,0.38,0.38,0.41,0.40,0.39,0.40,0.39,9.84,0.39,false
29,0,0.05811623246492986,0.38,0.38,0.40,0.40,0.38,0.41,0.38,0.39,0.38,0.39,0.39,0.40,0.39,0.40,0.39,0.39,0.39,0.40,0.39,0.38,0.40,0.39,0.40,0.39,0.39,9.78,0.39,false
30,0.25,0.06012024048096192,0.47,0.44,0.46,0.44,0.43,0.46,0.45,0.44,0.43,0.45,0.45,0.45,0.46,0.45,0.44,0.46,0.45,0.45,0.47,0.46,0.45,0.46,0.45,0.45,0.46,11.28,0.45,false
31,0.5,0.06212424849699399,0.42,0.41,0.41,0.41,0.39,0.42,0.39,0.39,0.40,0.40,0.40,0.42,0.41,0.40,0.41,0.40,0.40,0.40,0.40,0.40,0.41,0.41,0.39,0.41,0.40,10.10,0.40,false
32,1,0.06412825651302605,0.58,0.60,0.60,0.60,0.57,0.62,0.60,0.62,0.62,0.60,0.58,0.59,0.59,0.58,0.61,0.58,0.60,0.57,0.59,0.61,0.60,0.58,0.60,0.59,0.60,14.88,0.60,false
33,0.5,0.06613226452905811,0.38,0.39,0.38,0.37,0.38,0.39,0.38,0.38,0.38,0.37,0.39,0.38,0.38,0.39,0.38,0.38,0.38,0.39,0.37,0.37,0.39,0.38,0.37,0.39,0.37,9.51,0.38,false
34,0.5,0.06813627254509018,0.43,0.44,0.43,0.44,0.42,0.44,0.44,0.41,0.43,0.43,0.43,0.43,0.44,0.43,0.42,0.42,0.43,0.44,0.43,0.42,0.45,0.44,0.43,0.43,0.42,10.77,0.43,false
35,0.25,0.07014028056112225,0.47,0.47,0.47,0.48,0.46,0.48,0.47,0.48,0.47,0.47,0.46,0.48,0.47,0.49,0.47,0.46,0.47,0.46,0.49,0.46,0.47,0.46,0.46,0.47,0.46,11.75,0.47,false
36,0,0.07214428857715431,0.51,0.49,0.50,0.49,0.50,0.51,0.50,0.49,0.47,0.51,0.52,0.50,0.50,0.49,0.49,0.53,0.51,0.49,0.50,0.49,0.50,0.51,0.51,0.51,0.49,12.51,0.50,false
37,0.25,0.07414829659318638,0.45,0.46,0.47,0.45,0.47,0.46,0.46,0.47,0.46,0.46,0.45,0.47,0.46,0.46,0.47,0.45,0.46,0.46,0.47,0.46,0.47,0.47,0.45,0.46,0.46,11.53,0.46,false
38,0,0.07615230460921844,0.47,0.45,0.47,0.46,0.47,0.48,0.47,0.46,0.46,0.48,0.47,0.49,0.47,0.49,0.46,0.47,0.47,0.47,0.47,0.46,0.47,0.47,0.45,0.47,0.48,11.73,0.47,false
39,0.25,0.0781563126252505,0.40,0.39,0.39,0.39,0.40,0.40,0.39,0.39,0.39,0.39,0.40,0.40,0.39,0.41,0.39,0.39,0.40,0.41,0.39,0.39,0.40,0.41,0.39,0.40,0.39,9.89,0.40,false
40,0,0.08016032064128256,0.39,0.38,0.41,0.39,0.39,0.41,0.38,0.38,0.39,0.40,0.39,0.40,0.40,0.40,0.39,0.40,0.39,0.40,0.40,0.38,0.40,0.40,0.39,0.41,0.38,9.85,0.39,false
41,0.5,0.08216432865731463,0.38,0.39,0.39,0.38,0.39,0.40,0.38,0.39,0.39,0.38,0.39,0.39,0.38,0.40,0.39,0.39,0.40,0.41,0.38,0.39,0.39,0.39,0.39,0.40,0.38,9.74,0.39,false
42,0.5,0.0841683366733467,0.46,0.46,0.46,0.46,0.45,0.46,0.45,0.46,0.46,0.45,0.45,0.46,0.45,0.47,0.46,0.45,0.45,0.46,0.45,0.45,0.45,0.44,0.44,0.46,0.45,11.36,0.45,false
43,0.75,0.08617234468937876,0.52,0.50,0.52,0.50,0.50,0.52,0.51,0.50,0.51,0.51,0.52,0.51,0.50,0.53,0.48,0.52,0.53,0.51,0.50,0.50,0.50,0.51,0.52,0.50,0.51,12.73,0.51,false
44,0.5,0.08817635270541083,0.39,0.39,0.41,0.40,0.40,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.40,0.41,0.41,0.40,0.41,0.42,0.39,0.39,0.41,0.40,0.41,0.41,0.41,10.09,0.40,false
45,0,0.09018036072144289,0.38,0.38,0.39,0.37,0.38,0.39,0.38,0.37,0.37,0.38,0.38,0.40,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.39,0.39,0.37,0.39,0.38,9.56,0.38,false
46,0,0.09218436873747494,0.39,0.38,0.40,0.38,0.39,0.41,0.38,0.39,0.38,0.39,0.39,0.41,0.40,0.41,0.40,0.40,0.40,0.40,0.39,0.38,0.40,0.40,0.39,0.39,0.39,9.84,0.39,false
47,0.5,0.09418837675350701,0.41,0.41,0.41,0.41,0.41,0.40,0.40,0.40,0.41,0.41,0.41,0.41,0.41,0.43,0.41,0.41,0.41,0.42,0.41,0.39,0.42,0.40,0.40,0.41,0.42,10.23,0.41,false
48,0,0.09619238476953908,0.48,0.47,0.46,0.47,0.45,0.47,0.47,0.47,0.45,0.49,0.47,0.48,0.47,0.49,0.46,0.47,0.47,0.46,0.47,0.46,0.46,0.46,0.46,0.46,0.47,11.69,0.47,false
49,0.5,0.09819639278557114,0.42,0.41,0.41,0.41,0.40,0.41,0.40,0.40,0.40,0.41,0.41,0.41,0.41,0.40,0.41,0.41,0.40,0.40,0.40,0.40,0.41,0.40,0.39,0.41,0.39,10.12,0.40,false
50,0.5,0.10020040080160321,0.47,0.46,0.49,0.47,0.48,0.49,0.49,0.48,0.48,0.49,0.49,0.47,0.48,0.49,0.49,0.49,0.50,0.49,0.49,0.48,0.49,0.48,0.48,0.48,0.47,12.07,0.48,false
51,0.5,0.10220440881763528,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.39,0.39,0.39,0.39,0.39,0.38,0.40,0.39,0.39,0.39,0.40,0.38,0.37,0.39,0.38,0.38,0.39,0.39,9.67,0.39,false
52,0,0.10420841683366733,0.49,0.48,0.48,0.46,0.47,0.47,0.48,0.47,0.46,0.48,0.47,0.47,0.47,0.49,0.47,0.48,0.47,0.46,0.48,0.47,0.48,0.49,0.48,0.47,0.49,11.88,0.48,false
53,0.5,0.1062124248496994,0.47,0.50,0.47,0.47,0.48,0.48,0.49,0.47,0.46,0.51,0.48,0.47,0.48,0.49,0.47,0.50,0.47,0.48,0.47,0.47,0.48,0.47,0.47,0.48,0.48,11.96,0.48,false
54,0,0.10821643286573146,0.47,0.46,0.47,0.47,0.47,0.47,0.48,0.48,0.47,0.48,0.48,0.48,0.48,0.48,0.49,0.48,0.47,0.47,0.47,0.46,0.47,0.48,0.47,0.46,0.48,11.84,0.47,false
