month,day,hour,min,i_f,p_f,truth
1,1,0,0,253,32.12,0
1,1,0,15,249.93,32.39,0
1,1,0,30,251.67,32.19,0
1,1,0,45,248.13,32.48,0
1,1,1,0,242.07,32.97,0
1,1,1,15,242.27,32.97,0
1,1,1,30,242.73,32.93,0
1,1,1,45,240.4,33.14,0
1,1,2,0,237.93,33.32,0
1,1,2,15,235.93,33.48,0
1,1,2,30,235.73,33.52,0
1,1,2,45,233.93,33.69,0
1,1,3,0,232.27,33.82,0
1,1,3,15,231.47,33.89,0
1,1,3,30,231.53,33.86,0
1,1,3,45,230.87,33.91,0
1,1,4,0,229.53,34.03,0
1,1,4,15,258.73,34.15,0
1,1,4,30,257.93,34.39,0
1,1,4,45,257.67,34.44,0
1,1,5,0,256.53,34.48,0
1,1,5,15,255.93,34.58,0
1,1,5,30,259.93,34.23,0
1,1,5,45,254.47,34.47,0
1,1,6,0,258.13,34.33,0
1,1,6,15,258.53,34.31,0
1,1,6,30,260.47,34.18,0
1,1,6,45,267.73,33.54,0
1,1,7,0,271.53,33.24,0
1,1,7,15,271.8,33.18,0
1,1,7,30,271.93,33.2,0
1,1,7,45,271.2,33.2,0
1,1,8,0,261.2,33.12,0
1,1,8,15,225.33,32.52,0
1,1,8,30,228.07,32.35,0
1,1,8,45,230.47,32.15,0
1,1,9,0,234.33,31.94,0
1,1,9,15,237.13,31.72,0
1,1,9,30,239.53,31.57,0
1,1,9,45,242.47,31.33,0
1,1,10,0,257.13,30.24,0
1,1,10,15,255.07,30.33,0
1,1,10,30,259.4,30.04,0
1,1,10,45,256.8,30.21,0
1,1,11,0,256.2,30.29,0
1,1,11,15,253.93,30.39,0
1,1,11,30,255.07,30.34,0
1,1,11,45,254.27,30.39,0
1,1,12,0,253.2,30.49,0
1,1,12,15,249.8,30.71,0
1,1,12,30,246.53,30.92,0
1,1,12,45,253.27,30.44,0
1,1,13,0,247.2,30.92,0
1,1,13,15,250.47,30.67,0
1,1,13,30,243.13,31.22,0
1,1,13,45,241.8,31.33,0
1,1,14,0,241.47,31.35,0
1,1,14,15,239.4,31.53,0
1,1,14,30,239.27,31.53,0
1,1,14,45,236.2,31.75,0
1,1,15,0,238.8,31.56,0
1,1,15,15,240.8,31.43,0
1,1,15,30,237.47,31.69,0
1,1,15,45,237.4,31.74,0
1,1,16,0,237.6,31.74,0
1,1,16,15,242.53,31.36,0
1,1,16,30,237.73,31.7,0
1,1,16,45,240.93,31.49,0
1,1,17,0,241.8,31.44,0
1,1,17,15,242.67,31.37,0
1,1,17,30,241.4,31.46,0
1,1,17,45,240.67,31.51,0
1,1,18,0,243.4,31.33,0
1,1,18,15,242.2,31.44,0
1,1,18,30,267.87,31.69,0
1,1,18,45,276.2,31.41,0
1,1,19,0,276.33,31.37,0
1,1,19,15,273.4,31.43,0
1,1,19,30,273.8,31.5,0
1,1,19,45,276.07,31.33,0
1,1,20,0,275.73,31.32,0
1,1,20,15,276,31.32,0
1,1,20,30,261.87,31.18,0
1,1,20,45,252.8,31.74,0
1,1,21,0,250.53,31.92,0
1,1,21,15,249.4,32.01,0
1,1,21,30,248,32.07,0
1,1,21,45,252,31.78,0
1,1,22,0,247.07,32.21,0
1,1,22,15,249.07,32.05,0
1,1,22,30,241.2,32.62,0
1,1,22,45,242.6,32.56,0
1,1,23,0,240.4,32.71,0
1,1,23,15,240.27,32.73,0
1,1,23,30,238.93,32.81,0
1,1,23,45,235.87,33.11,0
1,2,0,0,231.4,33.38,0
1,2,0,15,232.13,33.39,0
1,2,0,30,230.33,33.51,0
1,2,0,45,227,33.73,0
1,2,1,0,230.2,33.59,0
1,2,1,15,225.73,33.9,0
1,2,1,30,226.87,33.88,0
1,2,1,45,226.87,33.95,0
1,2,2,0,242.4,34.07,0
1,2,2,15,240.13,34.24,0
1,2,2,30,238.73,34.36,0
1,2,2,45,240.27,34.24,0
1,2,3,0,242.4,34.09,0
1,2,3,15,237.07,34.48,0
1,2,3,30,236.6,34.54,0
1,2,3,45,237.73,34.48,0
1,2,4,0,237.67,34.44,0
1,2,4,15,249.33,34.18,0
1,2,4,30,266.27,33.78,0
1,2,4,45,265.73,33.78,0
1,2,5,0,263.47,33.95,0
1,2,5,15,264.8,33.83,0
1,2,5,30,271.47,33.24,0
1,2,5,45,261.93,33.79,0
1,2,6,0,263.87,33.46,0
1,2,6,15,268.27,33.46,0
1,2,6,30,271.47,33.2,0
1,2,6,45,269.13,33.35,0
1,2,7,0,272.87,33.05,0
1,2,7,15,220,33.28,0
1,2,7,30,199.6,33.03,0
1,2,7,45,202.73,32.82,0
1,2,8,0,211.4,32.31,0
1,2,8,15,214.93,32.07,0
1,2,8,30,222.07,31.64,0
1,2,8,45,223.67,31.55,0
1,2,9,0,230.2,31.1,0
1,2,9,15,242.53,30.21,0
1,2,9,30,244.73,30.05,0
1,2,9,45,245.33,29.99,0
1,2,10,0,247.87,29.79,0
1,2,10,15,246.73,29.86,0
1,2,10,30,246.73,29.87,0
1,2,10,45,245.53,29.93,0
1,2,11,0,243.27,30.16,0
1,2,11,15,239.73,30.37,0
1,2,11,30,239.4,30.4,0
1,2,11,45,240,30.5,0
1,2,12,0,260.53,30.54,0
1,2,12,15,257.73,30.76,0
1,2,12,30,263.13,30.33,0
1,2,12,45,259.67,30.61,0
1,2,13,0,258.47,30.7,0
1,2,13,15,256.6,30.82,0
1,2,13,30,257.13,30.77,0
1,2,13,45,255.13,30.93,0
1,2,14,0,251.87,31.24,0
1,2,14,15,258.8,31.33,0
1,2,14,30,268.8,31.24,0
1,2,14,45,266.27,31.41,0
1,2,15,0,267.53,31.29,0
1,2,15,15,266.33,31.38,0
1,2,15,30,264.2,31.48,0
1,2,15,45,263.8,31.53,0
1,2,16,0,264.13,31.5,0
1,2,16,15,263.53,31.52,0
1,2,16,30,265.4,31.39,0
1,2,16,45,264.2,31.48,0
1,2,17,0,266.47,31.29,0
1,2,17,15,260.13,31.64,0
1,2,17,30,243.13,31.33,0
1,2,17,45,241.87,31.39,0
1,2,18,0,239.2,31.6,0
1,2,18,15,235.73,31.81,0
1,2,18,30,238.13,31.69,0
1,2,18,45,240.87,31.54,0
1,2,19,0,238.2,31.69,0
1,2,19,15,238.47,31.53,0
1,2,19,30,236.8,31.5,0
1,2,19,45,239.93,31.56,0
1,2,20,0,240.4,31.53,0
1,2,20,15,238.4,31.71,0
1,2,20,30,239.87,31.6,0
1,2,20,45,238.87,31.69,0
1,2,21,0,276.13,32.26,0
1,2,21,15,287.8,32.22,0
1,2,21,30,285.53,32.44,0
1,2,21,45,288.33,32.19,0
1,2,22,0,282.13,32.65,0
1,2,22,15,282.73,32.56,0
1,2,22,30,279.07,32.84,0
1,2,22,45,277.87,32.94,0
1,2,23,0,276.8,32.99,0
1,2,23,15,275.73,33.05,0
1,2,23,30,271.8,33.32,0
1,2,23,45,267.13,33.71,0
1,3,0,0,270.87,33.44,0
1,3,0,15,265.67,33.8,0
1,3,0,30,267.67,33.65,0
1,3,0,45,231.53,33.22,0
1,3,1,0,239,33.16,0
1,3,1,15,239.67,33.12,0
1,3,1,30,236.67,33.37,0
1,3,1,45,238.87,33.24,0
1,3,2,0,236.4,33.41,0
1,3,2,15,239.73,33.22,0
1,3,2,30,239.13,33.24,0
1,3,2,45,237.33,33.39,0
1,3,3,0,237.13,33.4,0
1,3,3,15,237.33,33.4,0
1,3,3,30,234.27,33.65,0
1,3,3,45,231.4,33.88,0
1,3,4,0,234.07,33.7,0
1,3,4,15,231.2,33.91,0
1,3,4,30,239.4,33.77,0
1,3,4,45,243.27,33.82,0
1,3,5,0,240.27,34.02,0
1,3,5,15,238.6,34.16,0
1,3,5,30,243.8,33.8,0
1,3,5,45,240.53,33.73,0
1,3,6,0,239.8,33.7,0
1,3,6,15,248.27,33.44,0
1,3,6,30,249,33.35,0
1,3,6,45,252.93,32.69,0
1,3,7,0,247.67,32.48,0
1,3,7,15,251.33,32.21,0
1,3,7,30,255.87,31.86,0
1,3,7,45,260.8,31.4,0
1,3,8,0,252,31.37,0
1,3,8,15,251.33,31.41,0
1,3,8,30,256.2,31.03,0
1,3,8,45,255.67,31.07,0
1,3,9,0,256.47,30.97,0
1,3,9,15,256.47,30.97,0
1,3,9,30,261.2,30.62,0
1,3,9,45,260.27,30.65,0
1,3,10,0,262.47,30.52,0
1,3,10,15,255.07,31.03,0
1,3,10,30,258.2,30.82,0
1,3,10,45,258.33,30.8,0
1,3,11,0,258.93,30.75,0
1,3,11,15,247.33,30.84,0
1,3,11,30,250,30.59,0
1,3,11,45,248.27,30.72,0
1,3,12,0,247.27,30.82,0
1,3,12,15,253.87,30.33,0
1,3,12,30,247.67,30.8,0
1,3,12,45,250.13,30.63,0
1,3,13,0,250,30.61,0
1,3,13,15,253.87,31.12,0
1,3,13,30,260.2,31.33,0
1,3,13,45,264.13,31.28,0
1,3,14,0,269.2,30.87,0
1,3,14,15,265.6,31.14,0
1,3,14,30,264.27,31.24,0
1,3,14,45,263.27,31.33,0
1,3,15,0,263.33,31.31,0
1,3,15,15,261.6,31.41,0
1,3,15,30,264.33,31.2,0
1,3,15,45,261.33,31.46,0
1,3,16,0,261.6,31.41,0
1,3,16,15,263.53,31.23,0
1,3,16,30,260.07,31.51,0
1,3,16,45,260.53,31.52,0
1,3,17,0,259,31.62,0
1,3,17,15,258.73,31.65,0
1,3,17,30,258.6,31.69,0
1,3,17,45,259.13,31.6,0
1,3,18,0,256.87,31.77,0
1,3,18,15,261.33,31.4,0
1,3,18,30,259.47,31.53,0
1,3,18,45,258.13,31.63,0
1,3,19,0,260.2,31.42,0
1,3,19,15,255.13,31.59,0
1,3,19,30,256.33,31.41,0
1,3,19,45,258.87,31.58,0
1,3,20,0,262.93,31.25,0
1,3,20,15,258.07,31.67,0
1,3,20,30,257.87,31.65,0
1,3,20,45,258.73,31.59,0
1,3,21,0,254.67,31.87,0
1,3,21,15,258,31.64,0
1,3,21,30,256.6,31.8,0
1,3,21,45,253.47,32.02,0
1,3,22,0,254,31.98,0
1,3,22,15,252.93,32.05,0
1,3,22,30,247.73,32.48,0
1,3,22,45,246.6,32.54,0
1,3,23,0,243.8,32.81,0
1,3,23,15,241.87,32.95,0
1,3,23,30,240.27,33.08,0
1,3,23,45,239.73,33.2,0
1,4,0,0,233.73,33.6,0
1,4,0,15,233.2,33.67,0
1,4,0,30,237.73,33.35,0
1,4,0,45,232.8,33.74,0
1,4,1,0,235.8,33.54,0
1,4,1,15,234.2,33.63,0
1,4,1,30,233.6,33.69,0
1,4,1,45,233.13,33.93,0
1,4,2,0,243.47,33.92,0
1,4,2,15,240.73,34.13,0
1,4,2,30,242.2,34.02,0
1,4,2,45,239.13,34.21,0
1,4,3,0,242.6,33.93,0
1,4,3,15,241.33,34.07,0
1,4,3,30,236.07,34.46,0
1,4,3,45,237.27,34.37,0
1,4,4,0,258.13,34.59,0
1,4,4,15,261.2,34.35,0
1,4,4,30,257.87,34.58,0
1,4,4,45,258.4,34.54,0
1,4,5,0,262.6,34.22,0
1,4,5,15,262.07,34.22,0
1,4,5,30,262.93,34.17,0
1,4,5,45,265.13,33.97,0
1,4,6,0,265.27,33.9,0
1,4,6,15,259,33.51,0
1,4,6,30,261.4,33.24,0
1,4,6,45,260.67,33.27,0
1,4,7,0,263.33,33.07,0
1,4,7,15,257.33,32.71,0
1,4,7,30,236.47,32.45,0
1,4,7,45,240.07,32.18,0
1,4,8,0,243.2,31.78,0
1,4,8,15,235.73,31.66,0
1,4,8,30,239.33,31.42,0
1,4,8,45,239.2,31.37,0
1,4,9,0,247.07,30.84,0
1,4,9,15,249.27,30.69,0
1,4,9,30,248.47,30.72,0
1,4,9,45,249.47,30.65,0
1,4,10,0,251,30.53,0
1,4,10,15,251.6,30.5,0
1,4,10,30,237.47,30.62,0
1,4,10,45,237.4,30.63,0
1,4,11,0,239.53,30.49,0
1,4,11,15,235.8,30.76,0
1,4,11,30,239.33,30.51,0
1,4,11,45,233.33,30.94,0
1,4,12,0,228.6,31.31,0
1,4,12,15,244.8,31.31,0
1,4,12,30,248.67,31.24,0
1,4,12,45,246.13,31.37,0
1,4,13,0,253.47,31.17,0
1,4,13,15,259.93,31.24,0
1,4,13,30,262.93,30.99,0
1,4,13,45,259.67,31.18,0
1,4,14,0,259.6,31.18,0
1,4,14,15,258.2,31.27,0
1,4,14,30,256.8,31.39,0
1,4,14,45,257.87,31.3,0
1,4,15,0,256.47,31.39,0
1,4,15,15,256.8,31.35,0
1,4,15,30,258.27,31.23,0
1,4,15,45,253.47,31.59,0
1,4,16,0,254.67,31.5,0
1,4,16,15,258.33,31.2,0
1,4,16,30,253.8,31.58,0
1,4,16,45,255.07,31.48,0
1,4,17,0,258.2,31.21,0
1,4,17,15,256.87,31.35,0
1,4,17,30,257.73,31.27,0
1,4,17,45,253.13,31.61,0
1,4,18,0,258.2,31.18,0
1,4,18,15,258.87,31.12,0
1,4,18,30,253.27,31.55,0
1,4,18,45,258.8,31.1,0
1,4,19,0,258.4,31.17,0
1,4,19,15,255.13,31.4,0
1,4,19,30,256,31.31,0
1,4,19,45,255.27,31.33,0
1,4,20,0,258.27,31.13,0
1,4,20,15,258.67,31.1,0
1,4,20,30,251.93,31.58,0
1,4,20,45,254.6,31.39,0
1,4,21,0,255.87,31.31,0
1,4,21,15,236.6,31.3,0
1,4,21,30,215.93,31.56,0
1,4,21,45,217.4,31.45,0
1,4,22,0,214.93,31.67,0
1,4,22,15,211,31.99,0
1,4,22,30,228.87,32.11,0
1,4,22,45,243.67,32.41,0
1,4,23,0,241.87,32.53,0
1,4,23,15,239.73,32.67,0
1,4,23,30,240.33,32.66,0
1,4,23,45,236.47,32.9,0
1,5,0,0,236.4,32.97,0
1,5,0,15,237.07,32.88,0
1,5,0,30,237.2,32.95,0
1,5,0,45,234.33,33.12,0
1,5,1,0,234.67,33.07,0
1,5,1,15,237.2,32.94,0
1,5,1,30,236.2,33.05,0
1,5,1,45,231.73,33.31,0
1,5,2,0,233.73,33.22,0
1,5,2,15,234.73,33.16,0
1,5,2,30,236.93,33.01,0
1,5,2,45,231.07,33.47,0
1,5,3,0,234,33.22,0
1,5,3,15,235.07,33.18,0
1,5,3,30,230.8,33.46,0
1,5,3,45,230.13,33.59,0
1,5,4,0,230.67,33.54,0
1,5,4,15,249.67,33.86,0
1,5,4,30,251.8,33.83,0
1,5,4,45,244.2,34.39,0
1,5,5,0,252.67,33.78,0
1,5,5,15,252.73,33.76,0
1,5,5,30,256.13,33.48,0
1,5,5,45,251.8,33.52,0
1,5,6,0,252.67,33.4,0
1,5,6,15,261.13,33.6,0
1,5,6,30,271.87,33.29,0
1,5,6,45,280.47,32.84,0
1,5,7,0,280.13,32.82,0
1,5,7,15,280.27,32.85,0
1,5,7,30,287.8,32.14,0
1,5,7,45,278.8,31.68,0
1,5,8,0,260.53,31.15,0
1,5,8,15,265.13,30.67,0
1,5,8,30,253.07,30.9,0
1,5,8,45,244.2,30.7,0
1,5,9,0,247.07,30.41,0
1,5,9,15,247.67,30.39,0
1,5,9,30,245.13,30.58,0
1,5,9,45,249.4,30.25,0
1,5,10,0,247.2,30.41,0
1,5,10,15,245.93,30.52,0
1,5,10,30,245.33,30.56,0
1,5,10,45,247.53,30.41,0
1,5,11,0,246.87,30.48,0
1,5,11,15,246.4,30.46,0
1,5,11,30,246.53,30.47,0
1,5,11,45,246.33,30.48,0
1,5,12,0,234.27,31.37,0
1,5,12,15,236,31.28,0
1,5,12,30,248.73,31.22,0
1,5,12,45,252,30.97,0
1,5,13,0,253.53,30.84,0
1,5,13,15,250.13,31.08,0
1,5,13,30,252.27,30.93,0
1,5,13,45,249.27,31.14,0
1,5,14,0,250.33,31.05,0
1,5,14,15,251.87,30.96,0
1,5,14,30,251.27,30.98,0
1,5,14,45,251.2,31,0
1,5,15,0,247.53,31.27,0
1,5,15,15,246.87,31.25,0
1,5,15,30,251.8,30.92,0
1,5,15,45,249.8,31.1,0
1,5,16,0,251.93,30.93,0
1,5,16,15,248.87,31.12,0
1,5,16,30,251.8,30.92,0
1,5,16,45,249.6,31.08,0
1,5,17,0,248.33,31.17,0
1,5,17,15,246.07,31.39,0
1,5,17,30,247.8,31.22,0
1,5,17,45,249.27,31.12,0
1,5,18,0,249.4,31.12,0
1,5,18,15,245.67,31.41,0
1,5,18,30,249.53,31.1,0
1,5,18,45,243.8,31.53,0
1,5,19,0,246.67,31.33,0
1,5,19,15,243.67,31.27,0
1,5,19,30,241.73,31.33,0
1,5,19,45,244.87,31.46,0
1,5,20,0,244.8,31.44,0
