month,day,hour,min,i_uiipu,c_pu_p,p_pu,truth
1,1,0,0,261.93,0,51.04,0
1,1,0,15,259.33,0,51.23,0
1,1,0,30,262.67,0,51.03,0
1,1,0,45,271.47,0,51.59,0
1,1,1,0,313.73,0,52.38,0
1,1,1,15,316,0,52.31,0
1,1,1,30,325.67,0,52.52,0
1,1,1,45,350,0,53.16,0
1,1,2,0,366.07,0,53.36,0
1,1,2,15,366.27,0,53.47,0
1,1,2,30,364.87,0,53.54,0
1,1,2,45,364.87,0,53.61,0
1,1,3,0,365.87,0,53.69,0
1,1,3,15,365.2,0,53.76,0
1,1,3,30,364.4,0,53.69,0
1,1,3,45,364.2,0,53.78,0
1,1,4,0,360.8,0,54.04,0
1,1,4,15,358.87,0,54.1,0
1,1,4,30,357.2,0,54.24,0
1,1,4,45,356.47,0,54.23,0
1,1,5,0,356.13,0,54.29,0
1,1,5,15,354.87,0,54.4,0
1,1,5,30,356.27,0,54.12,0
1,1,5,45,355.4,0,54.28,0
1,1,6,0,356.27,0,54.18,0
1,1,6,15,355.93,0,54.16,0
1,1,6,30,337.73,18.93,53.84,0
1,1,6,45,214.33,26.67,52.07,0
1,1,7,0,194.73,25.24,51.73,0
1,1,7,15,186.8,26.04,51.49,0
1,1,7,30,165.93,24.87,51.54,0
1,1,7,45,117.13,25.14,51.43,0
1,1,8,0,114.6,25.95,51.17,0
1,1,8,15,95.27,25.07,50.59,0
1,1,8,30,93.73,27.04,50.58,0
1,1,8,45,96.33,25.29,50.44,0
1,1,9,0,97.73,26.09,50.21,0
1,1,9,15,104.67,25.07,49.62,0
1,1,9,30,101.47,26.73,49.78,0
1,1,9,45,104.87,24.37,49.36,0
1,1,10,0,3.53,26.11,48.04,0
1,1,10,15,3.47,25.13,48.07,0
1,1,10,30,3.13,26.58,47.77,0
1,1,10,45,3.2,24.65,47.87,0
1,1,11,0,3.4,25.62,48.02,0
1,1,11,15,3.47,25.15,48.35,0
1,1,11,30,3.6,25.48,48.1,0
1,1,11,45,3.53,26.15,48.24,0
1,1,12,0,3.27,26.24,48.2,0
1,1,12,15,3.4,25.92,48.35,0
1,1,12,30,3.4,25.1,48.74,0
1,1,12,45,3.4,25.05,48.1,0
1,1,13,0,3.33,25.61,48.82,0
1,1,13,15,3.67,25.19,48.68,0
1,1,13,30,81.27,25.82,49.16,0
1,1,13,45,111.33,25.7,49.41,0
1,1,14,0,109.8,25.43,49.33,0
1,1,14,15,108.8,24.77,49.63,0
1,1,14,30,106.07,24.61,49.73,0
1,1,14,45,105.4,25.45,49.84,0
1,1,15,0,105.27,25.07,49.74,0
1,1,15,15,105.2,24.95,49.57,0
1,1,15,30,102.27,25.78,49.93,0
1,1,15,45,103.13,25.57,49.73,0
1,1,16,0,103.73,24.99,49.86,0
1,1,16,15,104.07,25.23,49.58,0
1,1,16,30,104.53,25.14,49.7,0
1,1,16,45,105.8,24.34,49.66,0
1,1,17,0,105.4,26.29,49.56,0
1,1,17,15,104.47,24.86,49.59,0
1,1,17,30,107.27,25.97,49.5,0
1,1,17,45,105.73,25.21,49.65,0
1,1,18,0,106.47,26.13,49.57,0
1,1,18,15,105.73,24.72,49.47,0
1,1,18,30,95.47,25.38,49.7,0
1,1,18,45,94.4,25.26,49.32,0
1,1,19,0,95.33,25.49,49.31,0
1,1,19,15,94,24.9,49.49,0
1,1,19,30,94.33,25.51,49.55,0
1,1,19,45,95.13,25.2,49.37,0
1,1,20,0,97.13,25.21,49.34,0
1,1,20,15,96.4,25.22,49.35,0
1,1,20,30,97.2,25.54,49.29,0
1,1,20,45,259.13,24.56,51.18,0
1,1,21,0,379.53,7.58,52,0
1,1,21,15,377.27,0.28,51.95,0
1,1,21,30,342.67,0.07,51.51,0
1,1,21,45,316.53,0,51.28,0
1,1,22,0,315.2,0,51.47,0
1,1,22,15,318,0,51.59,0
1,1,22,30,371.13,0,52.37,0
1,1,22,45,369.27,0,52.59,0
1,1,23,0,367.6,0,52.66,0
1,1,23,15,367.53,0,52.63,0
1,1,23,30,366.73,0,52.73,0
1,1,23,45,364.53,0,53,0
1,2,0,0,362.87,0,53.24,0
1,2,0,15,362.07,0,53.35,0
1,2,0,30,360.73,0,53.31,0
1,2,0,45,359,0,53.69,0
1,2,1,0,359,0,53.59,0
1,2,1,15,359.4,0,53.67,0
1,2,1,30,357,0,53.78,0
1,2,1,45,359.4,0,53.76,0
1,2,2,0,357.2,0,54.02,0
1,2,2,15,355.87,0,54.1,0
1,2,2,30,355.13,0,54.07,0
1,2,2,45,357.53,0,53.9,0
1,2,3,0,356.13,0,53.82,0
1,2,3,15,354,0,54.16,0
1,2,3,30,350.13,0,54.35,0
1,2,3,45,352.87,0,54.19,0
1,2,4,0,336.8,0,54.03,0
1,2,4,15,238.67,0,52.97,0
1,2,4,30,177.33,0,52.06,0
1,2,4,45,177.6,0,52.16,0
1,2,5,0,176.73,0,52.32,0
1,2,5,15,176.33,0,52.23,0
1,2,5,30,91.27,0,51.17,0
1,2,5,45,143.4,0,51.84,0
1,2,6,0,131.53,0,51.71,0
1,2,6,15,86,0,51.31,0
1,2,6,30,87.53,18.36,51.31,0
1,2,6,45,87.87,25.63,51.41,0
1,2,7,0,90.33,26.17,51.18,0
1,2,7,15,132.93,24.54,51.5,0
1,2,7,30,153.27,26.9,51.56,0
1,2,7,45,155,25.26,51.09,0
1,2,8,0,155.8,25.78,50.86,0
1,2,8,15,107.87,24.82,50.13,0
1,2,8,30,99.73,26.56,49.84,0
1,2,8,45,103.2,25.87,49.61,0
1,2,9,0,104.33,25.79,49.29,0
1,2,9,15,10.93,25.72,48.02,0
1,2,9,30,3.6,25.22,47.73,0
1,2,9,45,3.4,25.08,47.47,0
1,2,10,0,3.4,23.38,47.41,0
1,2,10,15,3.8,21.12,47.39,0
1,2,10,30,3.47,23.37,47.63,0
1,2,10,45,3.47,25.59,47.79,0
1,2,11,0,3.33,25.57,48.18,0
