id,month,day,hour,min,i_uiip,i_f,i_uiipu,score,month,day,hour,min
14348,6,7,13,45,0,0,0,0.70,11,15,10,54
30051,11,30,5,45,0,0,0,0.70,11,15,10,54
30111,11,30,20,45,229.77,250.4,525.8,0.70,11,15,10,54
26946,10,28,22,30,0,0,0,0.68,11,15,10,54
11741,5,11,10,0,199.24,259.47,517.2,0.67,11,15,10,54
1772,1,19,11,30,208.22,91.2,330,0.66,11,15,10,54
27951,11,8,8,45,0,0,0,0.66,11,15,10,54
1443,1,16,0,45,0,269.53,312.47,0.65,11,15,10,54
1761,1,19,8,45,247.5,114.73,237.6,0.65,11,15,10,54
3014,2,9,10,15,86.65,93.67,87.2,0.65,11,15,10,54
10405,4,27,12,0,128.37,237.07,502.8,0.65,11,15,10,54
13297,5,27,15,0,363.32,433.67,458.07,0.65,11,15,10,54
1152,1,13,0,0,437.07,205.27,3.07,0.64,11,15,10,54
1154,1,13,0,30,441.42,203.87,3.13,0.64,11,15,10,54
1771,1,19,11,15,209.89,65.8,334.47,0.64,11,15,10,54
7681,3,30,3,0,361.62,161.2,237.53,0.64,11,15,10,54
7813,3,31,12,0,198.75,120,379.67,0.64,11,15,10,54
12288,5,17,2,45,0,427,77.33,0.64,11,15,10,54
13044,5,24,23,45,192.28,522.87,254.53,0.64,11,15,10,54
27517,11,3,20,15,-0.01,94.47,0.33,0.64,11,15,10,54
31455,12,14,20,45,0,241.07,276.67,0.64,11,15,10,54
33027,12,31,5,45,252.28,220.33,272.2,0.64,11,15,10,54
2418,1,26,5,0,443.02,296.67,359.2,0.63,11,15,10,54
7223,3,25,6,30,196.98,164.47,321.73,0.63,11,15,10,54
7224,3,25,6,45,50.22,173.8,30.27,0.63,11,15,10,54
