id,month,day,hour,min,ce_px,cs_px,c_pu_p,score
6481,12,24,9,45,0,599.53,0,0.66
2245,5,8,10,0,0,537.34,25.57,0.65
3681,7,19,0,15,300.53,0,80.37,0.65
6480,12,24,9,0,0,525.13,0,0.65
2262,5,9,8,0,0,519.29,27.72,0.62
3818,7,26,0,30,436.29,0,72.36,0.62
3840,7,27,0,0,342.55,0,76.99,0.62
4024,8,6,0,0,304.79,0,74.53,0.62
376,1,22,23,30,376.64,0,28.11,0.61
2790,6,4,11,0,0,441.6,6.47,0.61
3839,7,26,23,0,248.69,0,70.87,0.61
4044,8,6,23,45,421.4,0,80.53,0.61
4068,8,8,0,30,336.96,0,69.6,0.61
764,2,20,9,0,0,553.09,24.8,0.60
1640,4,7,8,30,0,489.39,0.15,0.60
1973,4,24,11,0,0,490.03,4.72,0.60
3316,6,30,22,45,356.29,0,24.98,0.60
3795,7,25,0,30,404.17,0,76.24,0.60
4141,8,11,8,45,0,160.53,81.9,0.60
5525,11,3,23,0,443.91,0,0,0.60
6479,12,24,8,45,0,499.46,0,0.60
614,2,12,7,0,58.02,139.9,25.91,0.59
765,2,20,11,15,0,541.75,0,0.59
1802,4,15,10,45,0,551.45,5.96,0.59
3317,6,30,23,0,402.57,0,6.42,0.59
3513,7,10,22,45,207.55,0,60.09,0.59
3572,7,14,6,0,475.84,0,54.67,0.59
3607,7,15,23,30,390.19,0,72.91,0.59
3627,7,16,23,45,332.08,0,77.01,0.59
3760,7,23,0,0,335.09,0,72.62,0.59
3914,7,31,9,45,0,131.17,79.93,0.59
3943,8,1,20,0,14.37,3.87,82.09,0.59
4045,8,7,0,30,175.87,0,71.15,0.59
4048,8,7,4,45,519.04,0,50.07,0.59
4050,8,7,5,45,478.31,0,56.03,0.59
6503,12,25,9,30,0,514.57,0,0.59
168,1,10,19,45,0,296.59,25.11,0.58
618,2,12,10,0,0,533.42,6.82,0.58
884,2,26,6,30,268.02,0,18.77,0.58
2263,5,9,8,30,0,536.55,24.74,0.58
3680,7,19,0,0,305.11,0,76.79,0.58
3715,7,21,0,15,353.87,0,73.66,0.58
3923,7,31,19,0,57.34,11.67,77.68,0.58
4077,8,8,10,0,0,280.38,61,0.58
4104,8,9,18,30,269.97,0,81.77,0.58
4186,8,13,11,0,0,227.53,79.33,0.58
6417,12,21,8,15,178.24,0,0.35,0.58
375,1,22,21,30,272.66,0,28.84,0.57
381,1,23,6,15,342.84,0,30.97,0.57
397,1,24,0,15,375.35,0,23.96,0.57
399,1,24,0,45,384.06,0,23.87,0.57
553,2,9,10,15,0,481.93,0.32,0.57
918,2,28,6,45,0,399.73,25.44,0.57
2223,5,7,10,15,0,504.25,24.53,0.57
3595,7,15,5,45,192.51,0,42.7,0.57
3659,7,18,0,0,234.39,0,75.9,0.57
3682,7,19,0,30,335.02,0,74.79,0.57
3783,7,24,6,45,344.18,0,79,0.57
3794,7,24,23,15,299.82,0,72.39,0.57
3819,7,26,2,0,490.07,0,47.5,0.57
3870,7,28,22,0,0,80.36,80.12,0.57
3881,7,29,9,0,0,318.67,71.24,0.57
3917,7,31,11,45,0,134.23,70.11,0.57
4028,8,6,7,0,250.53,0,80.67,0.57
4049,8,7,5,30,449.75,0,52.88,0.57
4375,8,22,10,0,0,248.96,73.67,0.57
5535,11,4,7,45,0,354.61,0,0.57
6504,12,25,10,45,0,545.86,0,0.57
35,1,2,21,0,218.11,0,4.97,0.56
325,1,19,7,0,129.34,10.81,26.29,0.56
