id,month,day,hour,min,p_uiip,p_f,p_pu,score
5834,11,21,0,15,3.78,34.03,53.59,0.69
6481,12,24,9,45,18.26,27.03,44.24,0.68
6480,12,24,9,0,18.27,28.41,45.47,0.66
1802,4,15,10,45,15.12,28.55,45.52,0.65
6344,12,17,23,0,16.42,33.53,54.62,0.65
0,1,1,0,0,18.5,32.12,51.04,0.64
5833,11,20,23,45,0.24,33.88,53.44,0.64
2808,6,5,7,15,23.28,35.48,54.57,0.63
6152,12,7,20,0,21.14,29.02,45.7,0.63
7,1,1,5,0,18.16,34.48,54.29,0.62
3357,7,3,7,0,23.84,35.62,54.86,0.62
5995,11,28,21,0,21.61,29.69,46.14,0.62
1562,4,3,1,45,16.39,31.75,48.7,0.61
5277,10,20,20,45,24.44,29.63,46.71,0.61
5670,11,12,9,0,16.05,29.36,46.78,0.61
5858,11,21,23,0,21.1,33.81,54.29,0.61
6053,12,2,4,30,15.14,34.07,53.72,0.61
185,1,12,1,0,17.84,30.16,48.05,0.60
194,1,12,10,30,21.15,27.81,47.63,0.60
224,1,14,1,0,25.71,31.03,49.73,0.60
919,2,28,7,0,15.78,30.44,47.72,0.60
2733,6,1,5,45,28.29,34.5,52.06,0.60
4044,8,6,23,45,28.9,33.99,53.18,0.60
5139,10,13,11,0,16.29,29.96,46.88,0.60
6158,12,8,0,0,24.75,31.75,49.68,0.60
6363,12,18,18,15,15.71,31.39,49.28,0.60
6397,12,20,9,0,20.78,29.69,46.59,0.60
6479,12,24,8,45,18.46,28.94,46.01,0.60
6593,12,30,23,45,23.71,31.69,50.39,0.60
3,1,1,2,0,18.22,33.32,53.36,0.59
320,1,19,4,0,14.71,32.98,52.54,0.59
492,2,6,4,0,16.61,34.88,54.58,0.59
791,2,21,20,0,19.27,29.38,46.71,0.59
1523,4,1,8,30,18.37,29.56,47.24,0.59
2036,4,27,11,0,14.69,31.66,49.61,0.59
2533,5,22,23,45,21.79,34.95,54.99,0.59
3719,7,21,3,15,27.97,35.1,54.27,0.59
4196,8,13,23,45,33.02,34.05,52.8,0.59
4318,8,20,3,0,33.35,34.94,53.71,0.59
5276,10,20,19,45,19.62,29.52,46.63,0.59
5534,11,4,7,0,16.27,30.05,47.29,0.59
6504,12,25,10,45,18.31,28.71,45.72,0.59
8,1,1,8,0,20.57,33.12,51.17,0.58
40,1,2,23,0,18.07,32.99,52.79,0.58
99,1,6,4,15,16.45,34.58,54.38,0.58
212,1,13,7,15,20.14,28.75,48.33,0.58
321,1,19,5,15,14.51,32.86,52.73,0.58
380,1,23,6,0,20.5,34.87,54.45,0.58
941,3,1,6,0,19.59,32.94,52.8,0.58
951,3,1,23,45,24.64,32.76,51.99,0.58
978,3,3,6,30,16.97,31.12,48.83,0.58
1734,4,11,21,30,19.76,28.92,45.78,0.58
2752,6,2,6,0,26.74,35.1,53.13,0.58
3720,7,21,5,45,28.65,35.31,54.52,0.58
3952,8,2,4,15,33.27,35.53,54.31,0.58
4026,8,6,2,45,33.5,35.35,54.33,0.58
4077,8,8,10,0,32.76,31.13,48.04,0.58
4276,8,18,3,45,30.81,35.43,54.11,0.58
4366,8,22,2,0,34.73,34.74,53.24,0.58
5197,10,16,9,0,15.07,32.44,49.97,0.58
5358,10,25,8,0,16.22,31.44,48.77,0.58
5381,10,26,20,0,17.84,30.03,47.56,0.58
5612,11,8,20,0,19.04,29.29,46.73,0.58
5627,11,9,20,0,20.43,29.22,46.23,0.58
5669,11,12,8,45,15.41,29.66,47.15,0.58
5990,11,28,16,0,19.09,32.02,49.05,0.58
6151,12,7,19,0,21.36,29.6,46.33,0.58
6364,12,18,19,0,16.73,30.52,48.2,0.58
6516,12,25,22,45,20.68,33.99,54.59,0.58
6543,12,28,4,0,26.71,32.38,50.86,0.58
