id,month,day,hour,min,i_f,p_f,score
26946,10,28,22,30,0,0,0.85
14348,6,7,13,45,0,0,0.81
27951,11,8,8,45,0,0,0.80
14250,6,6,13,15,136.13,10.95,0.79
30051,11,30,5,45,0,0,0.79
27517,11,3,20,15,94.47,28.89,0.75
14251,6,6,13,30,198.8,19.65,0.74
32371,12,24,9,45,191.2,27.03,0.72
13043,5,24,23,30,527.73,35.24,0.71
23839,9,26,13,45,79.93,31.2,0.70
13044,5,24,23,45,522.87,35.36,0.69
20381,8,9,10,0,504.47,28.16,0.69
25787,10,16,20,45,132.33,31.97,0.69
32369,12,24,9,15,191.6,26.76,0.69
32370,12,24,9,30,191,26.97,0.69
32471,12,25,10,45,300.93,28.71,0.68
3013,2,9,10,0,97.67,28.46,0.67
7888,4,1,6,45,97.27,32.88,0.67
13450,5,29,5,15,548.67,36.1,0.67
22907,9,16,20,45,182,30.37,0.67
23840,9,26,14,0,76.87,31.11,0.67
24976,10,8,10,0,0,30.24,0.67
29867,11,28,7,45,0,32,0.67
32467,12,25,9,45,187.27,27.96,0.67
13061,5,25,4,0,540.2,34.84,0.66
