id,month,day,hour,min,n_px,ce_px,cs_px,score
4587,9,14,23,45,2.16,545.03,0,0.70
2922,6,10,23,45,2.06,463.83,0,0.69
4854,9,28,1,0,0,447.87,0,0.69
6286,12,14,22,45,2.17,465.28,0,0.69
4853,9,28,0,30,0,432.01,0,0.68
4859,9,28,5,0,0,287.04,0,0.66
319,1,18,23,45,1.68,429.59,0,0.65
2640,5,27,23,30,2.55,537.09,0,0.65
2641,5,27,23,45,2.61,540.57,0,0.65
3309,6,30,11,0,0,0,223.37,0.65
207,1,12,23,0,-0.06,111.27,0,0.64
3015,6,14,23,45,2.76,510.57,0,0.64
6344,12,17,23,0,2.15,468.13,0,0.64
206,1,12,21,0,-0.03,64.23,0,0.63
282,1,17,10,0,0,0,446.3,0.63
283,1,17,10,45,0,0,384.23,0.63
284,1,17,11,0,0,0,403.88,0.63
2533,5,22,23,45,2.88,551.41,0,0.63
6021,11,30,9,0,0,37.76,177.27,0.63
209,1,13,3,45,-0.06,68.04,0,0.62
218,1,13,15,0,0.06,179.46,0,0.62
4855,9,28,3,15,0,354.71,0,0.62
5525,11,3,23,0,1.92,443.91,0,0.62
6022,11,30,11,15,0,56.09,0,0.62
190,1,12,5,45,0.62,0,87.13,0.61
208,1,13,2,30,-0.06,52.8,0,0.61
223,1,13,23,45,0.77,342.22,0,0.61
224,1,14,1,0,0.97,241.57,0,0.61
4050,8,7,5,45,3.9,478.31,0,0.61
4538,8,30,23,30,2.7,435.49,0,0.61
4857,9,28,4,30,0,323.46,0,0.61
4858,9,28,4,45,0,320.71,0,0.61
4863,9,28,9,0,0,0,165.71,0.61
5858,11,21,23,0,2.39,445.45,0,0.61
6480,12,24,9,0,2.79,0,525.13,0.61
210,1,13,5,0,-0.06,74.99,0,0.60
219,1,13,15,45,0.11,205.87,0,0.60
406,1,24,11,0,0,0,204.39,0.60
764,2,20,9,0,3.39,0,553.09,0.60
1562,4,3,1,45,2.05,0,116.09,0.60
2646,5,28,3,45,3.44,580.55,0,0.60
3357,7,3,7,0,3.81,541.47,0,0.60
4860,9,28,6,30,0,270.45,0,0.60
6158,12,8,0,0,1.88,162.81,0,0.60
6592,12,30,23,0,1.7,242.91,0,0.60
6594,12,31,0,30,1.83,227.85,0,0.60
19,1,2,1,45,2.62,454.19,0,0.59
185,1,12,1,0,0.55,53.53,0,0.59
1500,3,31,8,0,3.51,0,394.81,0.59
1503,3,31,10,15,2.89,0,475.93,0.59
1534,4,1,23,30,1.63,262.63,0,0.59
2879,6,9,0,45,2.44,523.76,0,0.59
3308,6,30,10,30,0,0,232.35,0.59
4856,9,28,3,45,0,334.1,0,0.59
5046,10,8,3,30,3.31,548.17,0,0.59
6323,12,16,23,0,2.21,449.14,0,0.59
6385,12,19,20,45,1.81,110.35,0,0.59
6481,12,24,9,45,2.5,0,599.53,0.59
6538,12,27,23,0,1.73,340.66,0,0.59
6555,12,28,20,15,1.65,161.79,0,0.59
2,1,1,1,45,2.31,412.33,0,0.58
184,1,11,22,30,0.48,0,56.75,0.58
192,1,12,6,45,0.52,0,67.9,0.58
198,1,12,12,45,0.11,69.18,0,0.58
203,1,12,17,30,0.03,59.55,0,0.58
204,1,12,18,45,0.01,70.21,0,0.58
205,1,12,20,15,-0.01,54.73,0,0.58
220,1,13,17,45,0.26,134.08,0,0.58
1121,3,10,6,0,3.64,74.8,129.97,0.58
2573,5,24,23,15,2.96,462.79,0,0.58
