id,month,day,hour,min,i_uiipu,c_pu_p,p_pu,score,month,day,hour,min
14348,6,7,13,45,0,0,0,0.81,11,15,10,54
26946,10,28,22,30,0,0,0,0.78,11,15,10,54
27308,11,1,16,0,261.87,0,24.56,0.78,11,15,10,54
27951,11,8,8,45,0,0,0,0.77,11,15,10,54
30051,11,30,5,45,0,0,0,0.77,11,15,10,54
14341,6,7,12,0,96.6,0,17.22,0.74,11,15,10,54
17097,7,6,5,0,8.93,0,36.73,0.71,11,15,10,54
17098,7,6,5,15,8.53,0,36.83,0.71,11,15,10,54
10685,4,30,10,0,155.6,40.87,46.27,0.68,11,15,10,54
11444,5,8,7,45,447.33,32.6,55.12,0.68,11,15,10,54
20149,8,7,0,0,351.67,76.73,52.84,0.67,11,15,10,54
20176,8,7,6,45,311.53,87.87,54.38,0.67,11,15,10,54
1178,1,13,6,30,204.2,16.46,44.67,0.66,11,15,10,54
11445,5,8,8,0,456.13,28.25,55.1,0.65,11,15,10,54
11741,5,11,10,0,517.2,24.53,53.97,0.65,11,15,10,54
1097,1,12,10,15,101.8,26.17,45.97,0.64,11,15,10,54
9236,4,15,7,45,466.8,14.44,54.55,0.64,11,15,10,54
9332,4,16,7,45,473.87,14.32,55.11,0.64,11,15,10,54
11743,5,11,10,30,513,31,53.94,0.64,11,15,10,54
18160,7,17,6,45,313.07,85.25,53.92,0.64,11,15,10,54
1177,1,13,6,15,191.6,0,45.74,0.63,11,15,10,54
2134,1,23,6,0,353.73,31.32,54.45,0.63,11,15,10,54
11443,5,8,7,30,438.67,25.41,55.11,0.63,11,15,10,54
11446,5,8,8,15,461.4,31.68,54.97,0.63,11,15,10,54
18064,7,16,6,45,358.53,83.2,54.18,0.63,11,15,10,54
