id,num,num_files,scores_files
0,3,position_falcon.csv;function_presure.csv;function_level.csv,0.58;0.64;0.62
2,1,position_plaxiquet.csv,0.58
3,2,function_presure.csv;function_level.csv,0.59;0.60
7,2,position_falcon.csv;function_presure.csv,0.57;0.62
8,3,position_falcon.csv;function_presure.csv;function_level.csv,0.58;0.58;0.61
12,1,function_level.csv,0.62
17,1,position_falcon.csv,0.58
18,2,position_falcon.csv;function_level.csv,0.58;0.60
19,1,position_plaxiquet.csv,0.59
24,1,function_level.csv,0.60
26,1,function_level.csv,0.63
27,1,function_level.csv,0.60
28,1,function_level.csv,0.63
35,2,function_level.csv;function_flow.csv,0.61;0.56
36,1,position_falcon.csv,0.57
37,1,position_falcon.csv,0.59
38,1,position_falcon.csv,0.57
39,1,position_falcon.csv,0.57
40,3,position_falcon.csv;function_presure.csv;function_level.csv,0.60;0.58;0.63
90,1,position_pueblo.csv,0.58
99,1,function_presure.csv,0.58
168,2,position_pueblo.csv;function_flow.csv,0.59;0.58
171,1,position_falcon.csv,0.57
178,1,function_level.csv,0.60
184,1,position_plaxiquet.csv,0.58
185,7,total.csv;position_pueblo.csv;position_plaxiquet.csv;position_falcon.csv;function_presure.csv;function_level.csv;function_drive.csv,0.59;0.59;0.59;0.58;0.60;0.65;0.59
186,1,function_level.csv,0.61
188,2,total.csv;function_level.csv,0.55;0.62
189,1,function_level.csv,0.61
190,2,position_plaxiquet.csv;function_level.csv,0.61;0.64
191,1,total.csv,0.58
192,2,position_plaxiquet.csv;function_level.csv,0.58;0.63
194,2,total.csv;function_presure.csv,0.55;0.60
198,2,position_plaxiquet.csv;function_level.csv,0.58;0.63
203,1,position_plaxiquet.csv,0.58
204,3,position_plaxiquet.csv;position_falcon.csv;function_level.csv,0.58;0.59;0.62
205,1,position_plaxiquet.csv,0.58
206,1,position_plaxiquet.csv,0.63
207,3,position_plaxiquet.csv;function_level.csv;function_drive.csv,0.64;0.61;0.61
208,6,total.csv;position_pueblo.csv;position_plaxiquet.csv;position_falcon.csv;function_level.csv;function_drive.csv,0.62;0.62;0.61;0.70;0.60;0.59
209,3,total.csv;position_plaxiquet.csv;function_level.csv,0.64;0.62;0.62
210,4,total.csv;position_plaxiquet.csv;function_level.csv;function_drive.csv,0.57;0.60;0.60;0.62
211,2,total.csv;function_level.csv,0.62;0.61
212,2,total.csv;function_presure.csv,0.56;0.58
213,1,total.csv,0.54
216,1,total.csv,0.56
217,1,total.csv,0.54
218,2,total.csv;position_plaxiquet.csv,0.58;0.62
219,2,total.csv;position_plaxiquet.csv,0.57;0.60
220,2,total.csv;position_plaxiquet.csv,0.54;0.58
221,1,function_drive.csv,0.58
223,2,position_plaxiquet.csv;function_level.csv,0.61;0.62
224,4,total.csv;position_plaxiquet.csv;function_presure.csv;function_level.csv,0.54;0.61;0.60;0.62
225,1,function_level.csv,0.60
226,1,total.csv,0.56
242,1,position_playa.csv,0.59
256,1,function_drive.csv,0.61
257,2,position_playa.csv;function_drive.csv,0.60;0.58
258,2,position_playa.csv;function_drive.csv,0.59;0.60
259,2,position_playa.csv;function_drive.csv,0.61;0.59
260,1,position_playa.csv,0.57
261,2,position_playa.csv;function_drive.csv,0.61;0.61
282,2,total.csv;position_plaxiquet.csv,0.56;0.63
283,2,position_plaxiquet.csv;function_level.csv,0.63;0.62
284,1,position_plaxiquet.csv,0.63
306,2,position_falcon.csv;function_drive.csv,0.62;0.58
307,2,position_falcon.csv;function_drive.csv,0.59;0.58
309,2,position_falcon.csv;function_drive.csv,0.58;0.60
311,2,position_falcon.csv;function_drive.csv,0.58;0.58
319,2,position_plaxiquet.csv;function_level.csv,0.65;0.60
320,1,function_presure.csv,0.59
321,1,function_presure.csv,0.58
325,1,function_flow.csv,0.56
375,1,function_flow.csv,0.57
376,2,position_playa.csv;function_flow.csv,0.60;0.61
380,2,position_pueblo.csv;function_presure.csv,0.61;0.58
381,1,function_flow.csv,0.57
383,1,function_drive.csv,0.63
384,1,function_drive.csv,0.60
386,1,function_drive.csv,0.58
388,1,function_drive.csv,0.58
389,1,function_drive.csv,0.61
397,1,function_flow.csv,0.57
399,1,function_flow.csv,0.57
406,2,total.csv;position_plaxiquet.csv,0.59;0.60
408,1,function_drive.csv,0.60
409,1,function_drive.csv,0.61
413,1,function_drive.csv,0.61
420,1,function_drive.csv,0.58
430,1,function_drive.csv,0.59
431,2,position_playa.csv;function_drive.csv,0.58;0.59
435,1,function_drive.csv,0.61
436,1,function_drive.csv,0.58
471,1,function_drive.csv,0.58
492,1,function_presure.csv,0.59
552,3,total.csv;position_falcon.csv;function_drive.csv,0.60;0.61;0.58
553,3,total.csv;position_falcon.csv;function_flow.csv,0.58;0.64;0.57
573,1,position_pueblo.csv,0.58
614,1,function_flow.csv,0.59
618,1,function_flow.csv,0.58
764,2,position_plaxiquet.csv;function_flow.csv,0.60;0.60
765,1,function_flow.csv,0.59
791,1,function_presure.csv,0.59
795,1,function_drive.csv,0.61
814,1,function_drive.csv,0.60
833,1,function_drive.csv,0.58
834,1,function_drive.csv,0.61
884,1,function_flow.csv,0.58
918,1,function_flow.csv,0.57
919,1,function_presure.csv,0.60
934,1,function_drive.csv,0.62
936,1,position_falcon.csv,0.60
941,1,function_presure.csv,0.58
942,1,function_drive.csv,0.59
951,2,position_falcon.csv;function_presure.csv,0.62;0.58
968,1,position_falcon.csv,0.58
971,1,position_falcon.csv,0.58
978,1,function_presure.csv,0.58
1057,1,position_falcon.csv,0.58
1121,1,position_plaxiquet.csv,0.58
1174,1,function_drive.csv,0.58
1201,1,function_level.csv,0.61
1202,1,total.csv,0.55
1330,1,position_playa.csv,0.63
1356,1,position_playa.csv,0.58
1373,2,position_playa.csv;function_level.csv,0.58;0.60
1415,1,position_falcon.csv,0.59
1470,1,function_drive.csv,0.59
1471,1,position_falcon.csv,0.58
1492,1,function_level.csv,0.60
1493,1,function_level.csv,0.60
1499,1,position_falcon.csv,0.59
1500,2,position_playa.csv;position_plaxiquet.csv,0.59;0.59
1501,1,function_level.csv,0.60
1503,1,position_plaxiquet.csv,0.59
1505,1,function_drive.csv,0.58
1506,2,position_falcon.csv;function_drive.csv,0.64;0.58
1515,1,function_level.csv,0.63
