id,num,scores_files,scores_sum,num_files,received_at
8841,6,0.62;0.81;0.78;0.83;0.55;0.56,4.15,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9740002203371158
8842,6,0.62;0.81;0.78;0.83;0.55;0.56,4.15,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9741103888950093
3692,6,0.64;0.76;0.76;0.84;0.42;0.68,4.1,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.40674231574308695
4976,6,0.61;0.76;0.77;0.86;0.42;0.66,4.08,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.54819874407844
6268,6,0.61;0.8;0.79;0.72;0.46;0.67,4.05,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.6905365208769417
6269,6,0.61;0.8;0.79;0.72;0.46;0.67,4.05,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.6906466894348353
1147,6,0.64;0.78;0.79;0.74;0.45;0.64,4.04,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.126363335903933
2407,6,0.65;0.77;0.76;0.77;0.42;0.65,4.02,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.26517571884984026
7617,6,0.57;0.83;0.77;0.85;0.44;0.52,3.98,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.8391539054753774
1146,6,0.61;0.78;0.79;0.85;0.43;0.51,3.9700000000000006,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.12625316734603945
4977,6,0.61;0.76;0.77;0.74;0.42;0.66,3.96,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.5483089126363336
3691,6,0.62;0.76;0.76;0.82;0.46;0.5,3.9199999999999995,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.40663214718519336
2406,6,0.62;0.77;0.76;0.74;0.42;0.52,3.8300000000000005,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.26506555029194667
7598,6,0.56;0.78;0.74;0.77;0.47;0.51,3.83,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.8370607028753994
9067,6,0.52;0.79;0.59;0.67;0.66;0.6,3.83,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9988983144210642
7597,6,0.56;0.78;0.74;0.72;0.47;0.51,3.7799999999999994,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.8369505343175058
43,6,0.51;0.7;0.58;0.64;0.55;0.6,3.5800000000000005,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.004737247989423818
9009,6,0.6;0.72;0.57;0.42;0.57;0.66,3.5399999999999996,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9925085380632368
