id,num,scores_files,scores_sum,num_files,month,day,hour,min
26946,8,0.77;0.78;0.75;0.69;0.85;0.84;0.78;0.68,6.14,total.csv;position_pueblo.csv;position_playa.csv;position_plaxiquet.csv;position_falcon.csv;function_presure.csv;function_level.csv;function_drive.csv,10,28,22,30
14348,7,0.76;0.81;0.76;0.81;0.84;0.71;0.7,5.39,total.csv;position_pueblo.csv;position_playa.csv;position_falcon.csv;function_presure.csv;function_level.csv;function_drive.csv,6,7,13,45
30051,7,0.73;0.77;0.77;0.79;0.82;0.75;0.7,5.33,total.csv;position_pueblo.csv;position_playa.csv;position_falcon.csv;function_presure.csv;function_level.csv;function_drive.csv,11,30,5,45
27951,7,0.77;0.77;0.75;0.8;0.82;0.74;0.66,5.31,total.csv;position_pueblo.csv;position_playa.csv;position_falcon.csv;function_presure.csv;function_level.csv;function_drive.csv,11,8,8,45
20381,5,0.74;0.67;0.69;0.68;0.67,3.45,total.csv;position_plaxiquet.csv;position_falcon.csv;function_presure.csv;function_flow.csv,8,9,10,0
14341,4,0.63;0.74;0.71;0.82,2.9,total.csv;position_pueblo.csv;position_playa.csv;function_presure.csv,6,7,12,0
14250,3,0.73;0.79;0.67,2.19,total.csv;position_falcon.csv;function_presure.csv,6,6,13,15
14251,3,0.65;0.74;0.67,2.06,total.csv;position_falcon.csv;function_presure.csv,6,6,13,30
1178,3,0.67;0.66;0.68,2.0100000000000002,total.csv;position_pueblo.csv;function_presure.csv,1,13,6,30
32369,3,0.69;0.67;0.64,2,position_falcon.csv;function_presure.csv;function_flow.csv,12,24,9,15
13044,3,0.64;0.69;0.64,1.9700000000000002,total.csv;position_falcon.csv;function_drive.csv,5,24,23,45
20176,3,0.64;0.67;0.64,1.9500000000000002,total.csv;position_pueblo.csv;function_flow.csv,8,7,6,45
27308,2,0.78;0.77,1.55,position_pueblo.csv;function_presure.csv,11,1,16,0
17097,2,0.71;0.73,1.44,position_pueblo.csv;function_presure.csv,7,6,5,0
16022,2,0.72;0.67,1.3900000000000001,position_playa.csv;function_presure.csv,6,25,0,15
27517,2,0.75;0.64,1.3900000000000001,position_falcon.csv;function_drive.csv,11,3,20,15
29164,2,0.69;0.68,1.37,position_playa.csv;function_presure.csv,11,21,0,0
29151,2,0.65;0.71,1.3599999999999999,position_playa.csv;function_presure.csv,11,20,20,45
29163,2,0.66;0.68,1.34,position_playa.csv;function_presure.csv,11,20,23,45
29160,2,0.65;0.69,1.3399999999999999,position_playa.csv;function_presure.csv,11,20,23,0
29156,2,0.64;0.7,1.3399999999999999,position_playa.csv;function_presure.csv,11,20,22,0
32370,2,0.69;0.64,1.33,position_falcon.csv;function_flow.csv,12,24,9,30
32467,2,0.65;0.67,1.32,total.csv;position_falcon.csv,12,25,9,45
