id,month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu,score,month,day,hour,min
26946,10,28,22,30,0,0,0,0,0,0,0,0,0,0,0,0.77,11,15,10,54
27951,11,8,8,45,0,0,0,0,0,0,0,0,0,0,0,0.77,11,15,10,54
14348,6,7,13,45,0,0,0,0,0,0,0,0,0,0,0,0.76,11,15,10,54
20381,8,9,10,0,3.39,0,598.49,2.165,703.19,34.55,504.47,28.16,82.27,53.86,45.07,0.74,11,15,10,54
14250,6,6,13,15,2.89,31.44,189.28,1.4,419.95,25.87,136.13,10.95,207.33,0,49.59,0.73,11,15,10,54
30051,11,30,5,45,0,0,0,0,0,0,0,0,0,0,0,0.73,11,15,10,54
1178,1,13,6,30,-0.06,22.31,27.49,2.198,121.94,20.11,310.87,26.37,204.2,16.46,44.67,0.67,11,15,10,54
20382,8,9,10,15,3.29,0,532.02,2.104,715.22,35.14,488.73,29.31,87.07,47.1,46.2,0.67,11,15,10,54
14251,6,6,13,30,2.85,65.15,141.2,1.4,422.42,25.63,198.8,19.65,204.33,0,50.02,0.65,11,15,10,54
32467,12,25,9,45,3.36,0,601.71,2.389,119.52,18.39,187.27,27.96,118.33,0,45.31,0.65,11,15,10,54
13044,5,24,23,45,3.08,504.61,0,0.94,192.28,21.77,522.87,35.36,254.53,0,53.24,0.64,11,15,10,54
18941,7,25,10,0,3.3,0,379.49,1.785,691.67,31.23,453,30.73,210,65.1,46.5,0.64,11,15,10,54
20176,8,7,6,45,4.12,476.7,0,3.079,292.98,24.8,431.53,35.65,311.53,87.87,54.38,0.64,11,15,10,54
2013,1,21,23,45,2.22,416.62,0,2.68,111.24,17.66,255.47,33.25,369.53,23.11,53.26,0.63,11,15,10,54
14341,6,7,12,0,2.82,62.27,46.93,1.66,346.53,8.34,404.87,32.33,96.6,0,17.22,0.63,11,15,10,54
18724,7,23,3,45,2.87,595.21,0,2.067,454,30.57,416.53,35.47,351.53,42.62,54.65,0.62,11,15,10,54
20380,8,9,9,45,3.47,0,442.8,2.246,689.31,33.04,475.53,30.38,96.67,58.5,47.13,0.62,11,15,10,54
1177,1,13,6,15,-0.06,31.39,0.43,2.228,172.55,20.08,311.8,27.44,191.6,0,45.74,0.61,11,15,10,54
13349,5,28,4,0,3.51,573.06,0,1.911,0,28.38,484.27,36.22,190.07,0,53.89,0.61,11,15,10,54
18725,7,23,4,0,2.94,576.77,0,2.16,450.17,28.85,421.47,35.42,354.2,47.16,54.5,0.61,11,15,10,54
18942,7,25,10,15,3.23,0,400.37,1.703,654.4,31.46,432.8,30.64,209.6,63.65,46.56,0.61,11,15,10,54
20065,8,6,3,0,2.99,598.86,0,1.745,513.13,33.44,433.67,35.52,358.4,37.83,54.64,0.61,11,15,10,54
20177,8,7,7,0,4.17,236.11,0,3.082,277.7,25.41,423,34.5,86.13,85.24,51.97,0.61,11,15,10,54
1097,1,12,10,15,0.22,13.93,209.68,0.1,228.66,21.18,264.27,27.95,101.8,26.17,45.97,0.60,11,15,10,54
1155,1,13,0,45,-0.06,66.74,0,0.537,437.91,28.02,198.4,36.08,3.2,0,54.16,0.60,11,15,10,54
