header,value,key
undefined,undefined,NaN
﻿Fecha,01/01/2021,0
﻿Fecha,02/01/2021,1
﻿Fecha,03/01/2021,2
﻿Fecha,04/01/2021,3
﻿Fecha,05/01/2021,4
﻿Fecha,06/01/2021,5
Hora,0:00:00,0
Hora,0:15:00,1
Hora,0:30:00,2
Hora,0:45:00,3
Hora,1:00:00,4
Hora,1:15:00,5
Hora,1:30:00,6
Hora,1:45:00,7
Hora,2:00:00,8
Hora,2:15:00,9
Hora,2:30:00,10
Hora,2:45:00,11
Hora,3:00:00,12
Hora,3:15:00,13
Hora,3:30:00,14
Hora,3:45:00,15
Hora,4:00:00,16
Hora,4:15:00,17
Hora,4:30:00,18
Hora,4:45:00,19
Hora,5:00:00,20
Hora,5:15:00,21
Hora,5:30:00,22
Hora,5:45:00,23
Hora,6:00:00,24
Hora,6:15:00,25
Hora,6:30:00,26
Hora,6:45:00,27
Hora,7:00:00,28
Hora,7:15:00,29
Hora,7:30:00,30
Hora,7:45:00,31
Hora,8:00:00,32
Hora,8:15:00,33
Hora,8:30:00,34
Hora,8:45:00,35
Hora,9:00:00,36
Hora,9:15:00,37
Hora,9:30:00,38
Hora,9:45:00,39
Hora,10:00:00,40
Hora,10:15:00,41
Hora,10:30:00,42
Hora,10:45:00,43
Hora,11:00:00,44
Hora,11:15:00,45
Hora,11:30:00,46
Hora,11:45:00,47
Hora,12:00:00,48
Hora,12:15:00,49
Hora,12:30:00,50
Hora,12:45:00,51
Hora,13:00:00,52
Hora,13:15:00,53
Hora,13:30:00,54
Hora,13:45:00,55
Hora,14:00:00,56
Hora,14:15:00,57
Hora,14:30:00,58
Hora,14:45:00,59
Hora,15:00:00,60
Hora,15:15:00,61
Hora,15:30:00,62
Hora,15:45:00,63
Hora,16:00:00,64
Hora,16:15:00,65
Hora,16:30:00,66
Hora,16:45:00,67
Hora,17:00:00,68
Hora,17:15:00,69
Hora,17:30:00,70
Hora,17:45:00,71
Hora,18:00:00,72
Hora,18:15:00,73
Hora,18:30:00,74
Hora,18:45:00,75
Hora,19:00:00,76
Hora,19:15:00,77
Hora,19:30:00,78
Hora,19:45:00,79
Hora,20:00:00,80
Hora,20:15:00,81
Hora,20:30:00,82
Hora,20:45:00,83
Hora,21:00:00,84
Hora,21:15:00,85
Hora,21:30:00,86
Hora,21:45:00,87
Hora,22:00:00,88
Hora,22:15:00,89
Hora,22:30:00,90
Hora,22:45:00,91
Hora,23:00:00,92
Hora,23:15:00,93
Hora,23:30:00,94
Hora,23:45:00,95
