2022 Nivel depósito ,2021 Nivel depósito ,2020 Nivel depósito ,2019 Nivel depósito ,2018 Nivel depósito ,2017 Nivel depósito ,2021 nivel depósito calculado,2021 nivel depósito normalizado,﻿Fecha_Hora
3.24,2.72,21.1,14.1,null,null,2.72,2.72,0
3.22,2.78,20.9,14.6,null,null,2.78,2.78,1
3.23,2.83,21.2,15,null,null,2.83,2.83,2
3.27,2.88,21.5,15.4,null,null,2.88,2.88,3
3.27,2.93,21.8,15.8,null,null,2.93,2.93,4
3.26,2.96,22,16.2,null,null,2.96,2.96,5
3.24,2.99,22.2,16.6,null,null,2.99,2.99,6
3.23,3.02,22.5,17.1,null,null,3.02,3.02,7
3.22,3.04,22.8,17.6,null,null,3.04,3.04,8
3.21,3.07,23.1,18,null,null,3.07,3.07,9
3.2,3.1,23.4,18.5,null,null,3.1,3.1,10
3.19,3.13,23.6,18.9,null,null,3.13,3.13,11
3.18,3.16,23.9,19.4,null,null,3.16,3.16,12
3.17,3.2,24.2,19.9,null,null,3.2,3.2,13
3.16,3.23,24.5,20.4,null,null,3.23,3.23,14
3.15,3.27,24.8,20.9,null,null,3.27,3.27,15
3.14,3.25,25.2,21.4,null,null,3.25,3.25,16
3.13,3.21,25.5,21.9,null,null,3.21,3.21,17
3.12,3.18,25.8,22.4,null,null,3.18,3.18,18
3.12,3.15,26.2,23,null,null,3.15,3.15,19
3.12,3.11,26.6,23.5,null,null,3.11,3.11,20
3.12,3.08,26.9,24,null,null,3.08,3.08,21
3.12,3.05,27.3,24.5,null,null,3.05,3.05,22
3.11,3.02,27.6,25,null,null,3.02,3.02,23
3.11,2.99,28,25.5,null,null,2.99,2.99,24
3.11,2.96,28.3,26,null,null,2.96,2.96,25
3.1,2.92,28.6,26.5,null,null,2.92,2.92,26
3.1,2.89,29,26.8,null,null,2.89,2.89,27
3.1,2.86,29.3,26.8,null,null,2.86,2.86,28
3.08,2.83,29,26.5,null,null,2.83,2.83,29
3.09,2.79,28.8,26.7,null,null,2.79,2.79,30
3.08,2.76,29,26.7,null,null,2.76,2.76,31
3.07,2.72,29.3,26.7,null,null,2.72,2.72,32
3.06,2.7,29.3,26.6,null,null,2.7,2.7,33
3.05,2.68,28.9,26.6,null,null,2.68,2.68,34
3.04,2.66,28.4,26.5,null,null,2.66,2.66,35
3.02,2.64,28,26.3,null,null,2.64,2.64,36
3,2.61,27.5,26.1,null,null,2.61,2.61,37
2.98,2.58,27,25.7,null,null,2.58,2.58,38
2.95,2.54,26.5,25.3,null,null,2.54,2.54,39
2.93,2.5,25.9,24.9,null,null,2.5,2.5,40
2.9,2.51,25.4,24.4,null,null,2.51,2.51,41
2.87,2.54,24.8,23.9,null,null,2.54,2.54,42
2.83,2.57,24.2,23.4,null,null,2.57,2.57,43
2.8,2.59,23.5,22.9,null,null,2.59,2.59,44
2.75,2.61,22.9,22.4,null,null,2.61,2.61,45
2.68,2.64,22.4,21.8,null,null,2.64,2.64,46
