id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,2017 Nivel depósito ,0,﻿Fecha_Hora,0,0.54,0.54,0.54,0.53,0.53,0.51,0.54,0.53,0.53,0.54,0.56,0.54,0.55,0.51,0.54,0.52,0.51,0.53,0.55,0.53,0.52,0.52,0.52,0.54,0.54,13.31,0.53,false
1,2017 Nivel depósito ,0,﻿Fecha_Hora,0.002004008016032064,0.55,0.53,0.53,0.54,0.53,0.51,0.53,0.52,0.53,0.52,0.56,0.53,0.53,0.53,0.52,0.51,0.52,0.53,0.53,0.54,0.53,0.52,0.52,0.52,0.53,13.21,0.53,false
2,2017 Nivel depósito ,0,﻿Fecha_Hora,0.004008016032064128,0.53,0.53,0.53,0.53,0.51,0.49,0.52,0.51,0.53,0.50,0.54,0.51,0.54,0.51,0.50,0.51,0.51,0.51,0.52,0.52,0.50,0.51,0.52,0.52,0.52,12.92,0.52,false
3,2017 Nivel depósito ,0,﻿Fecha_Hora,0.006012024048096192,0.55,0.54,0.53,0.54,0.52,0.52,0.54,0.52,0.53,0.52,0.54,0.53,0.55,0.53,0.51,0.52,0.52,0.51,0.51,0.53,0.53,0.52,0.53,0.52,0.53,13.19,0.53,false
4,2017 Nivel depósito ,0,﻿Fecha_Hora,0.008016032064128256,0.53,0.52,0.52,0.52,0.51,0.52,0.54,0.50,0.51,0.52,0.53,0.53,0.52,0.51,0.50,0.52,0.52,0.51,0.51,0.52,0.51,0.50,0.52,0.50,0.52,12.91,0.52,false
5,2017 Nivel depósito ,0,﻿Fecha_Hora,0.01002004008016032,0.52,0.51,0.51,0.52,0.51,0.52,0.50,0.50,0.51,0.52,0.52,0.52,0.51,0.50,0.50,0.50,0.52,0.50,0.52,0.51,0.50,0.50,0.51,0.51,0.52,12.76,0.51,false
6,2017 Nivel depósito ,0,﻿Fecha_Hora,0.012024048096192385,0.50,0.50,0.51,0.51,0.51,0.50,0.51,0.50,0.50,0.52,0.51,0.52,0.50,0.51,0.50,0.50,0.50,0.50,0.51,0.52,0.49,0.49,0.50,0.51,0.51,12.63,0.51,false
7,2017 Nivel depósito ,0,﻿Fecha_Hora,0.014028056112224449,0.50,0.49,0.50,0.51,0.50,0.49,0.49,0.49,0.50,0.50,0.51,0.52,0.50,0.50,0.50,0.51,0.49,0.50,0.51,0.51,0.48,0.49,0.49,0.50,0.50,12.48,0.50,false
8,2017 Nivel depósito ,0,﻿Fecha_Hora,0.01603206412825651,0.49,0.48,0.49,0.50,0.49,0.48,0.48,0.48,0.50,0.50,0.51,0.48,0.50,0.49,0.51,0.50,0.48,0.50,0.50,0.50,0.47,0.49,0.48,0.50,0.49,12.29,0.49,false
9,2017 Nivel depósito ,0,﻿Fecha_Hora,0.018036072144288578,0.49,0.47,0.48,0.51,0.49,0.49,0.49,0.48,0.51,0.51,0.50,0.49,0.51,0.49,0.50,0.51,0.48,0.49,0.50,0.50,0.46,0.48,0.48,0.49,0.50,12.30,0.49,false
10,2017 Nivel depósito ,0,﻿Fecha_Hora,0.02004008016032064,0.49,0.49,0.49,0.50,0.50,0.49,0.48,0.48,0.51,0.51,0.50,0.48,0.49,0.48,0.50,0.51,0.49,0.49,0.50,0.50,0.46,0.49,0.48,0.50,0.50,12.31,0.49,false
11,2017 Nivel depósito ,0,﻿Fecha_Hora,0.022044088176352707,0.49,0.49,0.50,0.51,0.48,0.49,0.50,0.49,0.50,0.52,0.50,0.49,0.51,0.48,0.50,0.51,0.49,0.51,0.50,0.50,0.46,0.50,0.49,0.50,0.51,12.42,0.50,false
12,2017 Nivel depósito ,0,﻿Fecha_Hora,0.02404809619238477,0.49,0.50,0.49,0.50,0.49,0.50,0.50,0.49,0.51,0.52,0.49,0.51,0.50,0.49,0.51,0.51,0.50,0.50,0.51,0.50,0.46,0.50,0.50,0.50,0.50,12.47,0.50,false
13,2017 Nivel depósito ,0,﻿Fecha_Hora,0.026052104208416832,0.50,0.51,0.50,0.51,0.50,0.50,0.51,0.51,0.53,0.53,0.51,0.50,0.50,0.50,0.52,0.51,0.52,0.51,0.50,0.52,0.48,0.51,0.50,0.50,0.52,12.70,0.51,false
14,2017 Nivel depósito ,0,﻿Fecha_Hora,0.028056112224448898,0.51,0.52,0.53,0.52,0.52,0.51,0.52,0.52,0.52,0.53,0.53,0.52,0.52,0.52,0.51,0.52,0.52,0.52,0.53,0.52,0.50,0.53,0.52,0.52,0.53,13.01,0.52,false
15,2017 Nivel depósito ,0,﻿Fecha_Hora,0.03006012024048096,0.55,0.57,0.58,0.56,0.58,0.54,0.58,0.55,0.58,0.57,0.56,0.56,0.56,0.57,0.55,0.57,0.57,0.58,0.56,0.57,0.57,0.57,0.58,0.57,0.56,14.16,0.57,true
16,2017 Nivel depósito ,0,﻿Fecha_Hora,0.03206412825651302,0.51,0.53,0.53,0.52,0.53,0.50,0.54,0.53,0.54,0.54,0.53,0.53,0.52,0.53,0.51,0.53,0.52,0.53,0.53,0.52,0.50,0.53,0.53,0.52,0.52,13.12,0.52,false
17,2017 Nivel depósito ,0,﻿Fecha_Hora,0.03406813627254509,0.48,0.50,0.50,0.49,0.48,0.48,0.49,0.49,0.50,0.52,0.50,0.49,0.49,0.49,0.49,0.51,0.49,0.49,0.48,0.51,0.47,0.50,0.49,0.49,0.50,12.32,0.49,false
18,2017 Nivel depósito ,0,﻿Fecha_Hora,0.036072144288577156,0.47,0.47,0.48,0.49,0.47,0.47,0.48,0.48,0.49,0.51,0.49,0.48,0.49,0.48,0.49,0.51,0.49,0.48,0.47,0.49,0.46,0.49,0.48,0.47,0.48,12.06,0.48,false
19,2017 Nivel depósito ,0,﻿Fecha_Hora,0.03807615230460922,0.46,0.46,0.46,0.49,0.45,0.46,0.47,0.48,0.48,0.49,0.49,0.47,0.48,0.46,0.48,0.49,0.48,0.48,0.48,0.47,0.46,0.48,0.48,0.46,0.48,11.84,0.47,false
20,2017 Nivel depósito ,0,﻿Fecha_Hora,0.04008016032064128,0.46,0.46,0.45,0.49,0.46,0.46,0.47,0.47,0.49,0.48,0.48,0.46,0.48,0.47,0.47,0.47,0.47,0.46,0.47,0.46,0.45,0.47,0.47,0.47,0.48,11.72,0.47,false
21,2017 Nivel depósito ,0,﻿Fecha_Hora,0.04208416833667335,0.45,0.45,0.45,0.48,0.46,0.47,0.44,0.47,0.48,0.47,0.48,0.45,0.47,0.46,0.48,0.46,0.46,0.44,0.47,0.46,0.45,0.45,0.46,0.47,0.46,11.54,0.46,false
22,2017 Nivel depósito ,0,﻿Fecha_Hora,0.04408817635270541,0.46,0.45,0.44,0.48,0.46,0.45,0.44,0.47,0.46,0.47,0.48,0.44,0.46,0.47,0.47,0.47,0.46,0.45,0.47,0.47,0.46,0.45,0.45,0.46,0.46,11.50,0.46,false
23,2017 Nivel depósito ,0,﻿Fecha_Hora,0.04609218436873747,0.45,0.46,0.45,0.46,0.46,0.45,0.46,0.47,0.48,0.47,0.48,0.45,0.47,0.47,0.47,0.48,0.47,0.45,0.48,0.47,0.46,0.45,0.45,0.47,0.46,11.59,0.46,false
24,2017 Nivel depósito ,0,﻿Fecha_Hora,0.04809619238476954,0.46,0.46,0.44,0.47,0.47,0.45,0.46,0.47,0.48,0.46,0.48,0.47,0.48,0.46,0.46,0.48,0.47,0.46,0.47,0.48,0.46,0.45,0.45,0.45,0.46,11.60,0.46,false
25,2017 Nivel depósito ,0,﻿Fecha_Hora,0.050100200400801605,0.46,0.46,0.46,0.47,0.47,0.46,0.45,0.47,0.47,0.48,0.49,0.46,0.46,0.47,0.47,0.47,0.48,0.45,0.47,0.48,0.46,0.46,0.44,0.45,0.45,11.61,0.46,false
26,2017 Nivel depósito ,0,﻿Fecha_Hora,0.052104208416833664,0.47,0.47,0.46,0.46,0.47,0.46,0.46,0.47,0.48,0.48,0.47,0.46,0.46,0.47,0.46,0.48,0.47,0.46,0.47,0.47,0.48,0.48,0.45,0.45,0.46,11.67,0.47,false
27,2017 Nivel depósito ,0,﻿Fecha_Hora,0.05410821643286573,0.47,0.48,0.48,0.49,0.47,0.47,0.48,0.49,0.49,0.49,0.47,0.46,0.49,0.48,0.47,0.48,0.48,0.46,0.48,0.49,0.49,0.48,0.48,0.45,0.47,11.94,0.48,false
28,2017 Nivel depósito ,0,﻿Fecha_Hora,0.056112224448897796,0.49,0.49,0.49,0.51,0.49,0.50,0.50,0.51,0.49,0.51,0.48,0.48,0.49,0.50,0.49,0.49,0.51,0.48,0.50,0.50,0.50,0.49,0.50,0.48,0.48,12.35,0.49,false
29,2017 Nivel depósito ,0,﻿Fecha_Hora,0.05811623246492986,0.48,0.47,0.47,0.50,0.48,0.47,0.48,0.48,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.50,0.49,0.48,0.48,0.49,0.49,0.48,0.48,0.46,0.47,12.01,0.48,false
30,2017 Nivel depósito ,0,﻿Fecha_Hora,0.06012024048096192,0.48,0.48,0.48,0.49,0.48,0.48,0.49,0.49,0.50,0.49,0.48,0.48,0.48,0.47,0.48,0.49,0.49,0.48,0.48,0.50,0.49,0.48,0.48,0.47,0.48,12.09,0.48,false
31,2017 Nivel depósito ,0,﻿Fecha_Hora,0.06212424849699399,0.50,0.49,0.48,0.50,0.49,0.48,0.49,0.50,0.50,0.49,0.48,0.48,0.47,0.48,0.48,0.50,0.48,0.49,0.48,0.50,0.50,0.49,0.49,0.48,0.49,12.21,0.49,false
32,2017 Nivel depósito ,0,﻿Fecha_Hora,0.06412825651302605,0.49,0.50,0.50,0.52,0.50,0.50,0.52,0.50,0.51,0.51,0.49,0.49,0.51,0.48,0.49,0.50,0.49,0.50,0.50,0.51,0.51,0.49,0.50,0.51,0.50,12.52,0.50,false
33,2017 Nivel depósito ,0,﻿Fecha_Hora,0.06613226452905811,0.49,0.49,0.50,0.52,0.51,0.49,0.51,0.50,0.51,0.52,0.50,0.48,0.50,0.49,0.49,0.50,0.50,0.50,0.50,0.50,0.52,0.49,0.50,0.50,0.50,12.51,0.50,false
34,2017 Nivel depósito ,0,﻿Fecha_Hora,0.06813627254509018,0.48,0.49,0.50,0.51,0.51,0.48,0.50,0.50,0.51,0.50,0.49,0.49,0.51,0.48,0.48,0.50,0.51,0.49,0.48,0.50,0.52,0.50,0.49,0.50,0.50,12.42,0.50,false
35,2017 Nivel depósito ,0,﻿Fecha_Hora,0.07014028056112225,0.48,0.50,0.49,0.51,0.51,0.48,0.50,0.52,0.52,0.50,0.49,0.50,0.50,0.48,0.49,0.51,0.50,0.49,0.49,0.51,0.50,0.50,0.50,0.48,0.49,12.44,0.50,false
36,2017 Nivel depósito ,0,﻿Fecha_Hora,0.07214428857715431,0.48,0.49,0.49,0.50,0.51,0.48,0.49,0.52,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.50,0.50,0.49,0.48,0.50,0.50,0.50,0.49,0.48,0.49,12.36,0.49,false
37,2017 Nivel depósito ,0,﻿Fecha_Hora,0.07414829659318638,0.48,0.49,0.49,0.50,0.52,0.49,0.52,0.52,0.51,0.52,0.50,0.52,0.51,0.50,0.50,0.52,0.51,0.50,0.49,0.50,0.50,0.51,0.49,0.50,0.50,12.59,0.50,false
38,2017 Nivel depósito ,0,﻿Fecha_Hora,0.07615230460921844,0.50,0.49,0.49,0.51,0.51,0.50,0.51,0.53,0.51,0.52,0.50,0.51,0.50,0.49,0.51,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.48,0.50,0.50,12.65,0.51,false
39,2017 Nivel depósito ,0,﻿Fecha_Hora,0.0781563126252505,0.53,0.51,0.51,0.52,0.53,0.51,0.53,0.53,0.52,0.53,0.52,0.52,0.51,0.51,0.52,0.53,0.52,0.52,0.51,0.52,0.51,0.52,0.51,0.52,0.50,12.96,0.52,false
40,2017 Nivel depósito ,0,﻿Fecha_Hora,0.08016032064128256,0.57,0.55,0.56,0.57,0.60,0.55,0.56,0.57,0.56,0.57,0.57,0.55,0.57,0.57,0.56,0.54,0.56,0.55,0.57,0.55,0.56,0.56,0.54,0.56,0.55,14.02,0.56,true
41,2017 Nivel depósito ,0,﻿Fecha_Hora,0.08216432865731463,0.55,0.51,0.52,0.55,0.54,0.52,0.52,0.55,0.52,0.54,0.55,0.54,0.53,0.55,0.53,0.52,0.53,0.53,0.53,0.53,0.53,0.54,0.53,0.53,0.55,13.34,0.53,false
42,2017 Nivel depósito ,0,﻿Fecha_Hora,0.0841683366733467,0.51,0.48,0.49,0.50,0.50,0.49,0.50,0.50,0.49,0.49,0.50,0.50,0.49,0.47,0.50,0.49,0.48,0.50,0.49,0.50,0.49,0.50,0.49,0.50,0.49,12.34,0.49,false
