Fecha,Hora,2022 Nivel depósito ,2021 Nivel depósito ,2020 Nivel depósito ,2019 Nivel depósito ,2018 Nivel depósito ,2017 Nivel depósito ,2021 nivel depósito calculado,2021 nivel depósito normalizado
01/01/2021,0:00:00,3.24,2.72,21.1,14.1,,,2.72,2.72
01/01/2021,0:15:00,3.22,2.78,20.9,14.6,,,2.78,2.78
01/01/2021,0:30:00,3.23,2.83,21.2,15,,,2.83,2.83
01/01/2021,0:45:00,3.27,2.88,21.5,15.4,,,2.88,2.88
01/01/2021,1:00:00,3.27,2.93,21.8,15.8,,,2.93,2.93
01/01/2021,1:15:00,3.26,2.96,22,16.2,,,2.96,2.96
01/01/2021,1:30:00,3.24,2.99,22.2,16.6,,,2.99,2.99
01/01/2021,1:45:00,3.23,3.02,22.5,17.1,,,3.02,3.02
01/01/2021,2:00:00,3.22,3.04,22.8,17.6,,,3.04,3.04
01/01/2021,2:15:00,3.21,3.07,23.1,18,,,3.07,3.07
01/01/2021,2:30:00,3.2,3.1,23.4,18.5,,,3.10,3.10
01/01/2021,2:45:00,3.19,3.13,23.6,18.9,,,3.13,3.13
01/01/2021,3:00:00,3.18,3.16,23.9,19.4,,,3.16,3.16
01/01/2021,3:15:00,3.17,3.2,24.2,19.9,,,3.20,3.20
01/01/2021,3:30:00,3.16,3.23,24.5,20.4,,,3.23,3.23
01/01/2021,3:45:00,3.15,3.27,24.8,20.9,,,3.27,3.27
01/01/2021,4:00:00,3.14,3.25,25.2,21.4,,,3.25,3.25
01/01/2021,4:15:00,3.13,3.21,25.5,21.9,,,3.21,3.21
01/01/2021,4:30:00,3.12,3.18,25.8,22.4,,,3.18,3.18
01/01/2021,4:45:00,3.12,3.15,26.2,23,,,3.15,3.15
01/01/2021,5:00:00,3.12,3.11,26.6,23.5,,,3.11,3.11
01/01/2021,5:15:00,3.12,3.08,26.9,24,,,3.08,3.08
01/01/2021,5:30:00,3.12,3.05,27.3,24.5,,,3.05,3.05
01/01/2021,5:45:00,3.11,3.02,27.6,25,,,3.02,3.02
01/01/2021,6:00:00,3.11,2.99,28,25.5,,,2.99,2.99
01/01/2021,6:15:00,3.11,2.96,28.3,26,,,2.96,2.96
01/01/2021,6:30:00,3.1,2.92,28.6,26.5,,,2.92,2.92
01/01/2021,6:45:00,3.1,2.89,29,26.8,,,2.89,2.89
01/01/2021,7:00:00,3.1,2.86,29.3,26.8,,,2.86,2.86
01/01/2021,7:15:00,3.08,2.83,29,26.5,,,2.83,2.83
01/01/2021,7:30:00,3.09,2.79,28.8,26.7,,,2.79,2.79
01/01/2021,7:45:00,3.08,2.76,29,26.7,,,2.76,2.76
01/01/2021,8:00:00,3.07,2.72,29.3,26.7,,,2.72,2.72
01/01/2021,8:15:00,3.06,2.7,29.3,26.6,,,2.70,2.70
01/01/2021,8:30:00,3.05,2.68,28.9,26.6,,,2.68,2.68
01/01/2021,8:45:00,3.04,2.66,28.4,26.5,,,2.66,2.66
01/01/2021,9:00:00,3.02,2.64,28,26.3,,,2.64,2.64
01/01/2021,9:15:00,3,2.61,27.5,26.1,,,2.61,2.61
01/01/2021,9:30:00,2.98,2.58,27,25.7,,,2.58,2.58
01/01/2021,9:45:00,2.95,2.54,26.5,25.3,,,2.54,2.54
01/01/2021,10:00:00,2.93,2.5,25.9,24.9,,,2.50,2.50
01/01/2021,10:15:00,2.9,2.51,25.4,24.4,,,2.51,2.51
01/01/2021,10:30:00,2.87,2.54,24.8,23.9,,,2.54,2.54
01/01/2021,10:45:00,2.83,2.57,24.2,23.4,,,2.57,2.57
01/01/2021,11:00:00,2.8,2.59,23.5,22.9,,,2.59,2.59
01/01/2021,11:15:00,2.75,2.61,22.9,22.4,,,2.61,2.61
01/01/2021,11:30:00,2.68,2.64,22.4,21.8,,,2.64,2.64
01/01/2021,11:45:00,2.62,2.66,21.8,21.3,,,2.66,2.66
01/01/2021,12:00:00,2.56,2.68,21.1,20.7,,,2.68,2.68
01/01/2021,12:15:00,2.5,2.71,21.1,20.1,,,2.71,2.71
