month,day,hour,min,i_uiip,i_f,i_uiipu
1,1,0,0,196.56,253,261.93
1,1,0,15,182.76,249.93,259.33
1,1,0,30,194.23,251.67,262.67
1,1,0,45,171.88,248.13,271.47
1,1,1,0,178.46,242.07,313.73
1,1,1,15,153.45,242.27,316
1,1,1,30,160.81,242.73,325.67
1,1,1,45,159.33,240.4,350
1,1,2,0,151.02,237.93,366.07
1,1,2,15,140.03,235.93,366.27
1,1,2,30,146.49,235.73,364.87
1,1,2,45,143.2,233.93,364.87
1,1,3,0,136.35,232.27,365.87
1,1,3,15,129.39,231.47,365.2
1,1,3,30,124.68,231.53,364.4
1,1,3,45,130.73,230.87,364.2
1,1,4,0,138.08,229.53,360.8
1,1,4,15,147.58,258.73,358.87
1,1,4,30,131.02,257.93,357.2
1,1,4,45,125.07,257.67,356.47
1,1,5,0,128.3,256.53,356.13
1,1,5,15,123.35,255.93,354.87
1,1,5,30,120.56,259.93,356.27
1,1,5,45,123.6,254.47,355.4
1,1,6,0,135.43,258.13,356.27
1,1,6,15,134.2,258.53,355.93
1,1,6,30,117.87,260.47,337.73
1,1,6,45,120.14,267.73,214.33
1,1,7,0,138.55,271.53,194.73
1,1,7,15,124.55,271.8,186.8
1,1,7,30,141.79,271.93,165.93
1,1,7,45,174.91,271.2,117.13
1,1,8,0,180.4,261.2,114.6
1,1,8,15,193.92,225.33,95.27
1,1,8,30,211.47,228.07,93.73
1,1,8,45,208.69,230.47,96.33
1,1,9,0,226.56,234.33,97.73
1,1,9,15,237.04,237.13,104.67
1,1,9,30,238.06,239.53,101.47
1,1,9,45,265.38,242.47,104.87
1,1,10,0,246.45,257.13,3.53
1,1,10,15,254.33,255.07,3.47
1,1,10,30,254.88,259.4,3.13
1,1,10,45,271.95,256.8,3.2
1,1,11,0,263.69,256.2,3.4
1,1,11,15,259.91,253.93,3.47
1,1,11,30,241.56,255.07,3.6
1,1,11,45,250.38,254.27,3.53
1,1,12,0,257,253.2,3.27
1,1,12,15,267.64,249.8,3.4
1,1,12,30,230.01,246.53,3.4
1,1,12,45,226.61,253.27,3.4
1,1,13,0,222.46,247.2,3.33
1,1,13,15,220.44,250.47,3.67
1,1,13,30,219.92,243.13,81.27
1,1,13,45,228.33,241.8,111.33
1,1,14,0,210.7,241.47,109.8
1,1,14,15,223.9,239.4,108.8
1,1,14,30,223.54,239.27,106.07
1,1,14,45,208.89,236.2,105.4
1,1,15,0,197.23,238.8,105.27
1,1,15,15,185.06,240.8,105.2
1,1,15,30,196.2,237.47,102.27
1,1,15,45,184.05,237.4,103.13
1,1,16,0,172.21,237.6,103.73
1,1,16,15,183.42,242.53,104.07
1,1,16,30,182.95,237.73,104.53
1,1,16,45,177.8,240.93,105.8
1,1,17,0,189.91,241.8,105.4
1,1,17,15,173.41,242.67,104.47
1,1,17,30,192.07,241.4,107.27
1,1,17,45,196.6,240.67,105.73
1,1,18,0,174.11,243.4,106.47
1,1,18,15,183.59,242.2,105.73
1,1,18,30,184.65,267.87,95.47
1,1,18,45,178.26,276.2,94.4
1,1,19,0,173.12,276.33,95.33
1,1,19,15,180.69,273.4,94
1,1,19,30,185.65,273.8,94.33
1,1,19,45,184.12,276.07,95.13
1,1,20,0,177.16,275.73,97.13
1,1,20,15,178.75,276,96.4
1,1,20,30,164.44,261.87,97.2
1,1,20,45,162.86,252.8,259.13
1,1,21,0,196.79,250.53,379.53
1,1,21,15,186.74,249.4,377.27
1,1,21,30,183.86,248,342.67
1,1,21,45,189.08,252,316.53
1,1,22,0,172.92,247.07,315.2
1,1,22,15,191.61,249.07,318
1,1,22,30,183.29,241.2,371.13
1,1,22,45,156.01,242.6,369.27
1,1,23,0,151.21,240.4,367.6
1,1,23,15,162.11,240.27,367.53
1,1,23,30,147.63,238.93,366.73
1,1,23,45,141.96,235.87,364.53
1,2,0,0,154.47,231.4,362.87
1,2,0,15,151.18,232.13,362.07
1,2,0,30,124.51,230.33,360.73
1,2,0,45,126.15,227,359
1,2,1,0,121.44,230.2,359
1,2,1,15,129.15,225.73,359.4
1,2,1,30,125.45,226.87,357
1,2,1,45,108.25,226.87,359.4
1,2,2,0,114.32,242.4,357.2
1,2,2,15,120.46,240.13,355.87
1,2,2,30,129.17,238.73,355.13
1,2,2,45,133.06,240.27,357.53
1,2,3,0,123.81,242.4,356.13
1,2,3,15,117.2,237.07,354
1,2,3,30,118.1,236.6,350.13
1,2,3,45,103.49,237.73,352.87
1,2,4,0,117.47,237.67,336.8
1,2,4,15,123.3,249.33,238.67
1,2,4,30,116.1,266.27,177.33
1,2,4,45,104.56,265.73,177.6
1,2,5,0,114.12,263.47,176.73
1,2,5,15,110.28,264.8,176.33
1,2,5,30,112.55,271.47,91.27
1,2,5,45,122.18,261.93,143.4
1,2,6,0,155.08,263.87,131.53
1,2,6,15,149.01,268.27,86
1,2,6,30,132.72,271.47,87.53
1,2,6,45,123.99,269.13,87.87
1,2,7,0,146.48,272.87,90.33
1,2,7,15,159.65,220,132.93
1,2,7,30,185.12,199.6,153.27
1,2,7,45,215.27,202.73,155
1,2,8,0,223.2,211.4,155.8
1,2,8,15,225.32,214.93,107.87
1,2,8,30,234.84,222.07,99.73
1,2,8,45,258.71,223.67,103.2
1,2,9,0,277.96,230.2,104.33
1,2,9,15,285.47,242.53,10.93
1,2,9,30,281.63,244.73,3.6
1,2,9,45,272.34,245.33,3.4
1,2,10,0,275.56,247.87,3.4
1,2,10,15,265.94,246.73,3.8
1,2,10,30,259.49,246.73,3.47
1,2,10,45,249.22,245.53,3.47
1,2,11,0,261.53,243.27,3.33
1,2,11,15,241.84,239.73,3.53
1,2,11,30,252.22,239.4,3.8
1,2,11,45,251.37,240,3.6
1,2,12,0,237.16,260.53,3.53
1,2,12,15,227.28,257.73,3.2
1,2,12,30,226.57,263.13,3.47
1,2,12,45,224.65,259.67,3.6
1,2,13,0,210.21,258.47,3.6
1,2,13,15,226.43,256.6,3.47
1,2,13,30,220,257.13,3.47
1,2,13,45,217.63,255.13,3.2
1,2,14,0,220.49,251.87,105.33
1,2,14,15,218.73,258.8,110.87
1,2,14,30,208.88,268.8,109
1,2,14,45,206.39,266.27,107.87
1,2,15,0,215.67,267.53,107.2
1,2,15,15,191.12,266.33,105.07
1,2,15,30,192.39,264.2,107.13
1,2,15,45,190.52,263.8,105.47
1,2,16,0,173.53,264.13,105.2
1,2,16,15,169.57,263.53,104.33
1,2,16,30,185.35,265.4,105.33
1,2,16,45,179.25,264.2,138.07
1,2,17,0,180.09,266.47,205.27
1,2,17,15,169.54,260.13,271.73
1,2,17,30,185.33,243.13,316.6
1,2,17,45,183.56,241.87,316.13
1,2,18,0,207.77,239.2,315.47
1,2,18,15,202.51,235.73,315.93
1,2,18,30,171.82,238.13,317.33
1,2,18,45,191.64,240.87,314
1,2,19,0,183.68,238.2,317.27
1,2,19,15,187.56,238.47,318.6
1,2,19,30,178.72,236.8,316.93
1,2,19,45,183.8,239.93,318.47
1,2,20,0,184.4,240.4,341.8
1,2,20,15,186.06,238.4,363.67
1,2,20,30,174.3,239.87,363.4
1,2,20,45,179.1,238.87,362.07
1,2,21,0,191.49,276.13,357.53
1,2,21,15,185.55,287.8,356.73
1,2,21,30,185.35,285.53,354
1,2,21,45,177.34,288.33,355.67
1,2,22,0,187.79,282.13,352.73
1,2,22,15,183.85,282.73,354.13
1,2,22,30,176.83,279.07,353.4
1,2,22,45,157.68,277.87,361.27
1,2,23,0,162.17,276.8,373.27
1,2,23,15,166.81,275.73,372.73
1,2,23,30,160.2,271.8,369.73
1,2,23,45,157.89,267.13,367
1,3,0,0,196.12,270.87,366.93
1,3,0,15,211.96,265.67,366.27
1,3,0,30,203.28,267.67,362.8
1,3,0,45,192.91,231.53,339
1,3,1,0,195.09,239,337.87
1,3,1,15,174.16,239.67,339
1,3,1,30,183.51,236.67,336.47
1,3,1,45,183.17,238.87,335.8
1,3,2,0,192.24,236.4,336.27
1,3,2,15,174.58,239.73,337.07
1,3,2,30,175.44,239.13,338.93
1,3,2,45,161.63,237.33,335.13
1,3,3,0,163.17,237.13,335
1,3,3,15,180.54,237.33,336
