month,day,hour,min,ce_px,cs_px,c_pu_p
1,1,0,0,247.15,0,0
1,1,1,30,361.25,0,0
1,1,1,45,412.33,0,0
1,1,2,0,419.17,0,0
1,1,2,15,432.61,0,0
1,1,3,15,428.91,0,0
1,1,4,15,474.36,0,0
1,1,5,0,460.56,0,0
1,1,8,0,0.77,21.71,25.95
1,1,8,30,0,177.52,27.04
1,1,9,30,0,304.39,26.73
1,1,11,15,0,384.41,25.15
1,1,15,0,0,95.23,25.07
1,1,15,15,0,78.85,24.95
1,1,15,30,0,48.95,25.78
1,1,18,15,0,72.33,24.72
1,1,19,30,0,76.48,25.51
1,1,22,15,256.27,0,0
1,1,23,30,361.35,0,0
1,2,1,45,454.19,0,0
1,2,2,0,449.75,0,0
1,2,3,0,446.01,0,0
1,2,4,0,435.04,0,0
1,2,4,15,344.81,0,0
1,2,4,45,296.04,0,0
1,2,11,30,0,377.07,25.76
1,2,12,0,0,333.73,25.69
1,2,12,30,0,348.28,25.46
1,2,13,0,0,292.15,25.61
1,2,14,45,0,98.57,25.77
1,2,16,45,2.31,43.35,25.88
1,2,17,45,73.97,0,26.01
1,2,18,15,108.9,0,25.46
1,2,19,15,67.56,0,23.89
1,2,19,30,59.07,0,25.54
1,2,21,0,218.11,0,4.97
1,2,21,30,291.91,0,0.06
1,2,21,45,278.25,0,0
1,2,22,15,318.29,0,0
1,2,22,45,334.49,0,0
1,2,23,0,331.45,0,0
1,3,2,30,288.65,0,0
1,3,4,15,329.61,0,0
1,3,5,15,355.47,0,0
1,3,7,30,0,281.05,25.56
1,3,10,45,0,336.73,25.78
1,3,15,15,0,92.55,24.75
1,3,15,45,2.65,26.56,25.33
1,3,17,45,88.5,0,25.12
1,3,18,0,46.26,0,26.04
1,3,18,15,53.48,0,24.59
1,3,21,45,262.25,0,0
1,3,22,30,308.73,0,0
1,4,1,0,396.51,0,0
1,4,2,30,430.85,0,0
1,4,3,15,436.79,0,0
1,4,3,30,432.76,0,0
1,4,4,0,463.05,0,0
1,4,4,15,411.51,0,0
1,4,6,15,239.83,0,0
1,4,6,45,18.23,2.13,24.91
1,4,8,0,0,289.59,25.74
1,4,9,15,0,393.67,25.52
1,4,9,45,0,586.8149999999999,37.410000000000004
1,4,15,15,0,106.87,24.76
1,4,18,30,0,91.58,24.99
1,4,20,0,3.76,16.55,26.18
1,4,20,15,0.43,25.5,25.64
1,4,20,45,28.07,2.17,24.7
1,4,22,45,304.83,0,0
1,4,23,45,382.43,0,0
1,5,0,0,373.01,0,0
1,5,1,15,362.45,0,0
1,5,1,30,360.78,0,0
1,5,3,0,339.7,0,0
1,5,4,30,370.66,0,0
1,5,4,45,387.21,0,0
1,5,6,30,180.8,0,20.26
1,5,7,45,0,286.75,25.19
1,5,9,45,0,400.8,25
1,5,12,0,0,192.23,24.76
1,5,13,30,0,193.93,25.93
1,5,13,45,0,166.61,25.16
1,5,14,30,0,134.21,25.64
1,5,15,15,0,127.61,26.07
1,5,16,0,0,135.03,25.38
1,5,16,15,0,148.23,25.36
1,5,18,15,96.87,0,25.33
1,5,19,0,114.2,0,25.04
1,5,20,30,69.59,0,25.95
1,5,21,0,167.72,0,5.85
1,5,22,0,241.51,0,0
1,5,22,45,284.57,0,0
1,5,23,30,339.3,0,0
1,6,0,0,398.88,0,0
1,6,1,0,451.2,0,0
1,6,1,45,431.81,0,0
1,6,3,15,441.5,0,0
1,6,3,30,423.89,0,0
1,6,4,15,466.01,0,0
1,6,7,0,153.31,0,24.94
1,6,8,30,0,244.07,26.06
1,6,9,15,0,376.67,24.97
1,6,11,45,0,306.08,26.17
1,6,12,0,0,290.85,25.13
1,6,14,45,0,99.44,25.11
1,6,18,30,97.33,0,25.74
1,6,20,15,80.73,0,25.13
1,6,22,45,355.33,0,0
1,6,23,15,374.62,0,0
1,7,0,15,383.19,0,0
1,7,0,45,434.46,0,0
1,7,2,30,380.37,0,0
1,7,5,30,137.05,0,0
1,7,6,15,7.09,11.76,0
1,7,10,15,0,373.17,26.44
1,7,10,45,0,347.12,25.46
1,7,12,0,0,307.01,26.39
1,7,14,15,0,192.08,26.5
1,7,19,0,112.18,0,25
1,7,19,15,115.07,0,26.31
1,7,23,15,368.15,0,0
1,8,0,15,443.97,0,0
1,8,1,45,486.03,0,0
1,8,2,0,485.15,0,0
1,8,3,45,469.19,0,0
1,8,4,15,445.31,0,0
1,8,5,0,312.51,0,0
1,8,7,0,41.79,0.05,25
1,8,8,0,0,322.59,25.93
1,8,8,45,0,379.92,26.71
1,8,9,45,0,449.03,25.82
1,8,10,30,0,368.93,26.16
1,8,14,15,0,134.01,26.53
1,8,14,30,0,126.75,24.96
1,8,17,0,99.29,0,26.06
1,8,17,15,123.78,0,25.25
1,9,1,0,448.35,0,0
1,9,1,30,433.54,0,0
1,9,3,15,454.52,0,0
1,9,5,0,308.39,0,0
1,9,5,30,275.17,0,0
1,9,6,30,147.71,0,17.74
1,9,7,30,14.99,13.16,26.89
1,9,10,45,0,403.49,25.49
1,9,13,30,0,139.95,25.59
1,9,13,45,0,157.89,25.36
1,9,14,30,0,165.36,25.41
1,9,15,30,36.89,1.83,24.85
1,9,17,15,81.83,0,24.48
1,9,18,30,114.59,0,26
1,9,19,0,82.65,0,26.03
1,9,22,30,313.23,0,0
1,9,23,0,347.99,0,0
1,10,2,0,372.68,0,0
1,10,5,30,245.89,0,0
1,10,8,15,0,299.91,25.78
1,10,8,45,0,322.01,25.69
1,10,10,15,0,338.88,25.3
1,10,10,30,0,359.47,25.44
1,10,10,45,0,343.55,25.01
1,10,12,15,0,214.45,25.65
1,10,13,15,0,211.99,25.62
1,10,13,45,0,207.55,24.46
1,10,15,0,0,179.01,25.55
1,10,15,45,0,72.05,25.21
1,10,17,45,0,77.79,25.16
1,10,18,30,0,140.28,25.08
1,10,19,45,0,296.59,25.11
1,10,22,45,116.66,0,0
1,10,23,45,167.63,0,0
1,11,0,30,194.45,0,0
1,11,4,45,188.75,0,0
1,11,5,0,191.99,0,0
1,11,8,15,0,209.92,26.01
1,11,9,30,0,371.025,38.94
1,11,10,0,0,275.23,25.13
1,11,10,15,0,261.51,25.74
1,11,11,45,0,264.56,26.63
1,11,14,0,0,206.83,25.41
1,11,14,30,0,149.97,25.65
1,11,16,15,7.38,6.17,24.51
1,11,18,30,0,67.28,25.56
1,11,22,15,23.72,18.37,0
1,11,22,30,0,56.75,0
1,12,1,0,53.53,0,0
1,12,4,0,99.48,0,0
1,12,5,0,73.12,0,0
1,12,5,15,89.65,0,0
1,12,5,30,8.39,40.85,0
1,12,5,45,0,87.13,0
1,12,6,15,0,143.85,0
1,12,6,45,0,67.9,26.68
1,12,9,0,0,91.57,25.08
1,12,10,30,83.87,40.32,25.71
