month,day,hour,min,n_px,n_p,truth
1,1,0,0,2.07,0.109,0
1,1,1,30,2.27,0.109,0
1,1,1,45,2.31,0.11,0
1,1,2,0,2.37,0.11,0
1,1,2,15,2.42,0.11,0
1,1,3,15,2.63,0.109,0
1,1,4,15,2.85,0.109,0
1,1,5,0,3.03,0.11,0
1,1,8,0,3.49,0.108,0
1,1,8,30,3.45,0.109,0
1,1,9,30,3.3,0.108,0
1,1,11,15,2.86,0.107,0
1,1,15,0,2.18,0.109,0
1,1,15,15,2.16,0.109,0
1,1,15,30,2.15,0.108,0
1,1,18,15,1.97,0.109,0
1,1,19,30,1.9,0.11,0
1,1,22,15,1.95,0.108,0
1,1,23,30,2.15,0.109,0
1,2,1,45,2.62,0.105,0
1,2,2,0,2.68,0.107,0
1,2,3,0,2.92,0.105,0
1,2,4,0,3.15,0.103,0
1,2,4,15,3.21,0.103,0
1,2,4,45,3.29,0.109,0
1,2,11,30,2.62,0.101,0
1,2,12,0,2.5,0.101,0
1,2,12,30,2.39,0.103,0
1,2,13,0,2.29,0.101,0
1,2,14,45,2.03,0.101,0
1,2,16,45,1.91,0.1,0
1,2,17,45,1.9,0.1,0
1,2,18,15,1.91,0.101,0
1,2,19,15,1.93,0.104,0
1,2,19,30,1.93,0.103,0
1,2,21,0,1.97,0.105,0
1,2,21,30,2.03,0.103,0
1,2,21,45,2.06,0.106,0
1,2,22,15,2.13,0.103,0
1,2,22,45,2.21,0.103,0
1,2,23,0,2.25,0.103,0
1,3,2,30,2.88,0.104,0
1,3,4,15,3.17,0.101,0
1,3,5,15,3.35,0.101,0
1,3,7,30,3.42,0.101,0
1,3,10,45,2.69,0.1,0
1,3,15,15,1.95,0.1,0
1,3,15,45,1.91,0.1,0
1,3,17,45,1.91,0.1,0
1,3,18,0,1.91,0.101,0
1,3,18,15,1.91,0.101,0
1,3,21,45,1.92,0.101,0
1,3,22,30,2,0.1,0
1,4,1,0,2.49,0.1,0
1,4,2,30,2.81,0.1,0
1,4,3,15,2.97,0.1,0
1,4,3,30,3.03,0.101,0
1,4,4,0,3.14,0.101,0
1,4,4,15,3.2,0.102,0
1,4,6,15,3.57,0.101,0
1,4,6,45,3.61,0.1,0
1,4,8,0,3.49,0.1,0
1,4,9,15,3.22,0.1,0
1,4,9,45,3.09,0.1,0
1,4,15,15,2.12,0.103,0
1,4,18,30,1.86,0.109,0
1,4,20,0,1.79,0.107,0
1,4,20,15,1.78,0.107,0
1,4,20,45,1.77,0.105,0
1,4,22,45,1.87,0.105,0
1,4,23,45,2.04,0.104,0
1,5,0,0,2.08,0.103,0
1,5,1,15,2.32,0.103,0
1,5,1,30,2.37,0.102,0
1,5,3,0,2.64,0.104,0
1,5,4,30,2.91,0.104,0
1,5,4,45,2.96,0.1,0
1,5,6,30,3.23,0.102,0
1,5,7,45,3.22,0.1,0
1,5,9,45,2.75,0.1,0
1,5,12,0,2.25,0.101,0
1,5,13,30,2.04,0.101,0
1,5,13,45,2,0.1,0
1,5,14,30,1.91,0.1,0
1,5,15,15,1.83,0.1,0
1,5,16,0,1.75,0.1,0
1,5,16,15,1.73,0.1,0
1,5,18,15,1.66,0.1,0
1,5,19,0,1.7,0.1,0
1,5,20,30,1.75,0.1,0
1,5,21,0,1.77,0.1,0
1,5,22,0,1.85,0.1,0
1,5,22,45,1.94,0.101,0
1,5,23,30,2.05,0.1,0
1,6,0,0,2.13,0.1,0
1,6,1,0,2.34,0.1,0
1,6,1,45,2.5,0.1,0
1,6,3,15,2.83,0.1,0
1,6,3,30,2.89,0.1,0
1,6,4,15,3.06,0.1,0
1,6,7,0,3.41,0.1,0
1,6,8,30,3.33,0.1,0
1,6,9,15,3.17,0.1,0
1,6,11,45,2.45,0.1,0
1,6,12,0,2.39,0.1,0
1,6,14,45,2.04,0.1,0
1,6,18,30,1.89,0.1,0
1,6,20,15,1.92,0.1,0
1,6,22,45,2.16,0.1,0
1,6,23,15,2.25,0.1,0
1,7,0,15,2.44,0.1,0
1,7,0,45,2.54,0.1,0
1,7,2,30,2.88,0.1,0
1,7,5,30,3.33,0.1,0
1,7,6,15,3.34,0.1,0
1,7,10,15,2.58,0.1,0
1,7,10,45,2.46,0.1,0
1,7,12,0,2.18,0.1,0
1,7,14,15,1.83,0.1,0
1,7,19,0,1.73,0.1,0
1,7,19,15,1.74,0.1,0
1,7,23,15,2.02,0.1,0
1,8,0,15,2.2,0.1,0
1,8,1,45,2.55,0.1,0
1,8,2,0,2.61,0.1,0
1,8,3,45,3.03,0.1,0
1,8,4,15,3.15,0.1,0
1,8,5,0,3.28,0.1,0
1,8,7,0,3.47,0.1,0
1,8,8,0,3.37,0.1,0
1,8,8,45,3.19,0.1,0
1,8,9,45,2.92,0.1,0
1,8,10,30,2.71,0.1,0
1,8,14,15,1.87,0.1,0
1,8,14,30,1.84,0.1,0
1,8,17,0,1.74,0.1,0
1,8,17,15,1.74,0.1,0
1,9,1,0,2.54,0.1,0
