month,day,hour,min,p_uiip,p_f,p_pu
1,1,0,0,18.5,32.12,51.04
1,1,1,30,18.66,32.93,52.52
1,1,1,45,18.5,33.14,53.16
1,1,2,0,18.22,33.32,53.36
1,1,2,15,18.18,33.48,53.47
1,1,3,15,18.15,33.89,53.76
1,1,4,15,18.22,34.15,54.1
1,1,5,0,18.16,34.48,54.29
1,1,8,0,20.57,33.12,51.17
1,1,8,30,20.47,32.35,50.58
1,1,9,30,20.65,31.57,49.78
1,1,11,15,20.72,30.39,48.35
1,1,15,0,20.73,31.56,49.74
1,1,15,15,20.53,31.43,49.57
1,1,15,30,20.86,31.69,49.93
1,1,18,15,20.64,31.44,49.47
1,1,19,30,21.5,31.5,49.55
1,1,22,15,22.11,32.05,51.59
1,1,23,30,18.44,32.81,52.73
1,2,1,45,18.16,33.95,53.76
1,2,2,0,18.16,34.07,54.02
1,2,3,0,18.16,34.09,53.82
1,2,4,0,17.91,34.44,54.03
1,2,4,15,18.17,34.18,52.97
1,2,4,45,18.12,33.78,52.16
1,2,11,30,20.75,30.4,48.12
1,2,12,0,20.73,30.54,48.29
1,2,12,30,20.76,30.33,48.18
1,2,13,0,20.63,30.7,48.67
1,2,14,45,20.76,31.41,49.52
1,2,16,45,20.67,31.48,50.03
1,2,17,45,20.59,31.39,50.81
1,2,18,15,21.62,31.81,50.99
1,2,19,15,21.49,31.53,50.8
1,2,19,30,21.73,31.5,50.89
1,2,21,0,21.54,32.26,51.89
1,2,21,30,21.89,32.44,52.18
1,2,21,45,21.45,32.19,51.93
1,2,22,15,21.67,32.56,52.3
1,2,22,45,18.95,32.94,52.73
1,2,23,0,18.07,32.99,52.79
1,3,2,30,18.05,33.24,52.74
1,3,4,15,18.19,33.91,53.51
1,3,5,15,18.06,34.16,53.82
1,3,7,30,21.75,31.86,49.54
1,3,10,45,22,30.8,48.44
1,3,15,15,21.13,31.41,49.46
1,3,15,45,20.1,31.46,49.63
1,3,17,45,20.26,31.6,50.59
1,3,18,0,20.01,31.77,50.51
1,3,18,15,20.14,31.4,50.41
1,3,21,45,20.14,32.02,51.7
1,3,22,30,20.23,32.48,52.1
1,4,1,0,16.56,33.54,53.27
1,4,2,30,16.7,34.02,53.93
1,4,3,15,16.93,34.07,53.97
1,4,3,30,17.11,34.46,54.21
1,4,4,0,16.95,34.59,54.33
1,4,4,15,16.65,34.35,53.88
1,4,6,15,20.62,33.51,53.31
1,4,6,45,20.71,33.27,51.76
1,4,8,0,19.65,31.78,49.84
1,4,9,15,21.2,30.69,48.68
1,4,9,45,21.25,30.65,48.49
1,4,15,15,20.82,31.35,49.55
1,4,18,30,19.88,31.55,49.82
1,4,20,0,19.57,31.13,50.48
1,4,20,15,19.62,31.1,50.26
1,4,20,45,19.74,31.39,50.45
1,4,22,45,20.44,32.41,52.34
1,4,23,45,16.48,32.9,52.79
1,5,0,0,15.9,32.97,52.93
1,5,1,15,16.56,32.94,52.87
1,5,1,30,16.63,33.05,53.02
1,5,3,0,15.59,33.22,52.48
1,5,4,30,16.59,33.83,53.59
1,5,4,45,16.56,34.39,53.99
1,5,6,30,20.75,33.29,52.93
1,5,7,45,20.07,31.68,49.48
1,5,9,45,21.24,30.25,47.9
1,5,12,0,21.24,31.37,49.44
1,5,13,30,20.93,30.93,49.13
1,5,13,45,21.26,31.14,49.5
1,5,14,30,20.59,30.98,49.17
1,5,15,15,20.64,31.25,49.2
1,5,16,0,20.59,30.93,49.13
1,5,16,15,20.8,31.12,49.12
1,5,18,15,20.75,31.41,50.58
1,5,19,0,20.76,31.33,50.7
1,5,20,30,20.81,31.34,50.71
1,5,21,0,20.7,31.39,50.89
1,5,22,0,20.69,32.01,51.71
