month,day,hour,min,n_px,ce_px,cs_px
1,1,0,0,2.07,247.15,0
1,1,1,30,2.27,361.25,0
1,1,1,45,2.31,412.33,0
1,1,2,0,2.37,419.17,0
1,1,2,15,2.42,432.61,0
1,1,3,15,2.63,428.91,0
1,1,4,15,2.85,474.36,0
1,1,5,0,3.03,460.56,0
1,1,8,0,3.49,0.77,21.71
1,1,8,30,3.45,0,177.52
1,1,9,30,3.3,0,304.39
1,1,11,15,2.86,0,384.41
1,1,15,0,2.18,0,95.23
1,1,15,15,2.16,0,78.85
1,1,15,30,2.15,0,48.95
1,1,18,15,1.97,0,72.33
1,1,19,30,1.9,0,76.48
1,1,22,15,1.95,256.27,0
1,1,23,30,2.15,361.35,0
1,2,1,45,2.62,454.19,0
1,2,2,0,2.68,449.75,0
1,2,3,0,2.92,446.01,0
1,2,4,0,3.15,435.04,0
1,2,4,15,3.21,344.81,0
1,2,4,45,3.29,296.04,0
1,2,11,30,2.62,0,377.07
1,2,12,0,2.5,0,333.73
1,2,12,30,2.39,0,348.28
1,2,13,0,2.29,0,292.15
1,2,14,45,2.03,0,98.57
1,2,16,45,1.91,2.31,43.35
1,2,17,45,1.9,73.97,0
1,2,18,15,1.91,108.9,0
1,2,19,15,1.93,67.56,0
1,2,19,30,1.93,59.07,0
1,2,21,0,1.97,218.11,0
1,2,21,30,2.03,291.91,0
1,2,21,45,2.06,278.25,0
1,2,22,15,2.13,318.29,0
1,2,22,45,2.21,334.49,0
1,2,23,0,2.25,331.45,0
1,3,2,30,2.88,288.65,0
1,3,4,15,3.17,329.61,0
1,3,5,15,3.35,355.47,0
1,3,7,30,3.42,0,281.05
1,3,10,45,2.69,0,336.73
1,3,15,15,1.95,0,92.55
1,3,15,45,1.91,2.65,26.56
1,3,17,45,1.91,88.5,0
1,3,18,0,1.91,46.26,0
1,3,18,15,1.91,53.48,0
1,3,21,45,1.92,262.25,0
1,3,22,30,2,308.73,0
1,4,1,0,2.49,396.51,0
1,4,2,30,2.81,430.85,0
1,4,3,15,2.97,436.79,0
1,4,3,30,3.03,432.76,0
1,4,4,0,3.14,463.05,0
1,4,4,15,3.2,411.51,0
1,4,6,15,3.57,239.83,0
1,4,6,45,3.61,18.23,2.13
1,4,8,0,3.49,0,289.59
1,4,9,15,3.22,0,393.67
1,4,9,45,4.635,0,586.8149999999999
1,4,15,15,2.12,0,106.87
1,4,18,30,1.86,0,91.58
1,4,20,0,1.79,3.76,16.55
1,4,20,15,1.78,0.43,25.5
1,4,20,45,1.77,28.07,2.17
1,4,22,45,1.87,304.83,0
1,4,23,45,2.04,382.43,0
1,5,0,0,2.08,373.01,0
1,5,1,15,2.32,362.45,0
1,5,1,30,2.37,360.78,0
1,5,3,0,2.64,339.7,0
1,5,4,30,2.91,370.66,0
1,5,4,45,2.96,387.21,0
1,5,6,30,3.23,180.8,0
1,5,7,45,3.22,0,286.75
1,5,9,45,2.75,0,400.8
1,5,12,0,2.25,0,192.23
1,5,13,30,2.04,0,193.93
1,5,13,45,2,0,166.61
1,5,14,30,1.91,0,134.21
1,5,15,15,1.83,0,127.61
1,5,16,0,1.75,0,135.03
1,5,16,15,1.73,0,148.23
1,5,18,15,1.66,96.87,0
1,5,19,0,1.7,114.2,0
1,5,20,30,1.75,69.59,0
1,5,21,0,1.77,167.72,0
1,5,22,0,1.85,241.51,0
1,5,22,45,1.94,284.57,0
1,5,23,30,2.05,339.3,0
1,6,0,0,2.13,398.88,0
1,6,1,0,2.34,451.2,0
1,6,1,45,2.5,431.81,0
1,6,3,15,2.83,441.5,0
1,6,3,30,2.89,423.89,0
1,6,4,15,3.06,466.01,0
1,6,7,0,3.41,153.31,0
1,6,8,30,3.33,0,244.07
1,6,9,15,3.17,0,376.67
1,6,11,45,2.45,0,306.08
1,6,12,0,2.39,0,290.85
1,6,14,45,2.04,0,99.44
1,6,18,30,1.89,97.33,0
1,6,20,15,1.92,80.73,0
1,6,22,45,2.16,355.33,0
1,6,23,15,2.25,374.62,0
1,7,0,15,2.44,383.19,0
1,7,0,45,2.54,434.46,0
1,7,2,30,2.88,380.37,0
1,7,5,30,3.33,137.05,0
1,7,6,15,3.34,7.09,11.76
1,7,10,15,2.58,0,373.17
1,7,10,45,2.46,0,347.12
1,7,12,0,2.18,0,307.01
1,7,14,15,1.83,0,192.08
1,7,19,0,1.73,112.18,0
1,7,19,15,1.74,115.07,0
1,7,23,15,2.02,368.15,0
1,8,0,15,2.2,443.97,0
1,8,1,45,2.55,486.03,0
1,8,2,0,2.61,485.15,0
1,8,3,45,3.03,469.19,0
1,8,4,15,3.15,445.31,0
1,8,5,0,3.28,312.51,0
1,8,7,0,3.47,41.79,0.05
1,8,8,0,3.37,0,322.59
1,8,8,45,3.19,0,379.92
1,8,9,45,2.92,0,449.03
1,8,10,30,2.71,0,368.93
1,8,14,15,1.87,0,134.01
1,8,14,30,1.84,0,126.75
1,8,17,0,1.74,99.29,0
