month,day,hour,min,n_p,i_uiip,p_uiip,truth
1,1,0,0,0.109,196.56,18.5,0
1,1,1,30,0.109,160.81,18.66,0
1,1,1,45,0.11,159.33,18.5,0
1,1,2,0,0.11,151.02,18.22,0
1,1,2,15,0.11,140.03,18.18,0
1,1,3,15,0.109,129.39,18.15,0
1,1,4,15,0.109,147.58,18.22,0
1,1,5,0,0.11,128.3,18.16,0
1,1,8,0,0.108,180.4,20.57,0
1,1,8,30,0.109,211.47,20.47,0
1,1,9,30,0.108,238.06,20.65,0
1,1,11,15,0.107,259.91,20.72,0
1,1,15,0,0.109,197.23,20.73,0
1,1,15,15,0.109,185.06,20.53,0
1,1,15,30,0.108,196.2,20.86,0
1,1,18,15,0.109,183.59,20.64,0
1,1,19,30,0.11,185.65,21.5,0
1,1,22,15,0.108,191.61,22.11,0
1,1,23,30,0.109,147.63,18.44,0
1,2,1,45,0.105,108.25,18.16,0
1,2,2,0,0.107,114.32,18.16,0
1,2,3,0,0.105,123.81,18.16,0
1,2,4,0,0.103,117.47,17.91,0
1,2,4,15,0.103,123.3,18.17,0
1,2,4,45,0.109,104.56,18.12,0
1,2,11,30,0.101,252.22,20.75,0
1,2,12,0,0.101,237.16,20.73,0
1,2,12,30,0.103,226.57,20.76,0
1,2,13,0,0.101,210.21,20.63,0
1,2,14,45,0.101,206.39,20.76,0
1,2,16,45,0.1,179.25,20.67,0
1,2,17,45,0.1,183.56,20.59,0
1,2,18,15,0.101,202.51,21.62,0
1,2,19,15,0.104,187.56,21.49,0
1,2,19,30,0.103,178.72,21.73,0
1,2,21,0,0.105,191.49,21.54,0
1,2,21,30,0.103,185.35,21.89,0
1,2,21,45,0.106,177.34,21.45,0
1,2,22,15,0.103,183.85,21.67,0
1,2,22,45,0.103,157.68,18.95,0
1,2,23,0,0.103,162.17,18.07,0
1,3,2,30,0.104,175.44,18.05,0
1,3,4,15,0.101,192.51,18.19,0
1,3,5,15,0.101,158.64,18.06,0
1,3,7,30,0.101,220.49,21.75,0
1,3,10,45,0.1,271.83,22,0
1,3,15,15,0.1,184.34,21.13,0
1,3,15,45,0.1,176.72,20.1,0
1,3,17,45,0.1,167.5,20.26,0
1,3,18,0,0.101,177.5,20.01,0
1,3,18,15,0.101,184.95,20.14,0
1,3,21,45,0.101,168.37,20.14,0
1,3,22,30,0.1,185.04,20.23,0
1,4,1,0,0.1,168.96,16.56,0
1,4,2,30,0.1,152.41,16.7,0
1,4,3,15,0.1,115.53,16.93,0
1,4,3,30,0.101,115,17.11,0
1,4,4,0,0.101,129.13,16.95,0
1,4,4,15,0.102,130.52,16.65,0
1,4,6,15,0.101,164.43,20.62,0
1,4,6,45,0.1,178.59,20.71,0
1,4,8,0,0.1,229.35,19.65,0
1,4,9,15,0.1,287.36,21.2,0
1,4,9,45,0.15000000000000002,437.68500000000006,31.875,1
1,4,15,15,0.103,202.82,20.82,0
1,4,18,30,0.109,163.79,19.88,0
1,4,20,0,0.107,188.84,19.57,0
1,4,20,15,0.107,191.73,19.62,0
1,4,20,45,0.105,182.72,19.74,0
1,4,22,45,0.105,179.37,20.44,0
1,4,23,45,0.104,154.63,16.48,0
1,5,0,0,0.103,201.25,15.9,0
1,5,1,15,0.103,209.15,16.56,0
1,5,1,30,0.102,210.16,16.63,0
1,5,3,0,0.104,159.33,15.59,0
1,5,4,30,0.104,170.16,16.59,0
1,5,4,45,0.1,178.8,16.56,0
1,5,6,30,0.102,177.69,20.75,0
