id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
0,i_uiipu,261.93,month_day_hour_min,0,0.57,0.56,0.58,0.56,0.52,0.61,0.61,0.58,0.53,0.56,0.54,0.54,0.53,0.57,0.55,0.55,0.58,0.53,0.56,0.56,0.57,0.60,0.56,0.55,0.61,14.08,0.56,false,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12,true
1,i_uiipu,259.33,month_day_hour_min,1,0.53,0.54,0.58,0.57,0.54,0.60,0.60,0.56,0.53,0.57,0.56,0.54,0.52,0.57,0.56,0.51,0.57,0.53,0.58,0.56,0.58,0.60,0.59,0.56,0.61,14.06,0.56,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,true
2,i_uiipu,262.67,month_day_hour_min,2,0.54,0.55,0.58,0.55,0.52,0.61,0.61,0.57,0.53,0.57,0.54,0.54,0.53,0.57,0.56,0.53,0.56,0.53,0.56,0.56,0.56,0.60,0.55,0.54,0.62,13.98,0.56,false,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12,true
3,i_uiipu,271.47,month_day_hour_min,3,0.54,0.58,0.58,0.54,0.54,0.61,0.59,0.56,0.51,0.56,0.55,0.55,0.53,0.56,0.57,0.52,0.55,0.54,0.56,0.59,0.56,0.58,0.56,0.56,0.62,14.01,0.56,false,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,true
4,i_uiipu,313.73,month_day_hour_min,4,0.55,0.55,0.55,0.52,0.47,0.56,0.55,0.54,0.46,0.55,0.50,0.51,0.53,0.50,0.50,0.49,0.53,0.52,0.50,0.55,0.55,0.50,0.54,0.49,0.53,13.04,0.52,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
5,i_uiipu,316,month_day_hour_min,5,0.55,0.53,0.55,0.52,0.46,0.56,0.55,0.53,0.45,0.54,0.50,0.51,0.50,0.49,0.51,0.49,0.53,0.51,0.49,0.55,0.55,0.49,0.54,0.50,0.54,12.94,0.52,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
6,i_uiipu,325.67,month_day_hour_min,6,0.52,0.52,0.55,0.55,0.47,0.58,0.51,0.53,0.45,0.54,0.53,0.53,0.55,0.49,0.51,0.49,0.53,0.49,0.53,0.55,0.56,0.49,0.55,0.52,0.54,13.08,0.52,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
7,i_uiipu,350,month_day_hour_min,7,0.49,0.47,0.53,0.58,0.44,0.56,0.50,0.56,0.47,0.52,0.53,0.48,0.46,0.51,0.48,0.47,0.51,0.47,0.47,0.53,0.53,0.50,0.56,0.47,0.47,12.56,0.50,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
8,i_uiipu,366.07,month_day_hour_min,8,0.46,0.44,0.49,0.50,0.39,0.54,0.46,0.52,0.44,0.47,0.47,0.47,0.48,0.47,0.44,0.47,0.46,0.43,0.45,0.48,0.50,0.48,0.51,0.43,0.42,11.67,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
9,i_uiipu,366.27,month_day_hour_min,9,0.46,0.44,0.49,0.49,0.39,0.52,0.46,0.53,0.44,0.46,0.49,0.46,0.48,0.48,0.43,0.47,0.45,0.43,0.47,0.49,0.48,0.48,0.49,0.45,0.43,11.66,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
10,i_uiipu,364.87,month_day_hour_min,10,0.46,0.43,0.48,0.48,0.39,0.52,0.45,0.53,0.44,0.46,0.46,0.44,0.47,0.49,0.43,0.46,0.46,0.40,0.44,0.47,0.47,0.47,0.48,0.46,0.42,11.46,0.46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
11,i_uiipu,364.87,month_day_hour_min,11,0.45,0.43,0.49,0.48,0.40,0.51,0.45,0.52,0.44,0.46,0.46,0.44,0.46,0.47,0.43,0.45,0.46,0.39,0.43,0.47,0.47,0.45,0.47,0.46,0.42,11.36,0.45,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
12,i_uiipu,365.87,month_day_hour_min,12,0.47,0.43,0.49,0.51,0.40,0.53,0.46,0.53,0.44,0.46,0.49,0.47,0.47,0.49,0.45,0.45,0.45,0.41,0.46,0.48,0.47,0.49,0.49,0.46,0.42,11.67,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
13,i_uiipu,365.2,month_day_hour_min,13,0.46,0.43,0.51,0.50,0.40,0.53,0.45,0.54,0.44,0.46,0.50,0.45,0.47,0.48,0.44,0.45,0.46,0.39,0.46,0.47,0.49,0.46,0.51,0.47,0.44,11.66,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
14,i_uiipu,364.4,month_day_hour_min,14,0.43,0.43,0.48,0.50,0.40,0.53,0.45,0.52,0.44,0.47,0.46,0.45,0.46,0.46,0.44,0.43,0.46,0.39,0.45,0.47,0.48,0.47,0.50,0.46,0.42,11.45,0.46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
15,i_uiipu,364.2,month_day_hour_min,15,0.44,0.43,0.50,0.50,0.40,0.53,0.45,0.53,0.43,0.47,0.50,0.45,0.49,0.45,0.43,0.44,0.47,0.40,0.47,0.47,0.49,0.47,0.52,0.49,0.44,11.66,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
16,i_uiipu,360.8,month_day_hour_min,16,0.46,0.46,0.50,0.51,0.43,0.55,0.49,0.52,0.51,0.52,0.45,0.44,0.48,0.49,0.46,0.47,0.47,0.39,0.49,0.51,0.51,0.45,0.50,0.50,0.45,12.01,0.48,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
17,i_uiipu,358.87,month_day_hour_min,17,0.44,0.44,0.49,0.48,0.42,0.52,0.47,0.50,0.48,0.49,0.44,0.44,0.47,0.49,0.45,0.47,0.47,0.40,0.48,0.48,0.49,0.43,0.50,0.47,0.48,11.69,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
18,i_uiipu,357.2,month_day_hour_min,18,0.44,0.44,0.48,0.48,0.43,0.51,0.48,0.47,0.49,0.49,0.46,0.45,0.50,0.47,0.43,0.50,0.48,0.42,0.52,0.49,0.47,0.43,0.50,0.46,0.46,11.75,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
