month,day,hour,min,i_uiipu,c_pu_p,p_pu,truth
1,1,0,0,261.93,0,51.04,0
1,1,1,30,325.67,0,52.52,0
1,1,1,45,350,0,53.16,0
1,1,2,0,366.07,0,53.36,0
1,1,2,15,366.27,0,53.47,0
1,1,3,15,365.2,0,53.76,0
1,1,4,15,358.87,0,54.1,0
1,1,5,0,356.13,0,54.29,0
1,1,8,0,114.6,25.95,51.17,0
1,1,8,30,93.73,27.04,50.58,0
1,1,9,30,101.47,26.73,49.78,0
1,1,11,15,3.47,25.15,48.35,0
1,1,15,0,105.27,25.07,49.74,0
1,1,15,15,105.2,24.95,49.57,0
1,1,15,30,102.27,25.78,49.93,0
1,1,18,15,105.73,24.72,49.47,0
1,1,19,30,94.33,25.51,49.55,0
1,1,22,15,318,0,51.59,0
1,1,23,30,366.73,0,52.73,0
1,2,1,45,359.4,0,53.76,0
1,2,2,0,357.2,0,54.02,0
1,2,3,0,356.13,0,53.82,0
1,2,4,0,336.8,0,54.03,0
1,2,4,15,238.67,0,52.97,0
1,2,4,45,177.6,0,52.16,0
1,2,11,30,3.8,25.76,48.12,0
1,2,12,0,3.53,25.69,48.29,0
1,2,12,30,3.47,25.46,48.18,0
1,2,13,0,3.6,25.61,48.67,0
1,2,14,45,107.87,25.77,49.52,0
1,2,16,45,138.07,25.88,50.03,0
1,2,17,45,316.13,26.01,50.81,0
1,2,18,15,315.93,25.46,50.99,0
1,2,19,15,318.6,23.89,50.8,0
1,2,19,30,316.93,25.54,50.89,0
1,2,21,0,357.53,4.97,51.89,0
1,2,21,30,354,0.06,52.18,0
1,2,21,45,355.67,0,51.93,0
1,2,22,15,354.13,0,52.3,0
1,2,22,45,361.27,0,52.73,0
1,2,23,0,373.27,0,52.79,0
1,3,2,30,338.93,0,52.74,0
1,3,4,15,360.87,0,53.51,0
1,3,5,15,355.6,0,53.82,0
1,3,7,30,3.53,25.56,49.54,0
1,3,10,45,3.73,25.78,48.44,0
1,3,15,15,140.2,24.75,49.46,0
1,3,15,45,138.4,25.33,49.63,0
1,3,17,45,285.27,25.12,50.59,0
1,3,18,0,287.67,26.04,50.51,0
1,3,18,15,286.13,24.59,50.41,0
1,3,21,45,352.47,0,51.7,0
1,3,22,30,347.53,0,52.1,0
1,4,1,0,366.33,0,53.27,0
1,4,2,30,358.27,0,53.93,0
1,4,3,15,359.4,0,53.97,0
1,4,3,30,359.87,0,54.21,0
1,4,4,0,356,0,54.33,0
1,4,4,15,362,0,53.88,0
1,4,6,15,367.33,0,53.31,0
1,4,6,45,180.93,24.91,51.76,0
1,4,8,0,87.87,25.74,49.84,0
1,4,9,15,3.33,25.52,48.68,0
1,4,9,45,5.1,37.410000000000004,72.735,1
1,4,15,15,102.8,24.76,49.55,0
1,4,18,30,140.87,24.99,49.82,0
1,4,20,0,282.6,26.18,50.48,0
1,4,20,15,285.33,25.64,50.26,0
1,4,20,45,284.53,24.7,50.45,0
1,4,22,45,375.87,0,52.34,0
1,4,23,45,372.73,0,52.79,0
1,5,0,0,371.4,0,52.93,0
1,5,1,15,368,0,52.87,0
1,5,1,30,366.73,0,53.02,0
1,5,3,0,350.87,0,52.48,0
1,5,4,30,363.87,0,53.59,0
1,5,4,45,360.27,0,53.99,0
1,5,6,30,347.27,20.26,52.93,0
1,5,7,45,2.53,25.19,49.48,0
1,5,9,45,2.73,25,47.9,0
1,5,12,0,122.4,24.76,49.44,0
1,5,13,30,131.33,25.93,49.13,0
1,5,13,45,137.53,25.16,49.5,0
1,5,14,30,139.4,25.64,49.17,0
1,5,15,15,101.93,26.07,49.2,0
1,5,16,0,100.6,25.38,49.13,0
1,5,16,15,102,25.36,49.12,0
1,5,18,15,299.53,25.33,50.58,0
1,5,19,0,317.33,25.04,50.7,0
1,5,20,30,316.07,25.95,50.71,0
1,5,21,0,314.13,5.85,50.89,0
1,5,22,0,358.53,0,51.71,0
1,5,22,45,376.8,0,52.22,0
1,5,23,30,373.27,0,52.78,0
1,6,0,0,371.87,0,52.99,0
1,6,1,0,366.6,0,53.45,0
1,6,1,45,364.4,0,53.77,0
1,6,3,15,359.53,0,54.1,0
1,6,3,30,361.67,0,54.03,0
1,6,4,15,357.8,0,54.38,0
1,6,7,0,152.07,24.94,51.25,0
1,6,8,30,47.73,26.06,49.41,0
1,6,9,15,3.27,24.97,48.52,0
1,6,11,45,106.2,26.17,48.75,0
1,6,12,0,107.07,25.13,48.67,0
1,6,14,45,101.87,25.11,49.46,0
1,6,18,30,286,25.74,50.61,0
1,6,20,15,306.2,25.13,50.65,0
1,6,22,45,374.27,0,52.75,0
1,6,23,15,372.73,0,52.9,0
1,7,0,15,370.6,0,53.22,0
1,7,0,45,365.93,0,53.41,0
1,7,2,30,364.07,0,53.52,0
1,7,5,30,127,0,51.34,0
1,7,6,15,97.2,0,51.01,0
1,7,10,15,3.6,26.44,47.93,0
1,7,10,45,3.8,25.46,48.22,0
1,7,12,0,3.67,26.39,48.22,0
1,7,14,15,95.47,26.5,48.74,0
1,7,19,0,352.93,25,51.16,0
1,7,19,15,352.93,26.31,51.2,0
1,7,23,15,372.73,0,52.65,0
1,8,0,15,367.07,0,53.29,0
1,8,1,45,360,0,54.07,0
1,8,2,0,363.8,0,53.93,0
1,8,3,45,357.87,0,54.34,0
1,8,4,15,348.2,0,54.15,0
1,8,5,0,192.6,0,52.22,0
1,8,7,0,132.8,25,51.44,0
1,8,8,0,3.33,25.93,49.29,0
1,8,8,45,3.6,26.71,47.98,0
1,8,9,45,3.53,25.82,47.58,0
1,8,10,30,3.6,26.16,47.95,0
1,8,14,15,140.47,26.53,49.06,0
1,8,14,30,139.53,24.96,49.15,0
1,8,17,0,333.73,26.06,50.84,0
1,8,17,15,342,25.25,50.93,0
1,9,1,0,361.07,0,53.91,0
1,9,1,30,364.53,0,53.68,0
1,9,3,15,354.73,0,54.35,0
1,9,5,0,194.33,0,52.14,0
1,9,5,30,193.47,0,51.98,0
1,9,6,30,140.73,17.74,51.45,0
1,9,7,30,133.4,26.89,51.37,0
1,9,10,45,3.33,25.49,48.19,0
1,9,13,30,111.27,25.59,49.39,0
1,9,13,45,104.93,25.36,49.2,0
1,9,14,30,70.67,25.41,49.02,0
1,9,15,30,188.07,24.85,50.05,0
1,9,17,15,310.73,24.48,50.84,0
1,9,18,30,381.07,26,51.57,0
1,9,19,0,379.6,26.03,51.69,0
1,9,22,30,344.4,0,52.2,0
1,9,23,0,372.13,0,52.88,0
