month_day_hour_min,i_uiip,i_f,i_uiipu
0,196.56,253,261.93
1,182.76,249.93,259.33
2,194.23,251.67,262.67
3,171.88,248.13,271.47
4,178.46,242.07,313.73
5,153.45,242.27,316
6,160.81,242.73,325.67
7,159.33,240.4,350
8,151.02,237.93,366.07
9,140.03,235.93,366.27
10,146.49,235.73,364.87
11,143.2,233.93,364.87
12,136.35,232.27,365.87
13,129.39,231.47,365.2
14,124.68,231.53,364.4
15,130.73,230.87,364.2
16,138.08,229.53,360.8
17,147.58,258.73,358.87
18,131.02,257.93,357.2
19,125.07,257.67,356.47
20,128.3,256.53,356.13
21,123.35,255.93,354.87
22,120.56,259.93,356.27
23,123.6,254.47,355.4
24,135.43,258.13,356.27
25,134.2,258.53,355.93
26,117.87,260.47,337.73
27,120.14,267.73,214.33
28,138.55,271.53,194.73
29,124.55,271.8,186.8
30,141.79,271.93,165.93
31,174.91,271.2,117.13
32,180.4,261.2,114.6
33,193.92,225.33,95.27
34,211.47,228.07,93.73
35,208.69,230.47,96.33
36,226.56,234.33,97.73
37,237.04,237.13,104.67
38,238.06,239.53,101.47
39,265.38,242.47,104.87
40,246.45,257.13,3.53
41,254.33,255.07,3.47
42,254.88,259.4,3.13
43,271.95,256.8,3.2
44,263.69,256.2,3.4
45,259.91,253.93,3.47
46,241.56,255.07,3.6
47,250.38,254.27,3.53
48,257,253.2,3.27
49,267.64,249.8,3.4
50,230.01,246.53,3.4
51,226.61,253.27,3.4
52,222.46,247.2,3.33
53,220.44,250.47,3.67
54,219.92,243.13,81.27
55,228.33,241.8,111.33
56,210.7,241.47,109.8
57,223.9,239.4,108.8
58,223.54,239.27,106.07
59,208.89,236.2,105.4
60,197.23,238.8,105.27
61,185.06,240.8,105.2
62,196.2,237.47,102.27
63,184.05,237.4,103.13
64,172.21,237.6,103.73
65,183.42,242.53,104.07
66,182.95,237.73,104.53
67,177.8,240.93,105.8
68,189.91,241.8,105.4
69,173.41,242.67,104.47
70,192.07,241.4,107.27
71,196.6,240.67,105.73
72,174.11,243.4,106.47
73,183.59,242.2,105.73
74,184.65,267.87,95.47
75,178.26,276.2,94.4
76,173.12,276.33,95.33
77,180.69,273.4,94
78,185.65,273.8,94.33
79,184.12,276.07,95.13
80,177.16,275.73,97.13
81,178.75,276,96.4
82,164.44,261.87,97.2
83,162.86,252.8,259.13
84,196.79,250.53,379.53
