month,day,hour,min,i_f,p_f
1,1,0,0,253,32.12
1,1,1,30,242.73,32.93
1,1,1,45,240.4,33.14
1,1,2,0,237.93,33.32
1,1,2,15,235.93,33.48
1,1,3,15,231.47,33.89
1,1,4,15,258.73,34.15
1,1,5,0,256.53,34.48
1,1,8,0,261.2,33.12
1,1,8,30,228.07,32.35
1,1,9,30,239.53,31.57
1,1,11,15,253.93,30.39
1,1,15,0,238.8,31.56
1,1,15,15,240.8,31.43
1,1,15,30,237.47,31.69
1,1,18,15,242.2,31.44
1,1,19,30,273.8,31.5
1,1,22,15,249.07,32.05
1,1,23,30,238.93,32.81
1,2,1,45,226.87,33.95
1,2,2,0,242.4,34.07
1,2,3,0,242.4,34.09
1,2,4,0,237.67,34.44
1,2,4,15,249.33,34.18
1,2,4,45,265.73,33.78
1,2,11,30,239.4,30.4
1,2,12,0,260.53,30.54
1,2,12,30,263.13,30.33
1,2,13,0,258.47,30.7
1,2,14,45,266.27,31.41
1,2,16,45,264.2,31.48
1,2,17,45,241.87,31.39
1,2,18,15,235.73,31.81
1,2,19,15,238.47,31.53
1,2,19,30,236.8,31.5
1,2,21,0,276.13,32.26
1,2,21,30,285.53,32.44
1,2,21,45,288.33,32.19
1,2,22,15,282.73,32.56
1,2,22,45,277.87,32.94
1,2,23,0,276.8,32.99
1,3,2,30,239.13,33.24
1,3,4,15,231.2,33.91
1,3,5,15,238.6,34.16
1,3,7,30,255.87,31.86
1,3,10,45,258.33,30.8
1,3,15,15,261.6,31.41
1,3,15,45,261.33,31.46
1,3,17,45,259.13,31.6
1,3,18,0,256.87,31.77
1,3,18,15,261.33,31.4
1,3,21,45,253.47,32.02
1,3,22,30,247.73,32.48
1,4,1,0,235.8,33.54
1,4,2,30,242.2,34.02
1,4,3,15,241.33,34.07
1,4,3,30,236.07,34.46
1,4,4,0,258.13,34.59
1,4,4,15,261.2,34.35
1,4,6,15,259,33.51
1,4,6,45,260.67,33.27
1,4,8,0,243.2,31.78
1,4,9,15,249.27,30.69
1,4,9,45,249.47,30.65
1,4,15,15,256.8,31.35
1,4,18,30,253.27,31.55
1,4,20,0,258.27,31.13
1,4,20,15,258.67,31.1
1,4,20,45,254.6,31.39
1,4,22,45,243.67,32.41
1,4,23,45,236.47,32.9
1,5,0,0,236.4,32.97
1,5,1,15,237.2,32.94
1,5,1,30,236.2,33.05
1,5,3,0,234,33.22
1,5,4,30,251.8,33.83
1,5,4,45,244.2,34.39
1,5,6,30,271.87,33.29
1,5,7,45,278.8,31.68
1,5,9,45,249.4,30.25
1,5,12,0,234.27,31.37
1,5,13,30,252.27,30.93
1,5,13,45,249.27,31.14
1,5,14,30,251.27,30.98
1,5,15,15,246.87,31.25
1,5,16,0,251.93,30.93
1,5,16,15,248.87,31.12
1,5,18,15,245.67,31.41
1,5,19,0,246.67,31.33
1,5,20,30,247,31.34
1,5,21,0,246.4,31.39
1,5,22,0,238.33,32.01
1,5,22,45,236.53,32.18
1,5,23,30,230.4,32.63
1,6,0,0,226.2,32.97
1,6,1,0,243,33.57
1,6,1,45,239.07,33.88
1,6,3,15,234.13,34.25
1,6,3,30,238.4,33.95
1,6,4,15,242.47,34.58
1,6,7,0,262.47,32.93
1,6,8,30,266.53,31.65
1,6,9,15,266.6,30.59
1,6,11,45,232.13,30.54
1,6,12,0,234.4,30.42
1,6,14,45,261.27,31.46
1,6,18,30,236.07,31.67
1,6,20,15,240.4,31.51
1,6,22,45,268.47,32.91
1,6,23,15,265.2,33.12
1,7,0,15,259.67,33.51
1,7,0,45,259.33,33.52
1,7,2,30,255.53,33.73
1,7,5,30,249.27,33.07
1,7,6,15,239.87,32.92
1,7,10,15,254,30.27
1,7,10,45,251,30.44
1,7,12,0,250.93,30.46
1,7,14,15,259.07,30.72
1,7,19,0,250.33,31.41
1,7,19,15,242.4,31.67
1,7,23,15,235.8,32.6
1,8,0,15,223.6,33.53
1,8,1,45,262.8,34.31
1,8,2,0,263.8,34.23
1,8,3,45,258.87,34.56
1,8,4,15,258.07,34.6
1,8,5,0,269.2,33.69
1,8,7,0,253.33,33.21
1,8,8,0,254,31.35
1,8,8,45,255.8,30.33
1,8,9,45,261.07,29.91
1,8,10,30,256.93,30.19
1,8,14,15,244.13,30.77
1,8,14,30,242.33,30.88
1,8,17,0,249.4,31.63
1,8,17,15,251.33,31.48
1,9,1,0,254.6,34.03
1,9,1,30,255.07,34.03
1,9,3,15,248.53,34.54
1,9,5,0,248,33.67
1,9,5,30,250.8,33.45
1,9,6,30,251.6,33.36
1,9,7,30,253.53,33.21
1,9,10,45,258.07,30.15
1,9,13,30,259.8,31.39
1,9,13,45,268.27,31.16
1,9,14,30,266.93,31.28
1,9,15,30,266.67,31.76
1,9,17,15,262.2,31.73
1,9,18,30,254.8,31.69
1,9,19,0,256.73,31.54
1,9,22,30,244.8,32.54
1,9,23,0,259.73,33.18
1,10,2,0,255.33,33.54
1,10,5,30,256.67,33.51
1,10,8,15,270.6,31.78
1,10,8,45,268.27,31.52
1,10,10,15,268.47,30.93
1,10,10,30,273,30.65
1,10,10,45,268,30.82
1,10,12,15,252.53,31.26
1,10,13,15,253.13,31.04
1,10,13,45,248.87,31.1
1,10,15,0,212.13,31.14
1,10,15,45,210.07,31.37
1,10,17,45,271.13,31.35
1,10,18,30,270.93,31.3
1,10,19,45,253.47,29.99
1,10,22,45,238.27,31.27
1,10,23,45,236.87,31.46
1,11,0,30,257.33,31.74
1,11,4,45,238.87,32.36
1,11,5,0,243.93,32.03
1,11,8,15,261.6,30.67
1,11,9,30,269.87,30.05
1,11,10,0,270.87,29.93
1,11,10,15,267.4,30.18
1,11,11,45,265.8,29.8
1,11,14,0,239.53,29.78
1,11,14,30,229.53,29.93
1,11,16,15,240.4,30.46
1,11,18,30,242.87,29.99
1,11,22,15,230.4,30.11
1,11,22,30,232.87,29.99
1,12,1,0,275.73,30.16
1,12,4,0,245.2,30.2
1,12,5,0,243.13,30.39
1,12,5,15,250.87,30.4
1,12,5,30,267.73,30.3
1,12,5,45,269.07,30.08
1,12,6,15,277.27,29.54
1,12,6,45,271.13,29.95
1,12,9,0,251.8,29.69
1,12,10,30,261.8,27.81
1,12,11,0,232.2,30.32
1,12,11,15,235.47,31.52
1,12,11,30,259.73,30.03
1,12,12,45,256.07,29.76
1,12,13,15,263.13,29.23
1,12,13,30,264.2,29.13
1,12,16,15,240.07,32.95
1,12,17,15,271.73,32.27
1,12,17,30,276.27,31.89
1,12,18,45,294.53,29.44
1,12,20,15,240.87,30.8
1,12,21,0,211.27,33.01
1,12,23,0,248.4,33.03
1,13,2,30,178.13,36.16
1,13,3,45,219.73,33.29
1,13,5,0,269.2,31.31
1,13,5,30,246.73,33.03
1,13,7,15,281.33,28.75
1,13,7,30,293.13,29
1,13,9,15,259.53,33.05
1,13,11,0,263.27,33.56
1,13,12,30,270.4,29.97
1,13,13,30,271.53,29.81
1,13,15,0,244.87,30.1
1,13,15,45,246.87,29.99
1,13,17,45,248.87,30.03
1,13,23,15,265.87,31.45
1,13,23,30,266.27,31.42
1,13,23,45,267.2,31.36
1,14,1,0,270.87,31.03
1,14,1,45,265.2,31.42
1,14,2,45,303,32.12
1,14,4,30,251.73,31.5
1,14,6,0,247.4,31.44
1,14,6,30,254.87,31.22
1,14,10,45,265.73,31.44
1,14,12,0,263.47,31.47
