id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,scores_total,score,anomaly
0,day,1,month_day_hour_min,,0.55,0.53,0.54,0.52,0.57,0.53,0.57,0.57,0.58,0.54,5.50,0.55,false
1,day,1,month_day_hour_min,,0.53,0.51,0.51,0.51,0.53,0.50,0.51,0.56,0.55,0.47,5.18,0.52,false
2,day,1,month_day_hour_min,,0.55,0.53,0.54,0.52,0.54,0.52,0.51,0.54,0.55,0.49,5.29,0.53,false
3,day,1,month_day_hour_min,,0.54,0.52,0.48,0.47,0.53,0.50,0.52,0.53,0.53,0.51,5.13,0.51,false
4,day,1,month_day_hour_min,,0.53,0.49,0.47,0.47,0.52,0.45,0.51,0.54,0.50,0.48,4.96,0.50,false
5,day,1,month_day_hour_min,,0.51,0.47,0.46,0.47,0.50,0.46,0.51,0.53,0.52,0.48,4.91,0.49,false
6,day,1,month_day_hour_min,,0.50,0.48,0.46,0.45,0.48,0.47,0.49,0.48,0.48,0.47,4.76,0.48,false
7,day,1,month_day_hour_min,,0.52,0.51,0.49,0.46,0.50,0.50,0.49,0.52,0.53,0.51,5.03,0.50,false
8,day,1,month_day_hour_min,,0.51,0.54,0.52,0.45,0.51,0.48,0.47,0.53,0.50,0.50,5.01,0.50,false
9,day,1,month_day_hour_min,,0.53,0.52,0.49,0.48,0.50,0.46,0.46,0.50,0.48,0.48,4.90,0.49,false
10,day,1,month_day_hour_min,,0.51,0.52,0.47,0.49,0.49,0.47,0.47,0.48,0.49,0.46,4.85,0.48,false
11,day,1,month_day_hour_min,,0.54,0.54,0.50,0.49,0.54,0.50,0.49,0.52,0.53,0.52,5.17,0.52,false
12,day,1,month_day_hour_min,,0.51,0.50,0.50,0.47,0.48,0.48,0.47,0.51,0.52,0.49,4.93,0.49,false
13,day,1,month_day_hour_min,,0.48,0.48,0.47,0.46,0.46,0.45,0.47,0.48,0.47,0.47,4.69,0.47,false
14,day,1,month_day_hour_min,,0.47,0.49,0.48,0.49,0.46,0.47,0.47,0.48,0.47,0.46,4.74,0.47,false
15,day,1,month_day_hour_min,,0.50,0.51,0.52,0.48,0.47,0.47,0.47,0.49,0.48,0.48,4.87,0.49,false
16,day,1,month_day_hour_min,,0.49,0.53,0.55,0.52,0.46,0.48,0.49,0.51,0.52,0.51,5.06,0.51,false
17,day,1,month_day_hour_min,,0.53,0.52,0.50,0.45,0.47,0.46,0.48,0.50,0.50,0.47,4.88,0.49,false
18,day,1,month_day_hour_min,,0.54,0.52,0.53,0.50,0.52,0.54,0.50,0.53,0.52,0.49,5.19,0.52,false
19,day,2,month_day_hour_min,,0.57,0.53,0.56,0.53,0.56,0.56,0.51,0.58,0.56,0.48,5.44,0.54,false
20,day,2,month_day_hour_min,,0.51,0.51,0.49,0.47,0.50,0.50,0.51,0.54,0.52,0.49,5.04,0.50,false
21,day,2,month_day_hour_min,,0.51,0.50,0.47,0.45,0.49,0.48,0.49,0.51,0.52,0.47,4.89,0.49,false
22,day,2,month_day_hour_min,,0.52,0.53,0.47,0.48,0.50,0.50,0.49,0.56,0.52,0.47,5.04,0.50,false
23,day,2,month_day_hour_min,,0.47,0.48,0.48,0.46,0.50,0.50,0.49,0.52,0.48,0.48,4.86,0.49,false
24,day,2,month_day_hour_min,,0.54,0.53,0.53,0.51,0.56,0.57,0.50,0.53,0.52,0.49,5.28,0.53,false
25,day,2,month_day_hour_min,,0.53,0.53,0.48,0.48,0.51,0.51,0.52,0.49,0.50,0.50,5.05,0.51,false
26,day,2,month_day_hour_min,,0.52,0.57,0.51,0.49,0.49,0.52,0.52,0.50,0.51,0.53,5.16,0.52,false
27,day,2,month_day_hour_min,,0.49,0.52,0.48,0.47,0.48,0.51,0.50,0.49,0.50,0.50,4.94,0.49,false
28,day,2,month_day_hour_min,,0.54,0.56,0.51,0.48,0.49,0.52,0.52,0.51,0.51,0.54,5.18,0.52,false
29,day,2,month_day_hour_min,,0.48,0.51,0.48,0.48,0.46,0.47,0.47,0.49,0.48,0.46,4.78,0.48,false
30,day,2,month_day_hour_min,,0.47,0.51,0.48,0.48,0.46,0.45,0.47,0.48,0.45,0.45,4.70,0.47,false
31,day,2,month_day_hour_min,,0.50,0.50,0.48,0.50,0.47,0.45,0.46,0.45,0.48,0.45,4.74,0.47,false
32,day,2,month_day_hour_min,,0.47,0.48,0.46,0.47,0.44,0.44,0.45,0.47,0.45,0.45,4.58,0.46,false
33,day,2,month_day_hour_min,,0.47,0.49,0.45,0.45,0.44,0.45,0.45,0.47,0.46,0.45,4.58,0.46,false
34,day,2,month_day_hour_min,,0.47,0.52,0.47,0.48,0.45,0.45,0.45,0.48,0.46,0.44,4.67,0.47,false
35,day,2,month_day_hour_min,,0.52,0.54,0.50,0.52,0.47,0.45,0.48,0.52,0.51,0.49,5.00,0.50,false
36,day,2,month_day_hour_min,,0.49,0.52,0.49,0.51,0.46,0.45,0.50,0.48,0.52,0.47,4.89,0.49,false
37,day,2,month_day_hour_min,,0.50,0.53,0.51,0.53,0.48,0.47,0.49,0.51,0.51,0.52,5.05,0.51,false
38,day,2,month_day_hour_min,,0.53,0.53,0.49,0.46,0.48,0.47,0.50,0.51,0.48,0.50,4.95,0.49,false
39,day,2,month_day_hour_min,,0.51,0.53,0.52,0.52,0.49,0.49,0.49,0.50,0.51,0.51,5.07,0.51,false
40,day,2,month_day_hour_min,,0.52,0.56,0.53,0.53,0.54,0.55,0.53,0.59,0.53,0.52,5.40,0.54,false
41,day,3,month_day_hour_min,,0.51,0.47,0.47,0.47,0.48,0.47,0.48,0.49,0.49,0.45,4.78,0.48,false
42,day,3,month_day_hour_min,,0.49,0.45,0.46,0.48,0.46,0.47,0.46,0.46,0.46,0.46,4.65,0.46,false
43,day,3,month_day_hour_min,,0.47,0.46,0.46,0.45,0.45,0.44,0.46,0.46,0.47,0.43,4.55,0.45,false
44,day,3,month_day_hour_min,,0.51,0.50,0.49,0.47,0.49,0.49,0.50,0.50,0.50,0.50,4.95,0.49,false
45,day,3,month_day_hour_min,,0.53,0.53,0.51,0.47,0.51,0.50,0.49,0.51,0.51,0.49,5.05,0.51,false
46,day,3,month_day_hour_min,,0.45,0.44,0.45,0.44,0.47,0.45,0.49,0.45,0.45,0.46,4.55,0.46,false
47,day,3,month_day_hour_min,,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.45,0.46,0.45,4.59,0.46,false
48,day,3,month_day_hour_min,,0.46,0.48,0.47,0.49,0.46,0.47,0.46,0.45,0.49,0.46,4.69,0.47,false
49,day,3,month_day_hour_min,,0.46,0.50,0.47,0.49,0.45,0.44,0.45,0.49,0.47,0.46,4.68,0.47,false
50,day,3,month_day_hour_min,,0.46,0.45,0.45,0.47,0.44,0.45,0.46,0.45,0.45,0.43,4.51,0.45,false
51,day,3,month_day_hour_min,,0.47,0.50,0.49,0.48,0.44,0.46,0.47,0.48,0.47,0.46,4.72,0.47,false
52,day,3,month_day_hour_min,,0.47,0.51,0.47,0.49,0.44,0.45,0.47,0.46,0.48,0.45,4.69,0.47,false
53,day,4,month_day_hour_min,,0.48,0.50,0.47,0.48,0.49,0.49,0.49,0.51,0.50,0.48,4.89,0.49,false
54,day,4,month_day_hour_min,,0.48,0.46,0.45,0.46,0.47,0.45,0.46,0.45,0.48,0.42,4.58,0.46,false
55,day,4,month_day_hour_min,,0.46,0.45,0.44,0.46,0.46,0.47,0.47,0.47,0.47,0.45,4.60,0.46,false
56,day,4,month_day_hour_min,,0.48,0.47,0.45,0.48,0.48,0.48,0.45,0.48,0.49,0.43,4.69,0.47,false
57,day,4,month_day_hour_min,,0.49,0.48,0.46,0.45,0.46,0.48,0.46,0.49,0.48,0.45,4.70,0.47,false
58,day,4,month_day_hour_min,,0.46,0.45,0.45,0.43,0.45,0.46,0.46,0.46,0.46,0.43,4.51,0.45,false
59,day,4,month_day_hour_min,,0.46,0.46,0.44,0.42,0.45,0.43,0.45,0.46,0.44,0.43,4.44,0.44,false
60,day,4,month_day_hour_min,,0.51,0.47,0.49,0.47,0.50,0.47,0.46,0.47,0.48,0.45,4.77,0.48,false
61,day,4,month_day_hour_min,,0.51,0.52,0.48,0.45,0.48,0.51,0.46,0.50,0.49,0.48,4.88,0.49,false
62,day,4,month_day_hour_min,,0.50,0.52,0.48,0.49,0.49,0.50,0.51,0.48,0.49,0.53,4.99,0.50,false
63,day,4,month_day_hour_min,,0.58,0.61,0.60,0.57,0.57,0.58,0.57,0.60,0.60,0.58,5.86,0.59,false
64,day,4,month_day_hour_min,,0.46,0.45,0.44,0.44,0.46,0.44,0.46,0.45,0.45,0.43,4.48,0.45,false
65,day,4,month_day_hour_min,,0.44,0.48,0.43,0.48,0.43,0.46,0.45,0.44,0.46,0.44,4.51,0.45,false
66,day,4,month_day_hour_min,,0.45,0.51,0.45,0.47,0.45,0.46,0.45,0.48,0.49,0.47,4.68,0.47,false
67,day,4,month_day_hour_min,,0.46,0.46,0.43,0.45,0.43,0.45,0.44,0.45,0.46,0.43,4.46,0.45,false
68,day,4,month_day_hour_min,,0.46,0.48,0.47,0.48,0.44,0.47,0.45,0.46,0.47,0.45,4.63,0.46,false
69,day,4,month_day_hour_min,,0.46,0.51,0.48,0.48,0.46,0.48,0.46,0.46,0.47,0.47,4.73,0.47,false
70,day,4,month_day_hour_min,,0.47,0.51,0.51,0.50,0.47,0.50,0.47,0.50,0.50,0.48,4.91,0.49,false
71,day,5,month_day_hour_min,,0.50,0.52,0.49,0.52,0.49,0.50,0.52,0.50,0.51,0.50,5.05,0.51,false
72,day,5,month_day_hour_min,,0.49,0.48,0.46,0.46,0.46,0.45,0.48,0.48,0.47,0.46,4.69,0.47,false
73,day,5,month_day_hour_min,,0.50,0.47,0.46,0.48,0.46,0.45,0.48,0.47,0.48,0.43,4.68,0.47,false
74,day,5,month_day_hour_min,,0.47,0.49,0.45,0.44,0.47,0.48,0.46,0.49,0.49,0.45,4.69,0.47,false
75,day,5,month_day_hour_min,,0.46,0.47,0.43,0.44,0.43,0.44,0.44,0.46,0.45,0.42,4.44,0.44,false
76,day,5,month_day_hour_min,,0.49,0.47,0.49,0.46,0.46,0.47,0.45,0.47,0.48,0.46,4.70,0.47,false
77,day,5,month_day_hour_min,,0.44,0.46,0.45,0.45,0.42,0.44,0.46,0.45,0.45,0.41,4.43,0.44,false
78,day,5,month_day_hour_min,,0.48,0.51,0.49,0.49,0.50,0.51,0.49,0.50,0.52,0.50,4.99,0.50,false
79,day,5,month_day_hour_min,,0.46,0.50,0.47,0.48,0.48,0.50,0.46,0.47,0.48,0.47,4.77,0.48,false
80,day,5,month_day_hour_min,,0.45,0.49,0.46,0.44,0.44,0.47,0.45,0.47,0.47,0.46,4.60,0.46,false
81,day,5,month_day_hour_min,,0.42,0.44,0.42,0.44,0.43,0.43,0.45,0.44,0.44,0.43,4.34,0.43,false
82,day,5,month_day_hour_min,,0.44,0.47,0.44,0.44,0.44,0.46,0.42,0.45,0.45,0.44,4.45,0.45,false
83,day,5,month_day_hour_min,,0.42,0.44,0.42,0.45,0.44,0.43,0.45,0.44,0.43,0.43,4.35,0.44,false
84,day,5,month_day_hour_min,,0.43,0.45,0.43,0.43,0.44,0.44,0.45,0.46,0.45,0.43,4.41,0.44,false
85,day,5,month_day_hour_min,,0.44,0.49,0.47,0.45,0.46,0.45,0.45,0.48,0.47,0.44,4.60,0.46,false
86,day,5,month_day_hour_min,,0.43,0.47,0.44,0.44,0.43,0.44,0.46,0.45,0.44,0.43,4.43,0.44,false
87,day,5,month_day_hour_min,,0.43,0.47,0.43,0.43,0.44,0.44,0.44,0.47,0.44,0.42,4.41,0.44,false
88,day,5,month_day_hour_min,,0.44,0.49,0.45,0.44,0.43,0.45,0.43,0.49,0.46,0.44,4.52,0.45,false
89,day,5,month_day_hour_min,,0.45,0.49,0.43,0.45,0.43,0.44,0.44,0.45,0.45,0.42,4.45,0.45,false
90,day,5,month_day_hour_min,,0.46,0.49,0.47,0.46,0.44,0.46,0.46,0.49,0.48,0.45,4.66,0.47,false
91,day,5,month_day_hour_min,,0.47,0.50,0.45,0.46,0.45,0.48,0.46,0.48,0.50,0.45,4.70,0.47,false
92,day,5,month_day_hour_min,,0.46,0.51,0.47,0.50,0.46,0.49,0.46,0.48,0.48,0.47,4.78,0.48,false
93,day,5,month_day_hour_min,,0.49,0.52,0.46,0.51,0.48,0.49,0.46,0.49,0.49,0.47,4.86,0.49,false
94,day,6,month_day_hour_min,,0.51,0.55,0.48,0.52,0.50,0.52,0.53,0.55,0.52,0.52,5.20,0.52,false
95,day,6,month_day_hour_min,,0.46,0.51,0.46,0.47,0.46,0.48,0.49,0.50,0.49,0.45,4.77,0.48,false
96,day,6,month_day_hour_min,,0.49,0.51,0.50,0.50,0.48,0.52,0.47,0.50,0.51,0.46,4.94,0.49,false
97,day,6,month_day_hour_min,,0.45,0.45,0.44,0.45,0.44,0.46,0.45,0.47,0.47,0.44,4.52,0.45,false
98,day,6,month_day_hour_min,,0.46,0.47,0.45,0.47,0.45,0.47,0.44,0.46,0.47,0.42,4.56,0.46,false
99,day,6,month_day_hour_min,,0.44,0.45,0.45,0.43,0.43,0.45,0.45,0.45,0.44,0.43,4.42,0.44,false
100,day,6,month_day_hour_min,,0.46,0.48,0.44,0.44,0.46,0.47,0.46,0.51,0.46,0.46,4.64,0.46,false
101,day,6,month_day_hour_min,,0.45,0.47,0.46,0.44,0.47,0.47,0.46,0.46,0.45,0.45,4.58,0.46,false
102,day,6,month_day_hour_min,,0.46,0.50,0.46,0.47,0.47,0.47,0.49,0.47,0.46,0.51,4.76,0.48,false
103,day,6,month_day_hour_min,,0.47,0.49,0.48,0.47,0.49,0.47,0.46,0.48,0.49,0.44,4.74,0.47,false
104,day,6,month_day_hour_min,,0.44,0.49,0.45,0.43,0.44,0.47,0.45,0.47,0.47,0.46,4.57,0.46,false
105,day,6,month_day_hour_min,,0.43,0.46,0.45,0.45,0.44,0.47,0.46,0.46,0.45,0.44,4.51,0.45,false
106,day,6,month_day_hour_min,,0.44,0.47,0.44,0.46,0.43,0.44,0.44,0.44,0.44,0.42,4.42,0.44,false
107,day,6,month_day_hour_min,,0.44,0.47,0.43,0.44,0.42,0.45,0.44,0.45,0.45,0.42,4.41,0.44,false
108,day,6,month_day_hour_min,,0.46,0.49,0.47,0.49,0.44,0.48,0.48,0.47,0.46,0.47,4.71,0.47,false
109,day,6,month_day_hour_min,,0.49,0.51,0.45,0.48,0.48,0.49,0.48,0.47,0.46,0.44,4.75,0.48,false
110,day,7,month_day_hour_min,,0.51,0.50,0.46,0.50,0.48,0.46,0.52,0.51,0.50,0.48,4.92,0.49,false
111,day,7,month_day_hour_min,,0.52,0.52,0.52,0.54,0.48,0.52,0.49,0.49,0.51,0.49,5.08,0.51,false
112,day,7,month_day_hour_min,,0.49,0.46,0.43,0.45,0.44,0.44,0.47,0.45,0.47,0.43,4.53,0.45,false
113,day,7,month_day_hour_min,,0.46,0.45,0.44,0.49,0.43,0.44,0.45,0.48,0.44,0.45,4.53,0.45,false
114,day,7,month_day_hour_min,,0.45,0.46,0.45,0.45,0.46,0.43,0.48,0.47,0.46,0.46,4.57,0.46,false
115,day,7,month_day_hour_min,,0.47,0.48,0.45,0.46,0.47,0.47,0.48,0.46,0.45,0.50,4.69,0.47,false
116,day,7,month_day_hour_min,,0.46,0.49,0.48,0.45,0.46,0.48,0.47,0.46,0.48,0.46,4.69,0.47,false
117,day,7,month_day_hour_min,,0.49,0.51,0.48,0.47,0.47,0.49,0.51,0.49,0.48,0.51,4.90,0.49,false
118,day,7,month_day_hour_min,,0.43,0.43,0.42,0.43,0.44,0.42,0.45,0.45,0.45,0.44,4.36,0.44,false
119,day,7,month_day_hour_min,,0.44,0.48,0.44,0.44,0.43,0.45,0.42,0.47,0.46,0.44,4.47,0.45,false
120,day,7,month_day_hour_min,,0.42,0.47,0.42,0.42,0.42,0.43,0.44,0.43,0.44,0.42,4.31,0.43,false
121,day,7,month_day_hour_min,,0.47,0.46,0.44,0.47,0.46,0.48,0.47,0.45,0.46,0.45,4.61,0.46,false
122,day,8,month_day_hour_min,,0.50,0.51,0.47,0.49,0.51,0.48,0.52,0.54,0.51,0.47,5.00,0.50,false
123,day,8,month_day_hour_min,,0.49,0.50,0.50,0.48,0.48,0.52,0.48,0.48,0.50,0.46,4.89,0.49,false
124,day,8,month_day_hour_min,,0.49,0.48,0.46,0.49,0.47,0.49,0.48,0.51,0.50,0.46,4.83,0.48,false
125,day,8,month_day_hour_min,,0.49,0.47,0.49,0.48,0.50,0.51,0.47,0.46,0.49,0.46,4.82,0.48,false
126,day,8,month_day_hour_min,,0.43,0.45,0.44,0.44,0.43,0.44,0.47,0.44,0.46,0.42,4.42,0.44,false
127,day,8,month_day_hour_min,,0.46,0.45,0.45,0.45,0.45,0.46,0.48,0.51,0.48,0.47,4.66,0.47,false
128,day,8,month_day_hour_min,,0.45,0.45,0.44,0.43,0.45,0.45,0.44,0.49,0.46,0.46,4.52,0.45,false
129,day,8,month_day_hour_min,,0.52,0.52,0.49,0.49,0.49,0.50,0.54,0.51,0.50,0.50,5.06,0.51,false
130,day,8,month_day_hour_min,,0.48,0.48,0.48,0.46,0.48,0.48,0.46,0.45,0.47,0.47,4.71,0.47,false
131,day,8,month_day_hour_min,,0.49,0.49,0.50,0.46,0.49,0.48,0.48,0.47,0.49,0.47,4.82,0.48,false
132,day,8,month_day_hour_min,,0.50,0.48,0.46,0.47,0.47,0.49,0.50,0.45,0.47,0.47,4.76,0.48,false
133,day,8,month_day_hour_min,,0.43,0.44,0.41,0.45,0.44,0.43,0.44,0.43,0.44,0.44,4.35,0.44,false
134,day,8,month_day_hour_min,,0.42,0.44,0.42,0.44,0.42,0.43,0.45,0.43,0.44,0.43,4.32,0.43,false
135,day,8,month_day_hour_min,,0.43,0.48,0.45,0.46,0.44,0.44,0.44,0.48,0.47,0.43,4.52,0.45,false
136,day,8,month_day_hour_min,,0.42,0.46,0.41,0.44,0.42,0.43,0.45,0.42,0.43,0.42,4.30,0.43,false
137,day,9,month_day_hour_min,,0.48,0.50,0.47,0.48,0.46,0.49,0.48,0.49,0.49,0.47,4.81,0.48,false
138,day,9,month_day_hour_min,,0.47,0.50,0.44,0.47,0.45,0.48,0.48,0.46,0.49,0.42,4.66,0.47,false
139,day,9,month_day_hour_min,,0.45,0.46,0.43,0.47,0.44,0.44,0.47,0.45,0.46,0.43,4.50,0.45,false
140,day,9,month_day_hour_min,,0.46,0.45,0.46,0.47,0.45,0.46,0.47,0.47,0.47,0.46,4.62,0.46,false
141,day,9,month_day_hour_min,,0.45,0.43,0.44,0.47,0.44,0.44,0.45,0.46,0.43,0.43,4.44,0.44,false
142,day,9,month_day_hour_min,,0.44,0.44,0.44,0.46,0.41,0.44,0.45,0.45,0.43,0.44,4.40,0.44,false
143,day,9,month_day_hour_min,,0.43,0.41,0.42,0.43,0.41,0.43,0.44,0.44,0.43,0.42,4.26,0.43,false
144,day,9,month_day_hour_min,,0.48,0.47,0.47,0.45,0.46,0.47,0.45,0.46,0.47,0.46,4.64,0.46,false
145,day,9,month_day_hour_min,,0.43,0.43,0.43,0.43,0.40,0.42,0.45,0.43,0.43,0.43,4.28,0.43,false
