id,received_at,uplink_message.rx_metadata.0.location.latitude,uplink_message.rx_metadata.0.location.longitude,uplink_message.rx_metadata.0.location.altitude,uplink_message.rx_metadata.0.gateway_ids.gateway_id,uplink_message.rx_metadata.0.gateway_ids.eui,uplink_message.rx_metadata.0.location.source,uplink_message.rx_metadata.1.location.latitude,uplink_message.rx_metadata.1.location.longitude,uplink_message.rx_metadata.1.location.altitude,uplink_message.rx_metadata.1.gateway_ids.gateway_id,uplink_message.rx_metadata.1.gateway_ids.eui,uplink_message.rx_metadata.1.location.source,uplink_message.rx_metadata.2.location.latitude,uplink_message.rx_metadata.2.location.longitude,uplink_message.rx_metadata.2.location.altitude,uplink_message.rx_metadata.2.gateway_ids.gateway_id,uplink_message.rx_metadata.2.gateway_ids.eui,uplink_message.rx_metadata.2.location.source,uplink_message.rx_metadata.3.location.latitude,uplink_message.rx_metadata.3.location.longitude,uplink_message.rx_metadata.3.location.altitude,uplink_message.rx_metadata.3.gateway_ids.gateway_id,uplink_message.rx_metadata.3.gateway_ids.eui,uplink_message.rx_metadata.3.location.source,uplink_message.rx_metadata.4.location.latitude,uplink_message.rx_metadata.4.location.longitude,uplink_message.rx_metadata.4.location.altitude,uplink_message.rx_metadata.4.gateway_ids.gateway_id,uplink_message.rx_metadata.4.gateway_ids.eui,uplink_message.rx_metadata.4.location.source,score
1217,0.13407513495648343,0,0.6776429599989742,0,1,1,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,1,0,1,0.8,0.8,1,0,1,0,0,0,0,0.75
8542,0.9410598215269362,0,0.6776429599989742,0,1,1,0,0.9999549211307613,0.013218441489720428,0.5,0.4,0.4,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,0.9999691071326231,0.013010930634308804,0.5,0.6,0.6,1,1,0,1,0.8,0.8,1,0.75
8119,0.894458521537953,0.5242252929192458,0.5578291133000177,1,0,0,0,0.9999325920100464,0.0089573838176674,0.4,0.6,0.6,0,0.9999549211307613,0.013218441489720428,0.5,1,1,0,0.9999691071326231,0.013010930634308804,0.5,0.6,0.6,1,1,0,1,0.8,0.8,1,0.74
79,0.008703316073592596,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,0.9999325920100464,0.0089573838176674,0.4,0.6,0.6,0,1,0,1,0.2,0.2,0,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.9999679289833249,0.007373631495418912,1,0.4,0.4,1,0.73
6980,0.7689765340971687,0,0.6776429599989742,0,1,1,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.73
7375,0.8124931144651316,1,0,1,0.25,0.25,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,0.9999325920100464,0.0089573838176674,0.4,0,0,0,0.9999679289833249,0.007373631495418912,1,0.4,0.4,1,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.73
7890,0.8692299217803239,1,0,1,0.25,0.25,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.73
8165,0.8995262752010577,0.5242252929192458,0.5578291133000177,1,0,0,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,0.9999325920100464,0.0089573838176674,0.4,0,0,0,0.9999549211307613,0.013218441489720428,0.5,1,1,1,1,0,1,0.8,0.8,1,0.73
8625,0.9502038118321031,0,0.6776429599989742,0,1,1,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.73
864,0.09518563402005067,0,0.6776429599989742,0,1,1,0,0.9999679289833249,0.007373631495418912,1,0.2,0.2,0,0.9999549211307613,0.013218441489720428,0.5,1,1,0,0.9999691071326231,0.013010930634308804,0.5,0.6,0.6,1,0,1,0,0,0,0,0.72
1520,0.1674562079982373,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.72
2800,0.3084719621020161,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,0.9999325920100464,0.0089573838176674,0.4,0.6,0.6,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,0.9999549211307613,0.013218441489720428,0.5,1,1,1,1,0,1,0.8,0.8,1,0.72
3015,0.33215820204913515,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,0.9999325920100464,0.0089573838176674,0.4,0.6,0.6,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,1,0,1,0.8,0.8,1,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.72
3633,0.40024237082736586,0.5242252929192458,0.5578291133000177,1,0,0,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,0.9999325920100464,0.0089573838176674,0.4,0,0,0,1,0,1,0.8,0.8,1,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.72
6225,0.6857992728875179,0,0.6776429599989742,0,1,1,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.72
7647,0.8424589622121846,0,0.6776429599989742,0,1,1,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.72
30,0.003305056736807315,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,1,0,1,0,0,0,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.71
1620,0.17847306378759503,1,0,1,0.25,0.25,0,0.9999549211307613,0.013218441489720428,0.5,0.4,0.4,0,0.9999325920100464,0.0089573838176674,0.4,0,0,0,0.9999691071326231,0.013010930634308804,0.5,0.6,0.6,1,0.9999679289833249,0.007373631495418912,1,0.4,0.4,1,0.71
3159,0.3480224743858103,0.5242252929192458,0.5578291133000177,1,0,0,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,1,0,1,0.2,0.2,0,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.71
3392,0.3736917483750138,1,0,1,0.25,0.25,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.71
4566,0.5030296353420733,1,0,1,0.25,0.25,0,0.9999549211307613,0.013218441489720428,0.5,0.4,0.4,0,0.9999325920100464,0.0089573838176674,0.4,0,0,0,0.9999691071326231,0.013010930634308804,0.5,0.6,0.6,1,0.9999679289833249,0.007373631495418912,1,0.4,0.4,1,0.71
5997,0.6606808416877823,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.71
6058,0.6674011237192905,0.5242252929192458,0.5578291133000177,1,0,0,0,0.9999325920100464,0.0089573838176674,0.4,0.6,0.6,0,0.9999549211307613,0.013218441489720428,0.5,1,1,0,1,0,1,0.8,0.8,1,0.9999691071326231,0.013010930634308804,0.5,0.6,0.6,1,0.71
6248,0.6883331497190702,1,0,1,0.25,0.25,0,0.9999679289833249,0.007373631495418912,1,0.2,0.2,0,0.9999691071326231,0.013010930634308804,0.5,0.4,0.4,0,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.71
6939,0.764459623223532,0,0.6776429599989742,0,1,1,0,1,0,1,0,0,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,0,1,0,0,0,0,0,1,0,0,0,0,0.71
7124,0.7848408064338438,0.5242252929192458,0.5578291133000177,1,0,0,0,0.9999325920100464,0.0089573838176674,0.4,0.6,0.6,0,0.9999691071326231,0.013010930634308804,0.5,0.4,0.4,0,1,0,1,0.8,0.8,1,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.71
7192,0.792332268370607,0,0.6776429599989742,0,1,1,0,0.9999549211307613,0.013218441489720428,0.5,0.4,0.4,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,0,1,0,0,0,0,0,1,0,0,0,0,0.71
8259,0.9098821196430539,0.5242252929192458,0.5578291133000177,1,0,0,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,0.9999549211307613,0.013218441489720428,0.5,1,1,0,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,1,0,1,0.8,0.8,1,0.71
8477,0.9338988652638537,0.5242252929192458,0.5578291133000177,1,0,0,0,1,0,1,0,0,0,0.9999691071326231,0.013010930634308804,0.5,0.4,0.4,0,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.71
1625,0.1790239065770629,0.5242252929192458,0.5578291133000177,1,0,0,0,0.9999549211307613,0.013218441489720428,0.5,0.4,0.4,0,0.9999325920100464,0.0089573838176674,0.4,0,0,0,0.9999691071326231,0.013010930634308804,0.5,0.6,0.6,1,1,0,1,0.8,0.8,1,0.70
1684,0.18552385149278397,0.3312533236838615,1,0.16666666666666666,0.5,0.5,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,1,0,1,0.8,0.8,1,0.70
3255,0.3585986559435937,0,0.6776429599989742,0,1,1,0,0.9999549211307613,0.013218441489720428,0.5,0.4,0.4,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,0,1,0,0,0,0,0,1,0,0,0,0,0.70
3547,0.3907678748485182,0.5242252929192458,0.5578291133000177,1,0,0,0,0.9999325920100464,0.0089573838176674,0.4,0.6,0.6,0,1,0,1,0.2,0.2,0,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.9999691071326231,0.013010930634308804,0.5,0.6,0.6,1,0.70
5340,0.5883000991517021,0,0.6776429599989742,0,1,1,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.70
6237,0.6871212955822408,0.3312533236838615,1,0.16666666666666666,0.5,0.5,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,1,0,1,0.8,0.8,1,0.70
7213,0.7946458080863722,0,0.6776429599989742,0,1,1,0,0.9999679289833249,0.007373631495418912,1,0.2,0.2,0,0.9999691071326231,0.013010930634308804,0.5,0.4,0.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0.70
7725,0.8510521097278837,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.70
8277,0.9118651536851382,1,0,1,0.25,0.25,0,0.9999679289833249,0.007373631495418912,1,0.2,0.2,0,0.9999325920100464,0.0089573838176674,0.4,0,0,0,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.9999691071326231,0.013010930634308804,0.5,0.6,0.6,1,0.70
101,0.011127024347251295,0.5242252929192458,0.5578291133000177,1,0,0,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.69
190,0.020932025999779662,1,0,1,0.25,0.25,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.69
334,0.03679629833645478,0,0.6776429599989742,0,1,1,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.69
387,0.042635231904814365,0,0.6776429599989742,0,1,1,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.69
700,0.07711799052550403,0,0.6776429599989742,0,1,1,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.69
5679,0.6256472402776247,1,0,1,0.25,0.25,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.69
6143,0.6767654511402446,0.5242252929192458,0.5578291133000177,1,0,0,0,0.9999549211307613,0.013218441489720428,0.5,0.4,0.4,0,0.9999325920100464,0.0089573838176674,0.4,0,0,0,1,0,1,0.8,0.8,1,0.9999691071326231,0.013010930634308804,0.5,0.6,0.6,1,0.69
