id,month,day,hour,min,i_uiip,i_f,i_uiipu,score
30051,11,30,5,45,0,0,0,0.75
27951,11,8,8,45,0,0,0,0.73
26946,10,28,22,30,0,0,0,0.72
27517,11,3,20,15,-0.01,94.47,0.33,0.72
29867,11,28,7,45,216.83,0,401.8,0.70
13150,5,26,2,15,0,426.8,190.47,0.69
14348,6,7,13,45,0,0,0,0.69
13351,5,28,4,30,0,477.47,189.33,0.67
24976,10,8,10,0,237.32,0,216.73,0.67
28048,11,9,9,0,0.01,265.13,0.4,0.67
12288,5,17,2,45,0,427,77.33,0.66
13657,5,31,9,0,0,468.2,206.53,0.66
32708,12,27,22,0,-0.59,250.33,0.27,0.66
1151,1,12,23,45,421.1,224.8,3.27,0.65
7813,3,31,12,0,198.75,120,379.67,0.65
13043,5,24,23,30,196.75,527.73,254.8,0.65
13061,5,25,4,0,471.58,540.2,9.13,0.65
13350,5,28,4,15,0,480.73,190.07,0.65
23840,9,26,14,0,206.45,76.87,206.2,0.65
24975,10,8,9,45,235.19,0,215.07,0.65
13062,5,25,4,15,499.66,538.13,8.67,0.64
13450,5,29,5,15,438.95,548.67,7.93,0.64
27518,11,3,20,30,0.03,182.13,0.2,0.64
183,1,2,21,45,177.34,288.33,355.67,0.63
13349,5,28,4,0,0,484.27,190.07,0.63
13451,5,29,5,30,438.73,546.93,8.13,0.63
20724,8,12,23,45,534.57,294.13,180,0.63
24973,10,8,9,15,235.45,22,212.27,0.63
27516,11,3,20,0,0,248.27,0.33,0.63
31455,12,14,20,45,0,241.07,276.67,0.63
32707,12,27,21,45,0.03,250.33,0.33,0.63
1150,1,12,23,30,396.21,217,10.2,0.62
1439,1,15,23,45,0,226.47,280.4,0.62
1532,1,16,23,0,373.05,227.73,369.27,0.62
5269,3,4,22,0,133.86,183.27,375.6,0.62
7681,3,30,3,0,361.62,161.2,237.53,0.62
8149,4,4,0,0,0,218.33,191.53,0.62
24974,10,8,9,30,235.08,0,214.13,0.62
32699,12,27,19,45,0,253.33,0.33,0.62
3,1,1,0,45,171.88,248.13,271.47,0.61
7,1,1,1,45,159.33,240.4,350,0.61
1056,1,12,0,0,222.81,283.73,86.33,0.61
1441,1,16,0,15,0,266.93,315.8,0.61
2437,2,3,9,30,0,256.8,0,0.61
3013,2,9,10,0,85.8,97.67,86.73,0.61
4928,3,1,8,45,28.82,294.47,29.73,0.61
4929,3,1,9,0,25.97,294.07,26.6,0.61
4930,3,1,9,15,25.54,293.27,26.33,0.61
4985,3,1,23,0,389.36,239.27,376.8,0.61
7854,3,31,22,15,159.46,215.93,192.8,0.61
8150,4,4,0,15,0,220.67,304.4,0.61
8151,4,4,0,30,0,220.33,200.6,0.61
