month,day,hour,min,p_uiip,p_f,p_pu
1,1,0,0,18.5,32.12,51.04
1,1,0,15,18.61,32.39,51.23
1,1,0,30,18.5,32.19,51.03
1,1,0,45,18.65,32.48,51.59
1,1,1,0,18.73,32.97,52.38
1,1,1,15,18.61,32.97,52.31
1,1,1,30,18.66,32.93,52.52
1,1,1,45,18.5,33.14,53.16
1,1,2,0,18.22,33.32,53.36
1,1,2,15,18.18,33.48,53.47
1,1,2,30,18.3,33.52,53.54
1,1,2,45,18.18,33.69,53.61
1,1,3,0,18.29,33.82,53.69
1,1,3,15,18.15,33.89,53.76
1,1,3,30,18.14,33.86,53.69
1,1,3,45,18.04,33.91,53.78
1,1,4,0,18.16,34.03,54.04
1,1,4,15,18.22,34.15,54.1
1,1,4,30,18.24,34.39,54.24
1,1,4,45,18.18,34.44,54.23
1,1,5,0,18.16,34.48,54.29
1,1,5,15,18.18,34.58,54.4
1,1,5,30,18.2,34.23,54.12
1,1,5,45,18.23,34.47,54.28
1,1,6,0,18.63,34.33,54.18
1,1,6,15,19.5,34.31,54.16
1,1,6,30,19.67,34.18,53.84
1,1,6,45,19.58,33.54,52.07
1,1,7,0,19.5,33.24,51.73
1,1,7,15,19.76,33.18,51.49
1,1,7,30,19.46,33.2,51.54
1,1,7,45,20.62,33.2,51.43
1,1,8,0,20.57,33.12,51.17
1,1,8,15,20.64,32.52,50.59
1,1,8,30,20.47,32.35,50.58
1,1,8,45,20.65,32.15,50.44
1,1,9,0,19.84,31.94,50.21
1,1,9,15,20.43,31.72,49.62
1,1,9,30,20.65,31.57,49.78
1,1,9,45,20.67,31.33,49.36
1,1,10,0,20.71,30.24,48.04
1,1,10,15,20.71,30.33,48.07
1,1,10,30,20.69,30.04,47.77
1,1,10,45,20.7,30.21,47.87
1,1,11,0,20.71,30.29,48.02
1,1,11,15,20.72,30.39,48.35
1,1,11,30,20.65,30.34,48.1
1,1,11,45,20.67,30.39,48.24
1,1,12,0,20.67,30.49,48.2
1,1,12,15,20.8,30.71,48.35
1,1,12,30,20.65,30.92,48.74
1,1,12,45,20.76,30.44,48.1
1,1,13,0,20.69,30.92,48.82
1,1,13,15,20.7,30.67,48.68
1,1,13,30,20.7,31.22,49.16
1,1,13,45,20.77,31.33,49.41
1,1,14,0,20.49,31.35,49.33
1,1,14,15,20.77,31.53,49.63
1,1,14,30,20.54,31.53,49.73
1,1,14,45,20.74,31.75,49.84
1,1,15,0,20.73,31.56,49.74
1,1,15,15,20.53,31.43,49.57
1,1,15,30,20.86,31.69,49.93
1,1,15,45,20.85,31.74,49.73
1,1,16,0,20.65,31.74,49.86
1,1,16,15,20.67,31.36,49.58
1,1,16,30,20.56,31.7,49.7
1,1,16,45,20.6,31.49,49.66
1,1,17,0,20.61,31.44,49.56
1,1,17,15,20.62,31.37,49.59
1,1,17,30,20.56,31.46,49.5
1,1,17,45,20.75,31.51,49.65
1,1,18,0,20.9,31.33,49.57
1,1,18,15,20.64,31.44,49.47
1,1,18,30,20.48,31.69,49.7
1,1,18,45,20.74,31.41,49.32
1,1,19,0,20.67,31.37,49.31
