id,month,day,hour,min,p_uiip,p_f,p_pu,score
14348,6,7,13,45,0,0,0,0.84
26946,10,28,22,30,0,0,0,0.84
14341,6,7,12,0,8.34,32.33,17.22,0.82
27951,11,8,8,45,0,0,0,0.82
30051,11,30,5,45,0,0,0,0.82
27308,11,1,16,0,21.14,32.78,24.56,0.77
17097,7,6,5,0,31.2,32.92,36.73,0.73
29151,11,20,20,45,0.85,31.9,51.42,0.71
29152,11,20,21,0,0.78,32.15,51.84,0.70
29156,11,20,22,0,0.93,32.78,52.65,0.70
29153,11,20,21,15,0.68,32.34,52.29,0.69
29160,11,20,23,0,0.11,33.35,53.01,0.69
1178,1,13,6,30,20.11,26.37,44.67,0.68
20381,8,9,10,0,34.55,28.16,45.07,0.68
29157,11,20,22,15,0.2,33.02,52.74,0.68
29163,11,20,23,45,0.24,33.88,53.44,0.68
29164,11,21,0,0,1.22,33.81,53.48,0.68
14250,6,6,13,15,25.87,10.95,49.59,0.67
14251,6,6,13,30,25.63,19.65,50.02,0.67
14342,6,7,12,15,19.53,32.6,40.98,0.67
16022,6,25,0,15,6.27,32.81,50.36,0.67
29155,11,20,21,45,0.93,32.67,52.54,0.67
29159,11,20,22,45,0.07,33.37,52.95,0.67
30780,12,7,20,0,21.14,29.02,45.7,0.67
32369,12,24,9,15,18.54,26.76,44.12,0.67
