month_day_hour_min,i_f,p_f
0,253,32.12
1,249.93,32.39
2,251.67,32.19
3,248.13,32.48
4,242.07,32.97
5,242.27,32.97
6,242.73,32.93
7,240.4,33.14
8,237.93,33.32
9,235.93,33.48
10,235.73,33.52
11,233.93,33.69
12,232.27,33.82
13,231.47,33.89
14,231.53,33.86
15,230.87,33.91
16,229.53,34.03
17,258.73,34.15
18,257.93,34.39
19,257.67,34.44
20,256.53,34.48
21,255.93,34.58
22,259.93,34.23
23,254.47,34.47
24,258.13,34.33
25,258.53,34.31
26,260.47,34.18
27,267.73,33.54
28,271.53,33.24
29,271.8,33.18
30,271.93,33.2
31,271.2,33.2
32,261.2,33.12
33,225.33,32.52
34,228.07,32.35
35,230.47,32.15
36,234.33,31.94
37,237.13,31.72
38,239.53,31.57
39,242.47,31.33
40,257.13,30.24
41,255.07,30.33
42,259.4,30.04
43,256.8,30.21
44,256.2,30.29
45,253.93,30.39
46,255.07,30.34
47,254.27,30.39
48,253.2,30.49
49,249.8,30.71
50,246.53,30.92
51,253.27,30.44
52,247.2,30.92
53,250.47,30.67
54,243.13,31.22
55,241.8,31.33
56,241.47,31.35
57,239.4,31.53
58,239.27,31.53
59,236.2,31.75
60,238.8,31.56
61,240.8,31.43
62,237.47,31.69
63,237.4,31.74
64,237.6,31.74
65,242.53,31.36
66,237.73,31.7
67,240.93,31.49
68,241.8,31.44
69,242.67,31.37
70,241.4,31.46
71,240.67,31.51
72,243.4,31.33
73,242.2,31.44
74,267.87,31.69
75,276.2,31.41
76,276.33,31.37
77,273.4,31.43
78,273.8,31.5
79,276.07,31.33
80,275.73,31.32
81,276,31.32
82,261.87,31.18
83,252.8,31.74
84,250.53,31.92
85,249.4,32.01
86,248,32.07
87,252,31.78
88,247.07,32.21
89,249.07,32.05
90,241.2,32.62
91,242.6,32.56
92,240.4,32.71
93,240.27,32.73
94,238.93,32.81
95,235.87,33.11
96,231.4,33.38
97,232.13,33.39
98,230.33,33.51
