month_day_hour_min,i_f,p_f,truth
0,253,32.12,0
1,249.93,32.39,0
2,251.67,32.19,0
3,248.13,32.48,0
4,242.07,32.97,0
5,242.27,32.97,0
6,242.73,32.93,0
7,240.4,33.14,0
8,237.93,33.32,0
9,235.93,33.48,0
10,235.73,33.52,0
11,233.93,33.69,0
12,232.27,33.82,0
13,231.47,33.89,0
14,231.53,33.86,0
15,230.87,33.91,0
16,229.53,34.03,0
17,258.73,34.15,0
18,257.93,34.39,0
19,257.67,34.44,0
20,256.53,34.48,0
21,255.93,34.58,0
22,259.93,34.23,0
23,254.47,34.47,0
24,258.13,34.33,0
25,258.53,34.31,0
26,260.47,34.18,0
27,267.73,33.54,0
28,271.53,33.24,0
29,271.8,33.18,0
30,271.93,33.2,0
31,271.2,33.2,0
32,261.2,33.12,0
33,225.33,32.52,0
34,228.07,32.35,0
35,230.47,32.15,0
36,234.33,31.94,0
37,237.13,31.72,0
38,239.53,31.57,0
39,242.47,31.33,0
40,257.13,30.24,0
41,255.07,30.33,0
42,259.4,30.04,0
43,256.8,30.21,0
44,256.2,30.29,0
45,253.93,30.39,0
46,255.07,30.34,0
47,254.27,30.39,0
48,253.2,30.49,0
49,249.8,30.71,0
50,246.53,30.92,0
51,253.27,30.44,0
52,247.2,30.92,0
53,250.47,30.67,0
54,243.13,31.22,0
55,241.8,31.33,0
56,241.47,31.35,0
57,239.4,31.53,0
58,239.27,31.53,0
59,236.2,31.75,0
60,238.8,31.56,0
61,240.8,31.43,0
62,237.47,31.69,0
63,237.4,31.74,0
64,237.6,31.74,0
65,242.53,31.36,0
66,237.73,31.7,0
67,240.93,31.49,0
68,241.8,31.44,0
69,242.67,31.37,0
70,241.4,31.46,0
71,240.67,31.51,0
72,243.4,31.33,0
73,242.2,31.44,0
74,267.87,31.69,0
75,276.2,31.41,0
76,276.33,31.37,0
77,273.4,31.43,0
78,273.8,31.5,0
79,276.07,31.33,0
80,275.73,31.32,0
81,276,31.32,0
82,261.87,31.18,0
83,252.8,31.74,0
84,250.53,31.92,0
85,249.4,32.01,0
86,248,32.07,0
87,252,31.78,0
88,247.07,32.21,0
89,249.07,32.05,0
90,241.2,32.62,0
91,242.6,32.56,0
92,240.4,32.71,0
93,240.27,32.73,0
94,238.93,32.81,0
95,235.87,33.11,0
96,231.4,33.38,0
97,232.13,33.39,0
98,230.33,33.51,0
99,227,33.73,0
100,230.2,33.59,0
101,225.73,33.9,0
102,226.87,33.88,0
103,226.87,33.95,0
104,242.4,34.07,0
105,240.13,34.24,0
106,238.73,34.36,0
107,240.27,34.24,0
108,242.4,34.09,0
109,237.07,34.48,0
110,236.6,34.54,0
111,237.73,34.48,0
112,237.67,34.44,0
113,249.33,34.18,0
114,266.27,33.78,0
115,265.73,33.78,0
116,263.47,33.95,0
117,264.8,33.83,0
118,271.47,33.24,0
119,261.93,33.79,0
120,263.87,33.46,0
121,268.27,33.46,0
122,271.47,33.2,0
123,269.13,33.35,0
124,272.87,33.05,0
125,220,33.28,0
126,199.6,33.03,0
127,202.73,32.82,0
128,211.4,32.31,0
129,214.93,32.07,0
130,222.07,31.64,0
131,223.67,31.55,0
132,230.2,31.1,0
133,242.53,30.21,0
134,244.73,30.05,0
135,245.33,29.99,0
136,247.87,29.79,0
137,246.73,29.86,0
138,246.73,29.87,0
139,245.53,29.93,0
140,243.27,30.16,0
141,239.73,30.37,0
142,239.4,30.4,0
143,240,30.5,0
144,260.53,30.54,0
145,257.73,30.76,0
146,263.13,30.33,0
147,259.67,30.61,0
148,258.47,30.7,0
149,256.6,30.82,0
150,257.13,30.77,0
151,255.13,30.93,0
152,251.87,31.24,0
153,258.8,31.33,0
154,268.8,31.24,0
155,266.27,31.41,0
156,267.53,31.29,0
157,266.33,31.38,0
158,264.2,31.48,0
159,263.8,31.53,0
160,264.13,31.5,0
161,263.53,31.52,0
162,265.4,31.39,0
163,264.2,31.48,0
164,266.47,31.29,0
165,260.13,31.64,0
166,243.13,31.33,0
167,241.87,31.39,0
168,239.2,31.6,0
169,235.73,31.81,0
170,238.13,31.69,0
171,240.87,31.54,0
172,238.2,31.69,0
173,238.47,31.53,0
174,236.8,31.5,0
175,239.93,31.56,0
176,240.4,31.53,0
177,238.4,31.71,0
178,239.87,31.6,0
179,238.87,31.69,0
180,276.13,32.26,0
181,287.8,32.22,0
182,285.53,32.44,0
183,288.33,32.19,0
184,282.13,32.65,0
185,282.73,32.56,0
186,279.07,32.84,0
187,277.87,32.94,0
188,276.8,32.99,0
189,275.73,33.05,0
190,271.8,33.32,0
191,267.13,33.71,0
192,270.87,33.44,0
193,265.67,33.8,0
194,267.67,33.65,0
195,231.53,33.22,0
196,239,33.16,0
197,239.67,33.12,0
198,236.67,33.37,0
199,238.87,33.24,0
200,236.4,33.41,0
201,239.73,33.22,0
202,239.13,33.24,0
203,237.33,33.39,0
204,237.13,33.4,0
205,237.33,33.4,0
206,234.27,33.65,0
207,231.4,33.88,0
208,234.07,33.7,0
209,231.2,33.91,0
210,239.4,33.77,0
211,243.27,33.82,0
212,240.27,34.02,0
213,238.6,34.16,0
214,243.8,33.8,0
215,240.53,33.73,0
216,239.8,33.7,0
