month_day_hour_min,n_p,i_uiip,p_uiip
0,0.109,196.56,18.5
1,0.11,182.76,18.61
2,0.11,194.23,18.5
3,0.11,171.88,18.65
4,0.109,178.46,18.73
5,0.11,153.45,18.61
6,0.109,160.81,18.66
7,0.11,159.33,18.5
8,0.11,151.02,18.22
9,0.11,140.03,18.18
10,0.11,146.49,18.3
11,0.11,143.2,18.18
12,0.109,136.35,18.29
13,0.109,129.39,18.15
14,0.11,124.68,18.14
15,0.109,130.73,18.04
16,0.109,138.08,18.16
17,0.109,147.58,18.22
18,0.109,131.02,18.24
19,0.11,125.07,18.18
20,0.11,128.3,18.16
21,0.11,123.35,18.18
22,0.109,120.56,18.2
23,0.109,123.6,18.23
24,0.109,135.43,18.63
25,0.107,134.2,19.5
26,0.106,117.87,19.67
27,0.106,120.14,19.58
28,0.109,138.55,19.5
29,0.109,124.55,19.76
30,0.11,141.79,19.46
31,0.109,174.91,20.62
32,0.108,180.4,20.57
33,0.11,193.92,20.64
34,0.109,211.47,20.47
35,0.107,208.69,20.65
36,0.109,226.56,19.84
37,0.109,237.04,20.43
38,0.108,238.06,20.65
39,0.109,265.38,20.67
40,0.11,246.45,20.71
41,0.109,254.33,20.71
42,0.11,254.88,20.69
43,0.109,271.95,20.7
44,0.106,263.69,20.71
45,0.107,259.91,20.72
46,0.109,241.56,20.65
47,0.107,250.38,20.67
48,0.109,257,20.67
49,0.109,267.64,20.8
50,0.11,230.01,20.65
51,0.109,226.61,20.76
52,0.108,222.46,20.69
53,0.109,220.44,20.7
54,0.106,219.92,20.7
55,0.107,228.33,20.77
56,0.108,210.7,20.49
57,0.107,223.9,20.77
58,0.107,223.54,20.54
59,0.11,208.89,20.74
60,0.109,197.23,20.73
61,0.109,185.06,20.53
62,0.108,196.2,20.86
63,0.107,184.05,20.85
64,0.109,172.21,20.65
65,0.108,183.42,20.67
66,0.109,182.95,20.56
67,0.109,177.8,20.6
68,0.109,189.91,20.61
69,0.108,173.41,20.62
70,0.107,192.07,20.56
71,0.108,196.6,20.75
72,0.108,174.11,20.9
73,0.109,183.59,20.64
74,0.11,184.65,20.48
75,0.109,178.26,20.74
76,0.107,173.12,20.67
77,0.109,180.69,21.35
78,0.11,185.65,21.5
79,0.105,184.12,21.77
80,0.107,177.16,21.76
81,0.109,178.75,21.62
82,0.105,164.44,21.67
83,0.106,162.86,21.68
84,0.108,196.79,21.8
85,0.108,186.74,22.05
86,0.107,183.86,22.16
87,0.107,189.08,22.29
88,0.108,172.92,22.01
89,0.108,191.61,22.11
90,0.107,183.29,22.1
91,0.107,156.01,21.49
92,0.103,151.21,18.7
93,0.105,162.11,18.66
94,0.109,147.63,18.44
95,0.105,141.96,18.18
96,0.107,154.47,17.96
97,0.109,151.18,18.01
98,0.109,124.51,18.23
99,0.109,126.15,18.12
100,0.109,121.44,18.15
101,0.109,129.15,18.12
102,0.108,125.45,18.12
103,0.105,108.25,18.16
104,0.107,114.32,18.16
105,0.105,120.46,18.13
106,0.107,129.17,18.12
107,0.105,133.06,18.07
108,0.105,123.81,18.16
109,0.103,117.2,18.04
110,0.106,118.1,18.1
111,0.106,103.49,18.2
112,0.103,117.47,17.91
113,0.103,123.3,18.17
114,0.105,116.1,18.12
115,0.109,104.56,18.12
116,0.108,114.12,18.13
117,0.107,110.28,18.07
118,0.107,112.55,18.05
119,0.108,122.18,18.99
120,0.105,155.08,20.65
121,0.108,149.01,20.69
122,0.105,132.72,20.59
123,0.106,123.99,20.67
124,0.107,146.48,20.45
125,0.104,159.65,20.48
126,0.104,185.12,20.48
127,0.105,215.27,20.54
128,0.101,223.2,20.46
129,0.101,225.32,19.57
130,0.102,234.84,20.46
131,0.1,258.71,20.67
132,0.101,277.96,20.61
133,0.102,285.47,20.65
134,0.101,281.63,20.68
135,0.101,272.34,20.64
136,0.101,275.56,20.69
137,0.102,265.94,20.67
138,0.1,259.49,20.67
139,0.1,249.22,20.71
140,0.1,261.53,20.65
141,0.102,241.84,20.69
142,0.101,252.22,20.75
143,0.101,251.37,20.62
144,0.101,237.16,20.73
145,0.1,227.28,20.71
146,0.103,226.57,20.76
147,0.101,224.65,20.68
148,0.101,210.21,20.63
149,0.101,226.43,20.63
150,0.101,220,20.66
151,0.103,217.63,20.72
152,0.101,220.49,20.71
153,0.102,218.73,20.67
154,0.101,208.88,20.64
155,0.101,206.39,20.76
156,0.101,215.67,20.72
157,0.101,191.12,20.56
158,0.101,192.39,20.72
159,0.102,190.52,20.89
160,0.1,173.53,20.78
161,0.103,169.57,20.69
162,0.101,185.35,20.81
163,0.1,179.25,20.67
164,0.1,180.09,20.67
165,0.102,169.54,20.73
166,0.102,185.33,20.54
167,0.1,183.56,20.59
168,0.101,207.77,20.67
169,0.101,202.51,21.62
170,0.103,171.82,21.59
171,0.1,191.64,21.52
172,0.101,183.68,21.67
173,0.104,187.56,21.49
174,0.103,178.72,21.73
175,0.106,183.8,21.76
176,0.105,184.4,21.47
177,0.104,186.06,21.77
178,0.107,174.3,21.76
179,0.107,179.1,21.88
180,0.105,191.49,21.54
181,0.104,185.55,21.73
182,0.103,185.35,21.89
183,0.106,177.34,21.45
184,0.105,187.79,21.74
185,0.103,183.85,21.67
186,0.102,176.83,21.9
187,0.103,157.68,18.95
188,0.103,162.17,18.07
189,0.105,166.81,18.1
190,0.107,160.2,17.98
191,0.106,157.89,18.08
192,0.105,196.12,17.96
193,0.105,211.96,18.08
194,0.105,203.28,18.19
195,0.105,192.91,18.01
196,0.104,195.09,18.07
197,0.101,174.16,18.2
198,0.103,183.51,18.12
199,0.101,183.17,18.14
200,0.104,192.24,18.1
201,0.101,174.58,17.9
202,0.104,175.44,18.05
203,0.1,161.63,18.18
204,0.101,163.17,17.95
205,0.101,180.54,18.17
206,0.103,159.61,18.05
207,0.102,163.25,18.12
208,0.104,182.41,18.09
209,0.101,192.51,18.19
210,0.101,175,18.19
211,0.1,173.88,17.95
212,0.1,162.85,18.16
213,0.101,158.64,18.06
214,0.1,156.6,18.22
215,0.101,180.71,19.03
216,0.101,198.64,21.27
217,0.101,201.47,21.27
218,0.101,200.08,21.15
219,0.1,206.25,21.22
220,0.1,195.65,21.22
221,0.101,205.34,21.52
222,0.101,220.49,21.75
223,0.101,258.03,20.46
224,0.1,252.49,21.78
225,0.101,252.28,21.98
226,0.1,238.45,21.95
227,0.102,247.81,21.76
228,0.1,283.57,22.03
229,0.1,263.47,22
230,0.1,264.94,21.98
231,0.101,263.92,22
232,0.1,284.62,21.97
233,0.1,276.63,21.93
234,0.101,274.25,22.06
235,0.1,271.83,22
236,0.1,243.53,22.07
237,0.1,248.47,21.98
238,0.1,245.56,21.95
239,0.101,251.32,22.27
240,0.101,222.32,22.25
241,0.101,213.06,22.15
242,0.101,238.65,21.8
243,0.101,222.53,21.77
244,0.101,220.61,21.62
245,0.102,218.32,21.21
246,0.1,208.07,21.28
247,0.102,199.07,21.18
248,0.101,213.27,21.12
249,0.101,207.24,21.29
250,0.1,196.73,21.39
251,0.1,195.44,21.26
252,0.101,191.78,21.18
253,0.1,184.34,21.13
254,0.101,182.69,20.9
255,0.1,176.72,20.1
256,0.1,170.98,20.37
257,0.1,173.35,20.24
258,0.1,190.52,20.1
259,0.101,170.5,20.28
260,0.101,174.41,20.29
261,0.1,178.82,20.29
262,0.101,178.78,20.1
263,0.1,167.5,20.26
264,0.101,177.5,20.01
265,0.101,184.95,20.14
266,0.1,176.7,20.1
267,0.1,180.38,20.24
268,0.1,175.64,20.24
269,0.1,192.7,20
270,0.101,200.96,20.14
271,0.1,197.07,20.26
272,0.1,192.89,20.24
273,0.101,195.26,19.8
274,0.1,203.78,19.92
275,0.1,176.62,20.2
276,0.101,181.37,20.05
277,0.103,185.74,20.29
278,0.101,174.27,20.1
279,0.101,168.37,20.14
280,0.101,186.89,20.38
281,0.101,188.06,20.19
282,0.1,185.04,20.23
283,0.1,176.78,20.2
284,0.1,147.95,16.71
285,0.1,150.5,16.55
