id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
0,n_p,0.109,month_day_hour_min,0,0.56,0.56,0.55,0.58,0.62,0.51,0.58,0.61,0.61,0.61,0.57,0.58,0.56,0.52,0.59,0.58,0.56,0.53,0.60,0.58,0.60,0.54,0.58,0.62,0.58,14.38,0.58,false,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.20,true
1,n_p,0.11,month_day_hour_min,1,0.61,0.51,0.55,0.55,0.60,0.51,0.58,0.58,0.59,0.57,0.59,0.55,0.54,0.53,0.53,0.59,0.54,0.49,0.57,0.52,0.58,0.56,0.58,0.58,0.57,13.97,0.56,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,true
2,n_p,0.11,month_day_hour_min,2,0.59,0.53,0.54,0.57,0.63,0.51,0.60,0.61,0.63,0.59,0.59,0.55,0.57,0.51,0.57,0.62,0.58,0.53,0.61,0.57,0.60,0.55,0.58,0.59,0.59,14.41,0.58,false,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.20,true
3,n_p,0.11,month_day_hour_min,3,0.59,0.51,0.53,0.54,0.55,0.53,0.54,0.56,0.56,0.53,0.59,0.53,0.53,0.52,0.56,0.56,0.55,0.49,0.54,0.52,0.55,0.54,0.55,0.57,0.54,13.58,0.54,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
4,n_p,0.109,month_day_hour_min,4,0.57,0.52,0.50,0.52,0.55,0.53,0.59,0.57,0.54,0.55,0.56,0.53,0.55,0.52,0.55,0.54,0.52,0.49,0.53,0.53,0.57,0.52,0.55,0.57,0.56,13.53,0.54,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
5,n_p,0.11,month_day_hour_min,5,0.56,0.51,0.52,0.53,0.54,0.50,0.55,0.55,0.54,0.53,0.58,0.51,0.51,0.54,0.55,0.56,0.53,0.48,0.53,0.49,0.54,0.53,0.57,0.55,0.54,13.34,0.53,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
6,n_p,0.109,month_day_hour_min,6,0.55,0.52,0.49,0.51,0.53,0.50,0.54,0.54,0.52,0.53,0.57,0.49,0.52,0.48,0.55,0.52,0.49,0.49,0.48,0.54,0.53,0.50,0.57,0.51,0.53,13.00,0.52,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
7,n_p,0.11,month_day_hour_min,7,0.54,0.51,0.52,0.53,0.57,0.51,0.56,0.57,0.57,0.54,0.58,0.51,0.53,0.51,0.57,0.55,0.53,0.49,0.54,0.52,0.54,0.52,0.56,0.53,0.54,13.44,0.54,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
8,n_p,0.11,month_day_hour_min,8,0.54,0.51,0.54,0.52,0.56,0.51,0.53,0.55,0.53,0.55,0.60,0.50,0.52,0.54,0.54,0.54,0.52,0.48,0.52,0.52,0.53,0.53,0.56,0.53,0.53,13.30,0.53,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
9,n_p,0.11,month_day_hour_min,9,0.53,0.50,0.56,0.52,0.55,0.51,0.49,0.53,0.53,0.52,0.56,0.48,0.52,0.53,0.51,0.48,0.50,0.48,0.51,0.51,0.52,0.53,0.55,0.55,0.51,12.98,0.52,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
10,n_p,0.11,month_day_hour_min,10,0.53,0.53,0.54,0.52,0.55,0.51,0.50,0.54,0.53,0.56,0.56,0.51,0.53,0.52,0.54,0.52,0.51,0.48,0.50,0.51,0.54,0.51,0.54,0.52,0.54,13.14,0.53,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
11,n_p,0.11,month_day_hour_min,11,0.52,0.50,0.54,0.52,0.54,0.50,0.49,0.53,0.53,0.52,0.55,0.48,0.51,0.52,0.51,0.48,0.50,0.47,0.51,0.50,0.53,0.51,0.53,0.54,0.52,12.85,0.51,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
12,n_p,0.109,month_day_hour_min,12,0.50,0.50,0.53,0.51,0.51,0.49,0.47,0.53,0.51,0.54,0.52,0.46,0.48,0.48,0.51,0.46,0.49,0.48,0.47,0.50,0.50,0.48,0.51,0.50,0.48,12.41,0.50,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
