month_day_hour_min;n_p;i_uiip;p_uiip;truth
0;0.109;196.56;18.5;0
1;0.11;182.76;18.61;0
2;0.11;194.23;18.5;0
3;0.11;171.88;18.65;0
4;0.109;178.46;18.73;0
5;0.11;153.45;18.61;0
6;0.109;160.81;18.66;0
7;0.11;159.33;18.5;0
8;0.11;151.02;18.22;0
9;0.11;140.03;18.18;0
10;0.11;146.49;18.3;0
11;0.11;143.2;18.18;0
12;0.109;136.35;18.29;0
13;0.109;129.39;18.15;0
14;0.11;124.68;18.14;0
15;0.109;130.73;18.04;0
16;0.109;138.08;18.16;0
17;0.109;147.58;18.22;0
18;0.109;131.02;18.24;0
19;0.11;125.07;18.18;0
20;0.11;128.3;18.16;0
21;0.11;123.35;18.18;0
22;0.109;120.56;18.2;0
23;0.109;123.6;18.23;0
24;0.109;135.43;18.63;0
25;0.107;134.2;19.5;0
26;0.106;117.87;19.67;0
27;0.106;120.14;19.58;0
28;0.109;138.55;19.5;0
29;0.109;124.55;19.76;0
30;0.11;141.79;19.46;0
31;0.109;174.91;20.62;0
32;0.108;180.4;20.57;0
33;0.11;193.92;20.64;0
34;0.109;211.47;20.47;0
35;0.107;208.69;20.65;0
36;0.109;226.56;19.84;0
37;0.109;237.04;20.43;0
38;0.108;238.06;20.65;0
39;0.109;265.38;20.67;0
40;0.11;246.45;20.71;0
41;0.109;254.33;20.71;0
42;0.11;254.88;20.69;0
43;0.109;271.95;20.7;0
44;0.106;263.69;20.71;0
45;0.107;259.91;20.72;0
46;0.109;241.56;20.65;0
47;0.107;250.38;20.67;0
48;0.109;257;20.67;0
49;0.109;267.64;20.8;0
50;0.11;230.01;20.65;0
51;0.109;226.61;20.76;0
52;0.108;222.46;20.69;0
53;0.109;220.44;20.7;0
54;0.106;219.92;20.7;0
55;0.107;228.33;20.77;0
56;0.108;210.7;20.49;0
57;0.107;223.9;20.77;0
58;0.107;223.54;20.54;0
59;0.11;208.89;20.74;0
60;0.109;197.23;20.73;0
61;0.109;185.06;20.53;0
62;0.108;196.2;20.86;0
63;0.107;184.05;20.85;0
64;0.109;172.21;20.65;0
65;0.108;183.42;20.67;0
66;0.109;182.95;20.56;0
67;0.109;177.8;20.6;0
68;0.109;189.91;20.61;0
69;0.108;173.41;20.62;0
70;0.107;192.07;20.56;0
71;0.108;196.6;20.75;0
72;0.108;174.11;20.9;0
73;0.109;183.59;20.64;0
74;0.11;184.65;20.48;0
75;0.109;178.26;20.74;0
76;0.107;173.12;20.67;0
77;0.109;180.69;21.35;0
78;0.11;185.65;21.5;0
79;0.105;184.12;21.77;0
80;0.107;177.16;21.76;0
81;0.109;178.75;21.62;0
82;0.105;164.44;21.67;0
83;0.106;162.86;21.68;0
84;0.108;196.79;21.8;0
85;0.108;186.74;22.05;0
86;0.107;183.86;22.16;0
87;0.107;189.08;22.29;0
88;0.108;172.92;22.01;0
89;0.108;191.61;22.11;0
90;0.107;183.29;22.1;0
91;0.107;156.01;21.49;0
92;0.103;151.21;18.7;0
93;0.105;162.11;18.66;0
94;0.109;147.63;18.44;0
95;0.105;141.96;18.18;0
96;0.107;154.47;17.96;0
97;0.109;151.18;18.01;0
98;0.109;124.51;18.23;0
99;0.109;126.15;18.12;0
100;0.109;121.44;18.15;0
101;0.109;129.15;18.12;0
102;0.108;125.45;18.12;0
103;0.105;108.25;18.16;0
104;0.107;114.32;18.16;0
105;0.105;120.46;18.13;0
106;0.107;129.17;18.12;0
107;0.105;133.06;18.07;0
108;0.105;123.81;18.16;0
109;0.103;117.2;18.04;0
110;0.106;118.1;18.1;0
111;0.106;103.49;18.2;0
112;0.103;117.47;17.91;0
113;0.103;123.3;18.17;0
114;0.105;116.1;18.12;0
115;0.109;104.56;18.12;0
116;0.108;114.12;18.13;0
117;0.107;110.28;18.07;0
118;0.107;112.55;18.05;0
119;0.108;122.18;18.99;0
