id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
0,i_uiip,196.56,month_day_hour_min,0,0.58,0.57,0.52,0.48,0.48,0.57,0.46,0.50,0.49,0.50,0.53,0.55,0.47,0.55,0.48,0.51,0.53,0.50,0.52,0.52,0.57,0.44,0.53,0.54,0.51,12.90,0.52,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
1,i_uiip,182.76,month_day_hour_min,1,0.54,0.56,0.54,0.46,0.46,0.51,0.45,0.50,0.47,0.46,0.53,0.54,0.48,0.53,0.48,0.51,0.50,0.50,0.52,0.52,0.55,0.42,0.51,0.55,0.50,12.59,0.50,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
2,i_uiip,194.23,month_day_hour_min,2,0.58,0.57,0.52,0.48,0.47,0.55,0.46,0.50,0.48,0.48,0.50,0.52,0.47,0.52,0.46,0.49,0.52,0.50,0.51,0.52,0.56,0.43,0.54,0.54,0.51,12.68,0.51,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
3,i_uiip,171.88,month_day_hour_min,3,0.51,0.58,0.56,0.45,0.46,0.50,0.48,0.50,0.48,0.47,0.49,0.52,0.48,0.56,0.47,0.48,0.53,0.53,0.52,0.56,0.56,0.42,0.49,0.54,0.52,12.66,0.51,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
4,i_uiip,178.46,month_day_hour_min,4,0.55,0.56,0.56,0.46,0.47,0.47,0.45,0.49,0.47,0.44,0.53,0.47,0.45,0.48,0.47,0.48,0.50,0.54,0.47,0.54,0.52,0.41,0.47,0.53,0.45,12.23,0.49,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
5,i_uiip,153.45,month_day_hour_min,5,0.51,0.57,0.57,0.48,0.49,0.47,0.44,0.50,0.46,0.46,0.48,0.48,0.44,0.51,0.50,0.50,0.50,0.50,0.48,0.52,0.53,0.43,0.49,0.55,0.47,12.33,0.49,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
6,i_uiip,160.81,month_day_hour_min,6,0.50,0.59,0.56,0.48,0.46,0.47,0.44,0.51,0.47,0.45,0.48,0.47,0.45,0.50,0.47,0.48,0.51,0.49,0.50,0.51,0.51,0.44,0.49,0.55,0.47,12.25,0.49,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
7,i_uiip,159.33,month_day_hour_min,7,0.48,0.48,0.54,0.48,0.45,0.45,0.41,0.48,0.45,0.46,0.46,0.46,0.45,0.51,0.45,0.49,0.53,0.45,0.49,0.51,0.49,0.42,0.47,0.52,0.48,11.86,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
8,i_uiip,151.02,month_day_hour_min,8,0.50,0.47,0.53,0.45,0.46,0.45,0.41,0.47,0.45,0.48,0.48,0.45,0.44,0.49,0.45,0.46,0.49,0.43,0.46,0.46,0.46,0.42,0.46,0.49,0.45,11.56,0.46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
9,i_uiip,140.03,month_day_hour_min,9,0.52,0.49,0.50,0.47,0.44,0.46,0.43,0.46,0.47,0.46,0.49,0.43,0.45,0.50,0.45,0.45,0.49,0.45,0.48,0.45,0.47,0.44,0.47,0.52,0.44,11.68,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
10,i_uiip,146.49,month_day_hour_min,10,0.48,0.48,0.51,0.42,0.44,0.47,0.41,0.45,0.46,0.45,0.47,0.43,0.42,0.51,0.44,0.44,0.46,0.43,0.48,0.46,0.45,0.41,0.46,0.50,0.43,11.36,0.45,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
11,i_uiip,143.2,month_day_hour_min,11,0.53,0.47,0.50,0.44,0.44,0.47,0.42,0.46,0.48,0.47,0.45,0.47,0.46,0.48,0.44,0.44,0.46,0.44,0.49,0.45,0.46,0.41,0.47,0.52,0.42,11.54,0.46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
12,i_uiip,136.35,month_day_hour_min,12,0.53,0.51,0.52,0.46,0.45,0.48,0.42,0.46,0.47,0.47,0.47,0.46,0.47,0.49,0.48,0.46,0.51,0.46,0.48,0.46,0.45,0.43,0.48,0.52,0.44,11.83,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
13,i_uiip,129.39,month_day_hour_min,13,0.52,0.50,0.52,0.47,0.46,0.48,0.43,0.47,0.50,0.51,0.48,0.46,0.48,0.47,0.46,0.48,0.51,0.46,0.49,0.46,0.46,0.44,0.48,0.51,0.46,11.96,0.48,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
14,i_uiip,124.68,month_day_hour_min,14,0.53,0.53,0.52,0.48,0.47,0.47,0.43,0.51,0.51,0.50,0.48,0.47,0.48,0.48,0.46,0.49,0.54,0.47,0.50,0.46,0.50,0.44,0.48,0.52,0.48,12.20,0.49,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
15,i_uiip,130.73,month_day_hour_min,15,0.52,0.51,0.52,0.45,0.47,0.48,0.43,0.46,0.50,0.51,0.48,0.45,0.48,0.45,0.47,0.48,0.51,0.46,0.47,0.46,0.47,0.44,0.49,0.51,0.47,11.94,0.48,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
16,i_uiip,138.08,month_day_hour_min,16,0.53,0.52,0.55,0.47,0.49,0.47,0.45,0.48,0.51,0.51,0.51,0.46,0.48,0.47,0.47,0.45,0.51,0.49,0.48,0.47,0.48,0.42,0.51,0.53,0.47,12.18,0.49,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
17,i_uiip,147.58,month_day_hour_min,17,0.51,0.47,0.52,0.48,0.44,0.47,0.44,0.47,0.45,0.53,0.47,0.46,0.44,0.47,0.50,0.48,0.50,0.47,0.49,0.53,0.52,0.42,0.47,0.52,0.49,12.01,0.48,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
18,i_uiip,131.02,month_day_hour_min,18,0.48,0.46,0.51,0.44,0.43,0.43,0.43,0.45,0.45,0.48,0.45,0.47,0.43,0.45,0.48,0.50,0.48,0.47,0.46,0.49,0.50,0.41,0.46,0.50,0.48,11.59,0.46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
19,i_uiip,125.07,month_day_hour_min,19,0.49,0.48,0.49,0.46,0.43,0.44,0.44,0.46,0.44,0.48,0.49,0.46,0.43,0.45,0.47,0.47,0.50,0.48,0.46,0.45,0.51,0.42,0.47,0.49,0.47,11.63,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
20,i_uiip,128.3,month_day_hour_min,20,0.47,0.48,0.49,0.45,0.44,0.44,0.43,0.44,0.43,0.47,0.46,0.47,0.43,0.46,0.46,0.48,0.48,0.47,0.45,0.46,0.49,0.42,0.47,0.49,0.47,11.50,0.46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
21,i_uiip,123.35,month_day_hour_min,21,0.50,0.50,0.50,0.47,0.45,0.46,0.45,0.49,0.44,0.51,0.47,0.46,0.45,0.46,0.47,0.49,0.53,0.50,0.47,0.46,0.51,0.43,0.49,0.51,0.48,11.95,0.48,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
22,i_uiip,120.56,month_day_hour_min,22,0.50,0.49,0.49,0.47,0.46,0.47,0.44,0.50,0.46,0.52,0.50,0.48,0.48,0.44,0.51,0.51,0.53,0.51,0.48,0.48,0.57,0.44,0.49,0.50,0.50,12.22,0.49,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
23,i_uiip,123.6,month_day_hour_min,23,0.49,0.48,0.48,0.47,0.45,0.45,0.45,0.51,0.45,0.48,0.49,0.46,0.46,0.45,0.47,0.49,0.52,0.51,0.48,0.48,0.53,0.42,0.49,0.54,0.49,11.99,0.48,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
24,i_uiip,135.43,month_day_hour_min,24,0.49,0.46,0.49,0.45,0.42,0.45,0.43,0.46,0.47,0.50,0.47,0.46,0.44,0.46,0.47,0.46,0.49,0.48,0.48,0.50,0.49,0.41,0.45,0.51,0.48,11.67,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
25,i_uiip,134.2,month_day_hour_min,25,0.49,0.43,0.51,0.45,0.43,0.45,0.43,0.45,0.45,0.50,0.47,0.47,0.45,0.46,0.48,0.48,0.51,0.50,0.48,0.52,0.50,0.41,0.46,0.51,0.49,11.78,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
26,i_uiip,117.87,month_day_hour_min,26,0.61,0.60,0.55,0.51,0.55,0.52,0.49,0.56,0.53,0.57,0.52,0.55,0.53,0.51,0.53,0.55,0.58,0.59,0.55,0.55,0.58,0.54,0.52,0.57,0.54,13.70,0.55,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,true
27,i_uiip,120.14,month_day_hour_min,27,0.55,0.64,0.58,0.60,0.55,0.55,0.54,0.59,0.49,0.52,0.56,0.57,0.57,0.52,0.59,0.58,0.64,0.57,0.53,0.53,0.62,0.56,0.57,0.59,0.53,14.14,0.57,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.12,true
