id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
0,,,month_day_hour_min,0,0.56,0.58,0.59,0.59,0.61,0.56,0.61,0.58,0.61,0.60,0.59,0.57,0.57,0.59,0.62,0.58,0.58,0.59,0.59,0.57,0.56,0.59,0.59,0.57,0.59,14.64,0.59,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
1,,,month_day_hour_min,1,0.63,0.61,0.57,0.61,0.59,0.57,0.61,0.61,0.61,0.57,0.59,0.59,0.59,0.61,0.62,0.58,0.59,0.57,0.61,0.58,0.58,0.60,0.60,0.58,0.59,14.86,0.59,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
2,,,month_day_hour_min,2,0.60,0.59,0.55,0.56,0.58,0.55,0.59,0.61,0.59,0.56,0.57,0.56,0.57,0.58,0.59,0.56,0.57,0.55,0.59,0.57,0.57,0.59,0.57,0.56,0.56,14.34,0.57,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
3,,,month_day_hour_min,3,0.61,0.56,0.54,0.54,0.57,0.55,0.58,0.60,0.58,0.56,0.57,0.56,0.57,0.58,0.58,0.56,0.56,0.55,0.58,0.56,0.56,0.58,0.56,0.56,0.55,14.17,0.57,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
4,,,month_day_hour_min,4,0.55,0.59,0.53,0.56,0.59,0.53,0.58,0.56,0.57,0.56,0.56,0.56,0.55,0.55,0.57,0.54,0.55,0.55,0.56,0.55,0.55,0.56,0.55,0.54,0.54,13.90,0.56,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
5,,,month_day_hour_min,5,0.54,0.56,0.56,0.53,0.56,0.56,0.57,0.57,0.58,0.55,0.57,0.56,0.57,0.57,0.58,0.55,0.56,0.55,0.58,0.55,0.56,0.57,0.56,0.55,0.55,14.01,0.56,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
6,,,month_day_hour_min,6,0.56,0.56,0.54,0.55,0.57,0.53,0.58,0.55,0.55,0.58,0.55,0.54,0.56,0.55,0.57,0.54,0.55,0.55,0.56,0.55,0.55,0.54,0.54,0.54,0.54,13.80,0.55,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
7,,,month_day_hour_min,7,0.52,0.53,0.54,0.54,0.55,0.56,0.57,0.56,0.56,0.55,0.55,0.54,0.55,0.57,0.58,0.55,0.55,0.56,0.58,0.54,0.56,0.56,0.55,0.55,0.54,13.81,0.55,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
8,,,month_day_hour_min,8,0.50,0.52,0.56,0.54,0.56,0.54,0.57,0.56,0.55,0.54,0.55,0.54,0.54,0.56,0.59,0.55,0.55,0.55,0.57,0.53,0.54,0.55,0.55,0.54,0.54,13.69,0.55,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
9,,,month_day_hour_min,9,0.53,0.53,0.54,0.53,0.56,0.53,0.56,0.55,0.55,0.54,0.54,0.53,0.54,0.55,0.57,0.53,0.55,0.55,0.57,0.53,0.54,0.54,0.55,0.54,0.53,13.58,0.54,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
