month_day_hour_min;n_px;n_p;truth
0;2.07;0.109;0
1;2.1;0.11;0
2;2.13;0.11;0
3;2.16;0.11;0
4;2.19;0.109;0
5;2.23;0.11;0
6;2.27;0.109;0
7;2.31;0.11;0
8;2.37;0.11;0
9;2.42;0.11;0
10;2.47;0.11;0
11;2.52;0.11;0
12;2.58;0.109;0
13;2.63;0.109;0
14;2.68;0.11;0
15;2.74;0.109;0
16;2.79;0.109;0
17;2.85;0.109;0
18;2.91;0.109;0
19;2.97;0.11;0
20;3.03;0.11;0
21;3.08;0.11;0
22;3.14;0.109;0
23;3.2;0.109;0
24;3.25;0.109;0
25;3.31;0.107;0
26;3.36;0.106;0
27;3.41;0.106;0
28;3.44;0.109;0
29;3.46;0.109;0
30;3.48;0.11;0
31;3.49;0.109;0
32;3.49;0.108;0
33;3.48;0.11;0
34;3.45;0.109;0
35;3.42;0.107;0
36;3.38;0.109;0
37;3.34;0.109;0
38;3.3;0.108;0
39;3.25;0.109;0
40;3.19;0.11;0
41;3.12;0.109;0
42;3.06;0.11;0
43;2.99;0.109;0
44;2.92;0.106;0
45;2.86;0.107;0
46;2.79;0.109;0
47;2.73;0.107;0
48;2.67;0.109;0
49;2.61;0.109;0
50;2.55;0.11;0
51;2.5;0.109;0
52;2.45;0.108;0
53;2.4;0.109;0
54;2.35;0.106;0
55;2.31;0.107;0
56;2.28;0.108;0
57;2.26;0.107;0
58;2.23;0.107;0
59;2.2;0.11;0
60;2.18;0.109;0
61;2.16;0.109;0
62;2.15;0.108;0
63;2.13;0.107;0
64;2.12;0.109;0
65;2.11;0.108;0
66;2.09;0.109;0
67;2.08;0.109;0
68;2.07;0.109;0
69;2.05;0.108;0
70;2.03;0.107;0
71;2.01;0.108;0
72;1.99;0.108;0
73;1.97;0.109;0
74;1.96;0.11;0
75;1.94;0.109;0
76;1.93;0.107;0
77;1.91;0.109;0
78;1.9;0.11;0
79;1.88;0.105;0
80;1.86;0.107;0
81;1.84;0.109;0
82;1.83;0.105;0
83;1.81;0.106;0
84;1.81;0.108;0
85;1.84;0.108;0
86;1.87;0.107;0
87;1.9;0.107;0
88;1.92;0.108;0
89;1.95;0.108;0
90;1.98;0.107;0
91;2.02;0.107;0
92;2.06;0.103;0
93;2.1;0.105;0
94;2.15;0.109;0
95;2.19;0.105;0
96;2.24;0.107;0
97;2.29;0.109;0
98;2.34;0.109;0
99;2.4;0.109;0
100;2.45;0.109;0
101;2.51;0.109;0
102;2.57;0.108;0
103;2.62;0.105;0
104;2.68;0.107;0
105;2.74;0.105;0
106;2.8;0.107;0
107;2.86;0.105;0
108;2.92;0.105;0
109;2.98;0.103;0
110;3.03;0.106;0
111;3.09;0.106;0
112;3.15;0.103;0
113;3.21;0.103;0
114;3.25;0.105;0
115;3.29;0.109;0
116;3.33;0.108;0
117;3.36;0.107;0
118;3.4;0.107;0
119;3.42;0.108;0
120;3.45;0.105;0
121;3.47;0.108;0
122;3.49;0.105;0
123;3.49;0.106;0
124;3.5;0.107;0
125;3.51;0.104;0
126;3.5;0.104;0
127;3.49;0.105;0
128;3.47;0.101;0
129;3.44;0.101;0
130;3.4;0.102;0
131;3.36;0.1;0
132;3.3;0.101;0
133;3.25;0.102;0
134;3.18;0.101;0
135;3.1;0.101;0
136;3.03;0.101;0
137;2.95;0.102;0
138;2.88;0.1;0
139;2.82;0.1;0
140;2.75;0.1;0
141;2.68;0.102;0
142;2.62;0.101;0
143;2.56;0.101;0
144;2.5;0.101;0
145;2.45;0.1;0
146;2.39;0.103;0
147;2.34;0.101;0
148;2.29;0.101;0
149;2.24;0.101;0
150;2.2;0.101;0
151;2.15;0.103;0
152;2.11;0.101;0
153;2.08;0.102;0
154;2.05;0.101;0
155;2.03;0.101;0
156;2.01;0.101;0
157;1.99;0.101;0
158;1.97;0.101;0
159;1.96;0.102;0
160;1.95;0.1;0
161;1.94;0.103;0
162;1.92;0.101;0
163;1.91;0.1;0
164;1.9;0.1;0
165;1.89;0.102;0
166;1.89;0.102;0
167;1.9;0.1;0
168;1.9;0.101;0
169;1.91;0.101;0
170;1.91;0.103;0
171;1.92;0.1;0
172;1.93;0.101;0
173;1.93;0.104;0
174;1.93;0.103;0
175;1.94;0.106;0
176;1.94;0.105;0
177;1.94;0.104;0
178;1.95;0.107;0
179;1.96;0.107;0
