month_day_hour_min;p_uiip;p_f;p_pu;truth
0;18.5;32.12;51.04;0
1;18.61;32.39;51.23;0
2;18.5;32.19;51.03;0
3;18.65;32.48;51.59;0
4;18.73;32.97;52.38;0
5;18.61;32.97;52.31;0
6;18.66;32.93;52.52;0
7;18.5;33.14;53.16;0
8;18.22;33.32;53.36;0
9;18.18;33.48;53.47;0
10;18.3;33.52;53.54;0
11;18.18;33.69;53.61;0
12;18.29;33.82;53.69;0
13;18.15;33.89;53.76;0
14;18.14;33.86;53.69;0
15;18.04;33.91;53.78;0
16;18.16;34.03;54.04;0
17;18.22;34.15;54.1;0
18;18.24;34.39;54.24;0
19;18.18;34.44;54.23;0
20;18.16;34.48;54.29;0
21;18.18;34.58;54.4;0
22;18.2;34.23;54.12;0
23;18.23;34.47;54.28;0
24;18.63;34.33;54.18;0
25;19.5;34.31;54.16;0
26;19.67;34.18;53.84;0
27;19.58;33.54;52.07;0
28;19.5;33.24;51.73;0
29;19.76;33.18;51.49;0
30;19.46;33.2;51.54;0
31;20.62;33.2;51.43;0
32;20.57;33.12;51.17;0
33;20.64;32.52;50.59;0
34;20.47;32.35;50.58;0
35;20.65;32.15;50.44;0
36;19.84;31.94;50.21;0
37;20.43;31.72;49.62;0
38;20.65;31.57;49.78;0
39;20.67;31.33;49.36;0
40;20.71;30.24;48.04;0
41;20.71;30.33;48.07;0
42;20.69;30.04;47.77;0
43;20.7;30.21;47.87;0
44;20.71;30.29;48.02;0
45;20.72;30.39;48.35;0
46;20.65;30.34;48.1;0
47;20.67;30.39;48.24;0
48;20.67;30.49;48.2;0
49;20.8;30.71;48.35;0
50;20.65;30.92;48.74;0
51;20.76;30.44;48.1;0
52;20.69;30.92;48.82;0
53;20.7;30.67;48.68;0
54;20.7;31.22;49.16;0
55;20.77;31.33;49.41;0
56;20.49;31.35;49.33;0
57;20.77;31.53;49.63;0
58;20.54;31.53;49.73;0
59;20.74;31.75;49.84;0
60;20.73;31.56;49.74;0
61;20.53;31.43;49.57;0
62;20.86;31.69;49.93;0
63;20.85;31.74;49.73;0
64;20.65;31.74;49.86;0
65;20.67;31.36;49.58;0
66;20.56;31.7;49.7;0
67;20.6;31.49;49.66;0
68;20.61;31.44;49.56;0
69;20.62;31.37;49.59;0
70;20.56;31.46;49.5;0
71;20.75;31.51;49.65;0
72;20.9;31.33;49.57;0
73;20.64;31.44;49.47;0
74;20.48;31.69;49.7;0
75;20.74;31.41;49.32;0
76;20.67;31.37;49.31;0
77;21.35;31.43;49.49;0
78;21.5;31.5;49.55;0
79;21.77;31.33;49.37;0
80;21.76;31.32;49.34;0
81;21.62;31.32;49.35;0
82;21.67;31.18;49.29;0
83;21.68;31.74;51.18;0
84;21.8;31.92;52;0
85;22.05;32.01;51.95;0
86;22.16;32.07;51.51;0
87;22.29;31.78;51.28;0
88;22.01;32.21;51.47;0
89;22.11;32.05;51.59;0
90;22.1;32.62;52.37;0
91;21.49;32.56;52.59;0
92;18.7;32.71;52.66;0
93;18.66;32.73;52.63;0
94;18.44;32.81;52.73;0
95;18.18;33.11;53;0
96;17.96;33.38;53.24;0
97;18.01;33.39;53.35;0
98;18.23;33.51;53.31;0
99;18.12;33.73;53.69;0
100;18.15;33.59;53.59;0
101;18.12;33.9;53.67;0
102;18.12;33.88;53.78;0
103;18.16;33.95;53.76;0
104;18.16;34.07;54.02;0
105;18.13;34.24;54.1;0
106;18.12;34.36;54.07;0
107;18.07;34.24;53.9;0
108;18.16;34.09;53.82;0
109;18.04;34.48;54.16;0
110;18.1;34.54;54.35;0
111;18.2;34.48;54.19;0
112;17.91;34.44;54.03;0
113;18.17;34.18;52.97;0
114;18.12;33.78;52.06;0
115;18.12;33.78;52.16;0
116;18.13;33.95;52.32;0
117;18.07;33.83;52.23;0
118;18.05;33.24;51.17;0
119;18.99;33.79;51.84;0
120;20.65;33.46;51.71;0
121;20.69;33.46;51.31;0
122;20.59;33.2;51.31;0
123;20.67;33.35;51.41;0
124;20.45;33.05;51.18;0
125;20.48;33.28;51.5;0
126;20.48;33.03;51.56;0
127;20.54;32.82;51.09;0
128;20.46;32.31;50.86;0
129;19.57;32.07;50.13;0
130;20.46;31.64;49.84;0
131;20.67;31.55;49.61;0
132;20.61;31.1;49.29;0
133;20.65;30.21;48.02;0
134;20.68;30.05;47.73;0
135;20.64;29.99;47.47;0
136;20.69;29.79;47.41;0
137;20.67;29.86;47.39;0
138;20.67;29.87;47.63;0
139;20.71;29.93;47.79;0
140;20.65;30.16;48.18;0
141;20.69;30.37;47.97;0
142;20.75;30.4;48.12;0
143;20.62;30.5;48.27;0
144;20.73;30.54;48.29;0
145;20.71;30.76;48.57;0
146;20.76;30.33;48.18;0
147;20.68;30.61;48.43;0
148;20.63;30.7;48.67;0
149;20.63;30.82;48.6;0
150;20.66;30.77;48.61;0
151;20.72;30.93;48.56;0
152;20.71;31.24;49.17;0
153;20.67;31.33;49.33;0
154;20.64;31.24;49.4;0
155;20.76;31.41;49.52;0
156;20.72;31.29;49.37;0
157;20.56;31.38;49.51;0
158;20.72;31.48;49.61;0
159;20.89;31.53;49.61;0
160;20.78;31.5;49.52;0
161;20.69;31.52;49.62;0
162;20.81;31.39;49.54;0
163;20.67;31.48;50.03;0
164;20.67;31.29;50.01;0
165;20.73;31.64;50.93;0
166;20.54;31.33;50.86;0
