uplink_message.rx_metadata_0.gateway_ids.gateway_id,uplink_message.rx_metadata_0.gateway_ids.eui,uplink_message.rx_metadata_0.time,uplink_message.rx_metadata_0.timestamp,uplink_message.rx_metadata_0.rssi,uplink_message.rx_metadata_0.channel_rssi,uplink_message.rx_metadata_0.snr,uplink_message.rx_metadata_0.location.latitude,uplink_message.rx_metadata_0.location.longitude,uplink_message.rx_metadata_0.location.altitude,uplink_message.rx_metadata_0.location.source,uplink_message.rx_metadata_0.uplink_token,uplink_message.rx_metadata_0.channel_index,uplink_message.rx_metadata_0.received_at,uplink_message.rx_metadata_1.gateway_ids.gateway_id,uplink_message.rx_metadata_1.gateway_ids.eui,uplink_message.rx_metadata_1.time,uplink_message.rx_metadata_1.timestamp,uplink_message.rx_metadata_1.rssi,uplink_message.rx_metadata_1.channel_rssi,uplink_message.rx_metadata_1.snr,uplink_message.rx_metadata_1.location.latitude,uplink_message.rx_metadata_1.location.longitude,uplink_message.rx_metadata_1.location.altitude,uplink_message.rx_metadata_1.location.source,uplink_message.rx_metadata_1.uplink_token,uplink_message.rx_metadata_1.channel_index,uplink_message.rx_metadata_1.received_at,uplink_message.rx_metadata_2.gateway_ids.gateway_id,uplink_message.rx_metadata_2.gateway_ids.eui,uplink_message.rx_metadata_2.time,uplink_message.rx_metadata_2.timestamp,uplink_message.rx_metadata_2.rssi,uplink_message.rx_metadata_2.channel_rssi,uplink_message.rx_metadata_2.snr,uplink_message.rx_metadata_2.location.latitude,uplink_message.rx_metadata_2.location.longitude,uplink_message.rx_metadata_2.location.altitude,uplink_message.rx_metadata_2.location.source,uplink_message.rx_metadata_2.uplink_token,uplink_message.rx_metadata_2.channel_index,uplink_message.rx_metadata_2.received_at,uplink_message.rx_metadata_3.gateway_ids.gateway_id,uplink_message.rx_metadata_3.gateway_ids.eui,uplink_message.rx_metadata_3.time,uplink_message.rx_metadata_3.timestamp,uplink_message.rx_metadata_3.rssi,uplink_message.rx_metadata_3.channel_rssi,uplink_message.rx_metadata_3.snr,uplink_message.rx_metadata_3.location.latitude,uplink_message.rx_metadata_3.location.longitude,uplink_message.rx_metadata_3.location.altitude,uplink_message.rx_metadata_3.location.source,uplink_message.rx_metadata_3.uplink_token,uplink_message.rx_metadata_3.channel_index,uplink_message.rx_metadata_3.received_at,uplink_message.rx_metadata_4.gateway_ids.gateway_id,uplink_message.rx_metadata_4.gateway_ids.eui,uplink_message.rx_metadata_4.time,uplink_message.rx_metadata_4.timestamp,uplink_message.rx_metadata_4.rssi,uplink_message.rx_metadata_4.channel_rssi,uplink_message.rx_metadata_4.snr,uplink_message.rx_metadata_4.location.latitude,uplink_message.rx_metadata_4.location.longitude,uplink_message.rx_metadata_4.location.altitude,uplink_message.rx_metadata_4.location.source,uplink_message.rx_metadata_4.uplink_token,uplink_message.rx_metadata_4.channel_index,uplink_message.rx_metadata_4.received_at,received_at
'smartua-iot-r03','3436323818005700','2024-10-11T11:58:16.544213Z',3092399310,-98,-98,5.25,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABDOicnCCxoMCOKlpLgGELWi38wBILCJ84qAkOkB',2,'2024-10-11T11:58:26.405707243Z','smartua-iot-r05','3730392055004100','2024-10-11T11:58:10.816373Z',3092589064,-85,-85,7.5,38.38418726539637,-0.5101910233497621,10,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA1Egg3MDkgVQBBABCI1NTCCxoMCOKlpLgGEJiE988BIMDesOWAkOkB',2,'2024-10-11T11:58:26.409229705Z','smartua-iot-r01','3133303726006500','2024-10-11T11:58:03.953Z',810106579,-77,-77,7.5,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABDT/aSCAxoMCOKlpLgGEMbT+9ABILjQ9fDJyukB',2,'2024-10-11T11:58:26.409964254Z','smartua-iot-r06','503035414C284750','2024-10-11T11:58:15.538810Z',793546819,-93,-93,7.5,38.3833301416072,-0.512394097936542,8,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA2EghQMDVBTChHUBDDoLL6AhoMCOKlpLgGEIjs+NMBILiLzpiMyukB',2,'2024-10-11T11:58:26.415065588Z','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','2024-10-11T11:58:26.635451179Z'
'smartua-iot-r05','3730392055004100','2024-10-11T12:00:14.750588Z',3216523680,-98,-98,-7.25,38.38418726539637,-0.5101910233497621,10,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA1Egg3MDkgVQBBABCgg+H9CxoMCN6mpLgGEMPVia4BIICygb7Ok+kB',5,'2024-10-11T12:00:30.338231860Z','smartua-iot-r04','3530362049001700','2024-10-11T11:57:32.390027Z',1891281844,-95,-95,-7.5,38.38473180809575,-0.5102983117103578,10,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA0Egg1MDYgSQAXABC01+qFBxoMCN6mpLgGEKuCj7IBIKDuusmF6ukB',5,'2024-10-11T12:00:30.344407994Z','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','2024-10-11T12:00:30.571247018Z'
'smartua-iot-r01','3133303726006500','2024-10-11T12:02:02.320220Z',1048476494,-103,-103,6.25,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABDO9vnzAxoMCNCnpLgGENzzxP0CILDRxvDB0ekB',2,'2024-10-11T12:02:24.772123656Z','smartua-iot-r05','3730392055004100','2024-10-11T12:02:09.185268Z',3330959266,-91,-91,6,38.38418726539637,-0.5101910233497621,10,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA1Egg3MDkgVQBBABCiz6m0DBoMCNCnpLgGEKvgvv4CINChk+X4lukB',2,'2024-10-11T12:02:24.775600720Z','smartua-iot-r03','3436323818005700','2024-10-11T12:02:14.913183Z',3330769526,-108,-108,-1.25,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABD2hJ60DBoMCNCnpLgGELSf5v4CIPC51or4lukB',2,'2024-10-11T12:02:24.779114602Z','smartua-iot-r06','503035414C284750','2024-10-11T12:02:13.908183Z',1031917235,-101,-101,4.25,38.3833301416072,-0.512394097936542,8,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA2EghQMDVBTChHUBCznYfsAxoMCNCnpLgGELTB2YwDILjWvZiE0ekB',2,'2024-10-11T12:02:24.801985887Z','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','2024-10-11T12:02:25.012696749Z'
'smartua-iot-r01','3133303726006500','2024-10-11T12:02:07.701506Z',1053857086,-98,-98,8.25,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABC+qsL2AxoLCNanpLgGELvIrlcgsPSb9tXR6QE=',6,'2024-10-11T12:02:30.155194983Z','smartua-iot-r05','3730392055004100','2024-10-11T12:02:14.565822Z',3336339867,-89,-89,4.5,38.38418726539637,-0.5101910233497621,10,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA1Egg3MDkgVQBBABCbg/K2DBoLCNanpLgGEKzV3lgg+Irp6oyX6QE=',6,'2024-10-11T12:02:30.159560913Z','smartua-iot-r06','503035414C284750','2024-10-11T12:02:19.288769Z',1037297828,-103,-103,6,38.3833301416072,-0.512394097936542,8,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA2EghQMDVBTChHUBCk0c/uAxoLCNanpLgGELCXo2AgoIGTnpjR6QE=',6,'2024-10-11T12:02:30.171950171Z','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','2024-10-11T12:02:30.392187162Z'
'smartua-iot-r03','3436323818005700','2024-10-11T12:04:12.554874Z',3448411766,-90,-90,9.75,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABD2rKrsDBoMCMaopLgGELGh9dEBIPD57qqumukB',4,'2024-10-11T12:04:22.416553319Z','smartua-iot-r01','3133303726006500','2024-10-11T12:03:59.961138Z',1166118578,-71,-71,9.75,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABCynYasBBoMCMaopLgGEMvpiNMBINDO1ZD41OkB',4,'2024-10-11T12:04:22.414985060Z','smartua-iot-r06','503035414C284750','2024-10-11T12:04:11.549733Z',1149559564,-80,-80,8,38.3833301416072,-0.512394097936542,8,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA2EghQMDVBTChHUBCMxpOkBBoMCMaopLgGELGbreIBIODN27i61OkB',4,'2024-10-11T12:04:22.444744284Z','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','2024-10-11T12:04:22.646049130Z'
'smartua-iot-r03','3436323818005700','2024-10-11T12:05:26.111757Z',3521968478,-91,-91,9,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABDe8rOPDRoMCI+ppLgGEL2r1NwDILCuuK3AnOkB',6,'2024-10-11T12:05:35.975953523Z','smartua-iot-r01','3133303726006500','2024-10-11T12:05:13.516667Z',1239675194,-77,-77,8.5,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABC64o/PBBoKCJCppLgGEI3OIyCQlZmTitfpAQ==',6,'2024-10-11T12:05:35.972924838Z','smartua-iot-r06','503035414C284750','2024-10-11T12:05:25.105994Z',1223116332,-101,-101,8.25,38.3833301416072,-0.512394097936542,8,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA2EghQMDVBTChHUBCsjJ3HBBoLCJCppLgGEJG3kwgg4Leou8zW6QE=',6,'2024-10-11T12:05:35.987142716Z','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','2024-10-11T12:05:36.209323948Z'
'smartua-iot-r05','3730392055004100','2024-10-11T12:05:49.377371Z',3551153869,-97,-97,-1,38.38418726539637,-0.5101910233497621,10,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA1Egg3MDkgVQBBABDNnamdDRoMCKyppLgGEIzIydwDIMihj4qtnekB',1,'2024-10-11T12:06:04.972602917Z','smartua-iot-r03','3436323818005700','2024-10-11T12:05:55.106945Z',3550964142,-110,-110,-0.75,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABCu052dDRoMCKyppLgGEMGU3NwDILCf06+snekB',1,'2024-10-11T12:06:04.976081655Z','smartua-iot-r01','3133303726006500','2024-10-11T12:05:42.512788Z',1268670826,-104,-104,6.25,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABDqwvncBBoMCKyppLgGEIPg6dwDIJCMspX21+kB',1,'2024-10-11T12:06:04.972318364Z','smartua-iot-r06','503035414C284750','2024-10-11T12:05:54.101495Z',1252112019,-109,-109,4,38.3833301416072,-0.512394097936542,8,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA2EghQMDVBTChHUBCT7YbVBBoLCK2ppLgGEL3i+wwguNzEvbjX6QE=',1,'2024-10-11T12:06:04.997240808Z','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','2024-10-11T12:06:05.209187817Z'
'smartua-iot-r03','3436323818005700','2024-10-11T12:07:07.511866Z',3623369446,-107,-107,4.25,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABDm9eC/DRoMCPWppLgGEMC9o78BIPCkmI26n+kB',3,'2024-10-11T12:07:17.377464694Z','smartua-iot-r01','3133303726006500','2024-10-11T12:06:54.916529Z',1341076034,-108,-108,4.25,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABDC5Lz/BBoMCPWppLgGEMzLysABINCj8fKD2ukB',3,'2024-10-11T12:07:17.376216677Z','smartua-iot-r04','3530362049001700','2024-10-11T12:04:19.421744Z',2298317220,-96,-96,-5.5,38.38473180809575,-0.5102983117103578,10,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA0Egg1MDYgSQAXABCkk/bHCBoMCPWppLgGEPv87sABIKDRhvPx9ekB',3,'2024-10-11T12:07:17.375824852Z','smartua-iot-r06','503035414C284750','2024-10-11T12:07:06.506568Z',1324517379,-93,-93,9.5,38.3833301416072,-0.512394097936542,8,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA2EghQMDVBTChHUBCDkMr3BBoMCPWppLgGEI6Wl8cBILiXjZvG2ekB',3,'2024-10-11T12:07:17.387760057Z','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','2024-10-11T12:07:17.611412730Z'
'smartua-iot-r03','3436323818005700','2024-10-11T12:07:41.295811Z',3657153550,-93,-93,8.75,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABCO+O7PDRoLCJeqpLgGEI+d8VggsK3a+reg6QE=',1,'2024-10-11T12:07:51.162731845Z','smartua-iot-r01','3133303726006500','2024-10-11T12:07:28.700797Z',1374860098,-73,-73,9,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABDC5sqPBRoLCJeqpLgGEOXXnlog0POw4IHb6QE=',1,'2024-10-11T12:07:51.161949418Z','smartua-iot-r06','503035414C284750','2024-10-11T12:07:40.290239Z',1358301507,-93,-93,8.25,38.3833301416072,-0.512394097936542,8,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA2EghQMDVBTChHUBDDktiHBRoLCJeqpLgGEMTkoGEguNvQiMTa6QE=',1,'2024-10-11T12:07:51.174008047Z','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','2024-10-11T12:07:51.401974693Z'
'smartua-iot-r03','3436323818005700','2024-10-11T12:08:05.699385Z',3681557502,-102,-102,3,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABD+t8DbDRoMCK+qpLgGEPnghZoCILCwte+SoekB',5,'2024-10-11T12:08:15.567818543Z','smartua-iot-r01','3133303726006500','2024-10-11T12:07:53.104154Z',1399264018,-84,-84,7.25,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABCSppybBRoMCK+qpLgGENKdx5sCIND8idXc2+kB',5,'2024-10-11T12:08:15.567364055Z','smartua-iot-r06','503035414C284750','2024-10-11T12:08:04.694071Z',1382705476,-97,-97,-4.5,38.3833301416072,-0.512394097936542,8,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA2EghQMDVBTChHUBDE0qmTBRoMCK+qpLgGELyl6aMCIKDjrP2e2+kB',5,'2024-10-11T12:08:15.582043495Z','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','#fill#','2024-10-11T12:08:15.802245678Z'
