end_device_ids.device_id,end_device_ids.application_ids.application_id,end_device_ids.dev_eui,end_device_ids.join_eui,end_device_ids.dev_addr,correlation_ids_0,received_at,uplink_message.session_key_id,uplink_message.f_port,uplink_message.f_cnt,uplink_message.frm_payload,uplink_message.decoded_payload.bytes_0,uplink_message.decoded_payload.bytes_1,uplink_message.decoded_payload.bytes_2,uplink_message.decoded_payload.bytes_3,uplink_message.decoded_payload.bytes_4,uplink_message.decoded_payload.bytes_5,uplink_message.decoded_payload.bytes_6,uplink_message.decoded_payload.bytes_7,uplink_message.decoded_payload.bytes_8,uplink_message.decoded_payload.bytes_9,uplink_message.decoded_payload.bytes_10,uplink_message.rx_metadata_0.gateway_ids.gateway_id,uplink_message.rx_metadata_0.gateway_ids.eui,uplink_message.rx_metadata_0.time,uplink_message.rx_metadata_0.timestamp,uplink_message.rx_metadata_0.rssi,uplink_message.rx_metadata_0.channel_rssi,uplink_message.rx_metadata_0.snr,uplink_message.rx_metadata_0.location.latitude,uplink_message.rx_metadata_0.location.longitude,uplink_message.rx_metadata_0.location.altitude,uplink_message.rx_metadata_0.location.source,uplink_message.rx_metadata_0.uplink_token,uplink_message.rx_metadata_0.channel_index,uplink_message.rx_metadata_0.received_at,uplink_message.rx_metadata_1.gateway_ids.gateway_id,uplink_message.rx_metadata_1.gateway_ids.eui,uplink_message.rx_metadata_1.time,uplink_message.rx_metadata_1.timestamp,uplink_message.rx_metadata_1.rssi,uplink_message.rx_metadata_1.channel_rssi,uplink_message.rx_metadata_1.snr,uplink_message.rx_metadata_1.location.latitude,uplink_message.rx_metadata_1.location.longitude,uplink_message.rx_metadata_1.location.altitude,uplink_message.rx_metadata_1.location.source,uplink_message.rx_metadata_1.uplink_token,uplink_message.rx_metadata_1.channel_index,uplink_message.rx_metadata_1.received_at,uplink_message.rx_metadata_2.gateway_ids.gateway_id,uplink_message.rx_metadata_2.gateway_ids.eui,uplink_message.rx_metadata_2.time,uplink_message.rx_metadata_2.timestamp,uplink_message.rx_metadata_2.rssi,uplink_message.rx_metadata_2.channel_rssi,uplink_message.rx_metadata_2.snr,uplink_message.rx_metadata_2.location.latitude,uplink_message.rx_metadata_2.location.longitude,uplink_message.rx_metadata_2.location.altitude,uplink_message.rx_metadata_2.location.source,uplink_message.rx_metadata_2.uplink_token,uplink_message.rx_metadata_2.channel_index,uplink_message.rx_metadata_2.received_at,uplink_message.rx_metadata_3.gateway_ids.gateway_id,uplink_message.rx_metadata_3.gateway_ids.eui,uplink_message.rx_metadata_3.time,uplink_message.rx_metadata_3.timestamp,uplink_message.rx_metadata_3.rssi,uplink_message.rx_metadata_3.channel_rssi,uplink_message.rx_metadata_3.snr,uplink_message.rx_metadata_3.location.latitude,uplink_message.rx_metadata_3.location.longitude,uplink_message.rx_metadata_3.location.altitude,uplink_message.rx_metadata_3.location.source,uplink_message.rx_metadata_3.uplink_token,uplink_message.rx_metadata_3.channel_index,uplink_message.rx_metadata_3.received_at,uplink_message.settings.data_rate.lora.bandwidth,uplink_message.settings.data_rate.lora.spreading_factor,uplink_message.settings.data_rate.lora.coding_rate,uplink_message.settings.frequency,uplink_message.settings.timestamp,uplink_message.settings.time,uplink_message.received_at,uplink_message.consumed_airtime,uplink_message.version_ids.brand_id,uplink_message.version_ids.model_id,uplink_message.version_ids.hardware_version,uplink_message.version_ids.firmware_version,uplink_message.version_ids.band_id,uplink_message.network_ids.net_id,uplink_message.network_ids.ns_id,uplink_message.network_ids.tenant_id,uplink_message.network_ids.cluster_id,uplink_message.network_ids.cluster_address,uplink_message.packet_error_rate,uplink_message.rx_metadata_4.gateway_ids.gateway_id,uplink_message.rx_metadata_4.gateway_ids.eui,uplink_message.rx_metadata_4.time,uplink_message.rx_metadata_4.timestamp,uplink_message.rx_metadata_4.rssi,uplink_message.rx_metadata_4.channel_rssi,uplink_message.rx_metadata_4.snr,uplink_message.rx_metadata_4.location.latitude,uplink_message.rx_metadata_4.location.longitude,uplink_message.rx_metadata_4.location.altitude,uplink_message.rx_metadata_4.location.source,uplink_message.rx_metadata_4.uplink_token,uplink_message.rx_metadata_4.channel_index,uplink_message.rx_metadata_4.received_at
null,0,0,0,0,0,0,0,2,11314,0,13,72,0,0,0,0,0,0,0,0,16,0,0,0,3092399310,-98,-98,5.25,38.385917659159134,-0.5170252919197084,20,0,0,2,0,0,0,0,3092589064,-85,-85,7.5,38.38418726539637,-0.5101910233497621,10,0,0,2,0,0,0,0,810106579,-77,-77,7.5,38.3846865837538,-0.513212937943281,20,0,0,2,0,0,0,0,793546819,-93,-93,7.5,38.3833301416072,-0.512394097936542,8,0,0,2,0,125000,7,0,0,3092399310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,null,1,0,1,1,1,1,2,12175,1,13,29,0,0,9,142,9,79,2,15,16,1,1,1,3216523680,-98,-98,-7.25,38.38418726539637,-0.5101910233497621,10,0,1,5,1,1,1,1,1891281844,-95,-95,-7.5,38.38473180809575,-0.5102983117103578,10,0,1,5,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,1,3216523680,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,2,2,2,85,2182,2,3,123,0,0,0,0,0,0,0,0,0,2,2,2,1048476494,-103,-103,6.25,38.3846865837538,-0.513212937943281,20,0,2,2,2,0,0,2,3330959266,-91,-91,6,38.38418726539637,-0.5101910233497621,10,0,2,2,2,2,2,2,3330769526,-108,-108,-1.25,38.385917659159134,-0.5170252919197084,20,0,2,2,2,0,0,2,1031917235,-101,-101,4.25,38.3833301416072,-0.512394097936542,8,0,2,2,2,125000,7,0,0,1048476494,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,3,1,3,3,3,3,85,2457,2,3,123,0,0,0,0,0,0,0,0,0,2,2,3,1053857086,-98,-98,8.25,38.3846865837538,-0.513212937943281,20,0,3,6,3,0,0,3,3336339867,-89,-89,4.5,38.38418726539637,-0.5101910233497621,10,0,3,6,3,3,3,3,1037297828,-103,-103,6,38.3833301416072,-0.512394097936542,8,0,3,6,3,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,2,1053857086,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,4,4,4,2,12178,3,13,30,0,0,10,48,8,88,2,218,16,0,0,4,3448411766,-90,-90,9.75,38.385917659159134,-0.5170252919197084,20,0,4,4,4,2,2,4,1166118578,-71,-71,9.75,38.3846865837538,-0.513212937943281,20,0,4,4,4,3,3,4,1149559564,-80,-80,8,38.3833301416072,-0.512394097936542,8,0,4,4,4,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,3,3448411766,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,5,5,5,2,12249,4,13,27,0,0,2,242,8,83,0,7,16,0,0,5,3521968478,-91,-91,9,38.385917659159134,-0.5170252919197084,20,0,5,6,5,2,2,5,1239675194,-77,-77,8.5,38.3846865837538,-0.513212937943281,20,0,5,6,5,3,3,5,1223116332,-101,-101,8.25,38.3833301416072,-0.512394097936542,8,0,5,6,5,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,2,3521968478,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,6,1,6,6,6,6,85,2189,2,3,123,0,0,0,0,0,0,0,0,0,1,1,6,3551153869,-97,-97,-1,38.38418726539637,-0.5101910233497621,10,0,6,1,6,3,3,6,3550964142,-110,-110,-0.75,38.385917659159134,-0.5170252919197084,20,0,6,1,6,0,0,6,1268670826,-104,-104,6.25,38.3846865837538,-0.513212937943281,20,0,6,1,6,0,0,3,1252112019,-109,-109,4,38.3833301416072,-0.512394097936542,8,0,3,1,3,125000,7,0,4,3551153869,6,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,7,0,7,7,7,7,2,12176,5,13,38,0,0,6,235,8,241,1,160,16,0,0,7,3623369446,-107,-107,4.25,38.385917659159134,-0.5170252919197084,20,0,7,3,7,2,2,7,1341076034,-108,-108,4.25,38.3846865837538,-0.513212937943281,20,0,7,3,7,4,4,7,2298317220,-96,-96,-5.5,38.38473180809575,-0.5102983117103578,10,0,7,3,7,0,0,4,1324517379,-93,-93,9.5,38.3833301416072,-0.512394097936542,8,0,4,3,4,125000,7,0,5,3623369446,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,8,8,8,2,12250,6,13,44,0,0,7,55,8,199,0,175,16,0,0,8,3657153550,-93,-93,8.75,38.385917659159134,-0.5170252919197084,20,0,8,1,8,2,2,8,1374860098,-73,-73,9,38.3846865837538,-0.513212937943281,20,0,8,1,8,3,3,8,1358301507,-93,-93,8.25,38.3833301416072,-0.512394097936542,8,0,8,1,8,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,4,3657153550,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,9,0,9,9,9,9,2,12174,7,13,29,0,0,9,252,8,243,4,33,16,0,0,9,3681557502,-102,-102,3,38.385917659159134,-0.5170252919197084,20,0,9,5,9,2,2,9,1399264018,-84,-84,7.25,38.3846865837538,-0.513212937943281,20,0,9,5,9,3,3,9,1382705476,-97,-97,-4.5,38.3833301416072,-0.512394097936542,8,0,9,5,9,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,1,3681557502,9,9,0,0,0,0,0,0,0,0,0,0,0,0.04761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,10,0,10,10,10,10,2,12251,8,12,253,0,0,0,0,9,18,0,0,16,0,0,10,3833927910,-103,-103,6.5,38.385917659159134,-0.5170252919197084,20,0,10,0,10,2,2,10,1551634229,-109,-109,3.25,38.3846865837538,-0.513212937943281,20,0,10,0,10,3,3,10,1535075995,-102,-102,6.5,38.3833301416072,-0.512394097936542,8,0,10,0,10,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,6,3833927910,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,11,11,11,11,2,12176,9,13,26,0,0,3,221,8,160,0,29,16,2,2,11,1555996750,-99,-99,6.25,38.3846865837538,-0.513212937943281,20,0,11,5,11,3,3,11,3838290438,-104,-104,2,38.385917659159134,-0.5170252919197084,20,0,11,5,11,3,3,11,1539438532,-80,-80,7,38.3833301416072,-0.512394097936542,8,0,11,5,11,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,1,1555996750,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,12,12,2,85,2183,2,3,123,0,0,0,0,0,0,0,0,0,0,0,12,3931148134,-109,-109,0.75,38.385917659159134,-0.5170252919197084,20,0,12,7,12,0,0,12,3931337823,-89,-89,7.5,38.38418726539637,-0.5101910233497621,10,0,12,7,12,0,0,12,1648854326,-103,-103,7.25,38.3846865837538,-0.513212937943281,20,0,12,7,12,0,0,5,1632296292,-108,-108,4.25,38.3833301416072,-0.512394097936542,8,0,5,7,5,125000,7,0,7,3931148134,12,12,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,3,1,3,13,13,3,85,2458,2,3,123,0,0,0,0,0,0,0,0,0,1,1,13,3936738036,-90,-90,6.25,38.38418726539637,-0.5101910233497621,10,0,13,4,13,4,4,13,1637696508,-107,-107,6.75,38.3833301416072,-0.512394097936542,8,0,13,4,13,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,3,3936738036,13,13,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,12,0,12,14,14,12,2,12252,10,13,20,0,0,0,0,9,15,0,0,16,2,2,14,1731822061,-114,-114,-1.5,38.3846865837538,-0.513212937943281,20,0,14,2,14,4,4,14,1715264203,-108,-108,4.25,38.3833301416072,-0.512394097936542,8,0,14,2,14,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,0,1731822061,14,14,0,0,0,0,0,0,0,0,0,0,0,0.04761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,13,0,13,15,15,13,2,12178,11,13,18,0,0,7,146,7,181,1,17,16,0,0,15,4016116950,-99,-99,8.25,38.385917659159134,-0.5170252919197084,20,0,15,0,15,2,2,15,1733823037,-96,-96,9,38.3846865837538,-0.513212937943281,20,0,15,0,15,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,6,4016116950,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,14,0,14,16,16,14,2,11316,12,13,3,0,0,6,105,9,165,0,131,16,3,3,16,2695647300,-86,-86,5.5,38.38473180809575,-0.5102983117103578,10,0,16,3,16,2,2,16,1738405749,-114,-114,-5,38.3846865837538,-0.513212937943281,20,0,16,3,16,3,3,13,1721847899,-99,-99,9,38.3833301416072,-0.512394097936542,8,0,13,3,13,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,5,2695647300,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,6,1,6,17,17,6,85,2190,2,3,123,0,0,0,0,0,0,0,0,0,0,0,17,4151338990,-110,-110,-3.75,38.385917659159134,-0.5170252919197084,20,0,17,2,17,0,0,17,4151528670,-97,-97,-1.25,38.38418726539637,-0.5101910233497621,10,0,17,2,17,0,0,14,1869044901,-104,-104,5.25,38.3846865837538,-0.513212937943281,20,0,14,2,14,0,0,6,1852487323,-107,-107,3.75,38.3833301416072,-0.512394097936542,8,0,6,2,6,125000,7,0,0,4151338990,17,17,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,18,18,0,2,11315,13,13,79,0,0,0,0,0,0,0,0,16,3,3,18,2967288972,-96,-96,-9,38.38473180809575,-0.5102983117103578,10,0,18,3,18,2,2,18,2010047161,-72,-72,9.75,38.3846865837538,-0.513212937943281,20,0,18,3,18,5,5,15,4292531102,-92,-92,5.5,38.38418726539637,-0.5101910233497621,10,0,15,3,15,2,2,7,4292341438,-98,-98,8,38.385917659159134,-0.5170252919197084,20,0,7,3,7,125000,7,0,5,2967288972,18,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1993489875,-92,-92,9.75,38.3833301416072,-0.512394097936542,8,1,1,3,1
