id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,end_device_ids.dev_eui,0,received_at,0,0.52,0.51,0.51,0.51,0.50,0.52,0.51,0.53,0.50,0.52,0.54,0.52,0.53,0.52,0.51,0.52,0.51,0.51,0.51,0.51,0.53,0.52,0.52,0.53,0.53,12.94,0.52,false
1,end_device_ids.dev_eui,0.07142857142857142,received_at,0.001953125,0.52,0.53,0.52,0.51,0.53,0.53,0.53,0.52,0.52,0.53,0.54,0.53,0.52,0.51,0.52,0.53,0.54,0.52,0.52,0.54,0.53,0.51,0.52,0.51,0.54,13.12,0.52,false
2,end_device_ids.dev_eui,0.14285714285714285,received_at,0.00390625,0.49,0.50,0.50,0.50,0.49,0.50,0.50,0.51,0.49,0.50,0.51,0.50,0.51,0.51,0.51,0.51,0.50,0.50,0.49,0.49,0.49,0.50,0.50,0.52,0.50,12.52,0.50,false
3,end_device_ids.dev_eui,0.21428571428571427,received_at,0.005859375,0.47,0.47,0.48,0.47,0.46,0.49,0.46,0.47,0.45,0.47,0.49,0.47,0.48,0.51,0.48,0.48,0.45,0.47,0.47,0.47,0.47,0.47,0.47,0.49,0.48,11.84,0.47,false
4,end_device_ids.dev_eui,0.2857142857142857,received_at,0.0078125,0.45,0.43,0.43,0.43,0.43,0.43,0.43,0.44,0.41,0.43,0.45,0.45,0.44,0.44,0.44,0.43,0.44,0.43,0.42,0.43,0.44,0.42,0.43,0.43,0.45,10.85,0.43,false
5,end_device_ids.dev_eui,0.35714285714285715,received_at,0.009765625,0.44,0.42,0.42,0.42,0.43,0.41,0.42,0.43,0.41,0.41,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.39,0.42,0.43,0.41,0.41,0.42,0.43,10.51,0.42,false
6,end_device_ids.dev_eui,0.42857142857142855,received_at,0.01171875,0.52,0.52,0.50,0.51,0.51,0.50,0.50,0.50,0.51,0.50,0.52,0.51,0.52,0.52,0.51,0.52,0.48,0.53,0.50,0.49,0.52,0.50,0.51,0.53,0.52,12.75,0.51,false
7,end_device_ids.dev_eui,0.5,received_at,0.013671875,0.52,0.50,0.50,0.51,0.53,0.53,0.50,0.51,0.50,0.52,0.52,0.53,0.51,0.51,0.50,0.52,0.49,0.51,0.49,0.51,0.52,0.50,0.51,0.51,0.52,12.77,0.51,false
8,end_device_ids.dev_eui,0.5714285714285714,received_at,0.015625,0.44,0.42,0.40,0.40,0.41,0.40,0.41,0.42,0.41,0.41,0.43,0.42,0.41,0.42,0.42,0.42,0.41,0.41,0.41,0.40,0.42,0.40,0.40,0.40,0.42,10.31,0.41,false
9,end_device_ids.dev_eui,0.6428571428571429,received_at,0.017578125,0.45,0.43,0.45,0.44,0.46,0.45,0.44,0.44,0.43,0.43,0.45,0.46,0.45,0.43,0.44,0.45,0.44,0.44,0.44,0.46,0.46,0.44,0.45,0.45,0.45,11.13,0.45,false
