id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,end_device_ids.device_id,0,0,0,0.50,0.51,0.52,0.52,0.49,0.51,0.53,0.52,0.53,0.53,0.52,0.51,0.53,0.54,0.51,0.52,0.54,0.52,0.52,0.53,0.50,0.52,0.53,0.53,0.51,12.99,0.52,false
1,end_device_ids.device_id,0.07142857142857142,0,0.001953125,0.52,0.52,0.52,0.52,0.51,0.53,0.52,0.53,0.53,0.51,0.54,0.51,0.52,0.54,0.53,0.53,0.52,0.53,0.53,0.52,0.53,0.53,0.54,0.53,0.53,13.14,0.53,false
2,end_device_ids.device_id,0.14285714285714285,0,0.00390625,0.47,0.52,0.51,0.52,0.49,0.50,0.51,0.50,0.51,0.49,0.50,0.50,0.51,0.49,0.51,0.51,0.52,0.50,0.51,0.51,0.50,0.52,0.51,0.52,0.51,12.64,0.51,false
3,end_device_ids.device_id,0.21428571428571427,0,0.005859375,0.47,0.48,0.48,0.48,0.46,0.45,0.48,0.49,0.49,0.46,0.47,0.48,0.47,0.48,0.46,0.48,0.50,0.47,0.49,0.49,0.46,0.49,0.49,0.48,0.48,11.93,0.48,false
4,end_device_ids.device_id,0.2857142857142857,0,0.0078125,0.45,0.44,0.45,0.43,0.43,0.43,0.43,0.44,0.43,0.42,0.45,0.43,0.43,0.43,0.43,0.43,0.46,0.44,0.44,0.40,0.45,0.44,0.45,0.44,0.45,10.92,0.44,false
5,end_device_ids.device_id,0.35714285714285715,0,0.009765625,0.44,0.43,0.43,0.42,0.41,0.43,0.43,0.42,0.42,0.42,0.43,0.42,0.42,0.43,0.43,0.42,0.43,0.42,0.42,0.40,0.43,0.42,0.43,0.42,0.43,10.60,0.42,false
6,end_device_ids.device_id,0.42857142857142855,0,0.01171875,0.49,0.51,0.52,0.53,0.50,0.49,0.53,0.53,0.52,0.49,0.51,0.50,0.51,0.51,0.50,0.52,0.52,0.52,0.50,0.52,0.51,0.53,0.52,0.53,0.52,12.83,0.51,false
7,end_device_ids.device_id,0.5,0,0.013671875,0.50,0.51,0.51,0.51,0.50,0.50,0.53,0.51,0.51,0.50,0.53,0.50,0.53,0.52,0.51,0.51,0.51,0.50,0.50,0.49,0.51,0.52,0.52,0.51,0.52,12.76,0.51,false
8,end_device_ids.device_id,0.5714285714285714,0,0.015625,0.43,0.41,0.41,0.40,0.40,0.41,0.42,0.42,0.42,0.41,0.42,0.40,0.41,0.42,0.40,0.42,0.43,0.42,0.41,0.40,0.41,0.41,0.43,0.41,0.41,10.33,0.41,false
9,end_device_ids.device_id,0.6428571428571429,0,0.017578125,0.46,0.45,0.45,0.44,0.43,0.47,0.46,0.45,0.45,0.44,0.46,0.45,0.44,0.44,0.44,0.44,0.43,0.44,0.46,0.44,0.46,0.45,0.47,0.44,0.46,11.22,0.45,false
10,end_device_ids.device_id,0.7142857142857143,0,0.01953125,0.44,0.44,0.43,0.43,0.46,0.45,0.45,0.45,0.43,0.44,0.44,0.43,0.43,0.44,0.44,0.46,0.45,0.46,0.46,0.43,0.45,0.43,0.45,0.45,0.46,11.10,0.44,false
11,end_device_ids.device_id,0.7857142857142857,0,0.021484375,0.40,0.42,0.42,0.41,0.40,0.41,0.43,0.41,0.41,0.41,0.42,0.40,0.41,0.42,0.43,0.43,0.42,0.40,0.42,0.41,0.41,0.42,0.43,0.41,0.42,10.37,0.41,false
12,end_device_ids.device_id,0.14285714285714285,0,0.0234375,0.49,0.50,0.52,0.51,0.50,0.50,0.53,0.52,0.51,0.49,0.51,0.50,0.51,0.50,0.52,0.51,0.52,0.51,0.51,0.52,0.50,0.51,0.51,0.52,0.50,12.72,0.51,false
13,end_device_ids.device_id,0.21428571428571427,0,0.025390625,0.52,0.55,0.54,0.54,0.53,0.55,0.54,0.56,0.55,0.53,0.55,0.54,0.56,0.56,0.55,0.55,0.57,0.53,0.56,0.54,0.57,0.56,0.55,0.54,0.55,13.69,0.55,false
14,end_device_ids.device_id,0.8571428571428571,0,0.02734375,0.45,0.47,0.44,0.45,0.45,0.44,0.46,0.46,0.46,0.45,0.48,0.43,0.46,0.46,0.45,0.46,0.45,0.45,0.45,0.45,0.46,0.47,0.47,0.44,0.46,11.37,0.45,false
15,end_device_ids.device_id,0.9285714285714286,0,0.029296875,0.52,0.51,0.51,0.51,0.50,0.51,0.52,0.53,0.51,0.52,0.52,0.48,0.53,0.53,0.50,0.52,0.54,0.50,0.55,0.52,0.52,0.50,0.53,0.50,0.51,12.89,0.52,false
