id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
0,end_device_ids.dev_eui,0,received_at,0,0.58,0.57,0.56,0.55,0.57,0.56,0.55,0.57,0.57,0.58,0.58,0.58,0.56,0.57,0.58,0.57,0.57,0.56,0.56,0.57,0.57,0.58,0.55,0.57,0.56,14.19,0.57,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
1,end_device_ids.dev_eui,0.07142857142857142,received_at,0.001953125,0.56,0.54,0.55,0.54,0.56,0.54,0.53,0.56,0.54,0.57,0.56,0.56,0.57,0.56,0.54,0.57,0.55,0.55,0.56,0.54,0.56,0.56,0.54,0.55,0.57,13.83,0.55,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
2,end_device_ids.dev_eui,0.14285714285714285,received_at,0.00390625,0.56,0.57,0.57,0.57,0.57,0.55,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.57,0.57,0.57,0.56,0.59,0.56,0.55,0.58,0.56,0.55,0.57,14.16,0.57,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
3,end_device_ids.dev_eui,0.21428571428571427,received_at,0.005859375,0.55,0.56,0.55,0.55,0.55,0.54,0.54,0.56,0.56,0.54,0.56,0.55,0.55,0.54,0.55,0.56,0.56,0.54,0.56,0.54,0.53,0.56,0.54,0.55,0.55,13.74,0.55,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
4,end_device_ids.dev_eui,0.2857142857142857,received_at,0.0078125,0.49,0.49,0.48,0.49,0.48,0.49,0.49,0.51,0.50,0.50,0.50,0.50,0.48,0.50,0.49,0.51,0.51,0.49,0.50,0.50,0.49,0.50,0.49,0.51,0.49,12.38,0.50,false,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.16,true
5,end_device_ids.dev_eui,0.35714285714285715,received_at,0.009765625,0.48,0.49,0.48,0.49,0.49,0.48,0.47,0.50,0.49,0.48,0.49,0.49,0.47,0.49,0.49,0.49,0.49,0.48,0.49,0.49,0.48,0.50,0.48,0.49,0.48,12.15,0.49,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
6,end_device_ids.dev_eui,0.42857142857142855,received_at,0.01171875,0.58,0.57,0.59,0.59,0.59,0.59,0.58,0.60,0.58,0.57,0.59,0.59,0.59,0.59,0.58,0.59,0.57,0.58,0.59,0.59,0.57,0.59,0.58,0.56,0.59,14.59,0.58,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
7,end_device_ids.dev_eui,0.5,received_at,0.013671875,0.47,0.49,0.49,0.50,0.48,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.46,0.49,0.49,0.49,0.49,0.47,0.49,0.49,0.49,0.49,0.48,0.49,0.48,12.12,0.48,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
8,end_device_ids.dev_eui,0.5714285714285714,received_at,0.015625,0.46,0.47,0.47,0.48,0.46,0.48,0.47,0.47,0.48,0.47,0.48,0.47,0.45,0.47,0.49,0.47,0.47,0.47,0.48,0.49,0.46,0.48,0.47,0.49,0.46,11.81,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
9,end_device_ids.dev_eui,0.6428571428571429,received_at,0.017578125,0.47,0.47,0.47,0.48,0.46,0.48,0.47,0.47,0.48,0.46,0.47,0.47,0.45,0.48,0.48,0.48,0.47,0.48,0.48,0.48,0.48,0.48,0.47,0.48,0.46,11.82,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
