header,value,key
end_device_ids.device_id,'ua-gardens-s005',0
end_device_ids.device_id,'ua-gardens-s011',1
end_device_ids.device_id,'ua-pipepressure-s003',2
end_device_ids.device_id,'ua-pipepressure-s001',3
end_device_ids.device_id,'ua-gardens-s006',4
end_device_ids.device_id,'ua-gardens-s004',5
end_device_ids.device_id,'ua-pipepressure-s002',6
end_device_ids.device_id,'ua-gardens-s009',7
end_device_ids.device_id,'ua-gardens-s003',8
end_device_ids.device_id,'ua-gardens-s012',9
end_device_ids.device_id,'ua-gardens-s002',10
end_device_ids.device_id,'ua-gardens-s010',11
end_device_ids.device_id,'ua-gardens-s001',12
end_device_ids.device_id,'ua-gardens-s007',13
end_device_ids.device_id,'ua-gardens-s008',14
end_device_ids.application_ids.application_id,'ua-bim',0
end_device_ids.dev_eui,'A84041797189B7C6',0
end_device_ids.dev_eui,'A840412CE189B7DB',1
end_device_ids.dev_eui,'24E124126E268501',2
end_device_ids.dev_eui,'24E124126E269467',3
end_device_ids.dev_eui,'A84041623189B7C0',4
end_device_ids.dev_eui,'A84041A71189B7BB',5
end_device_ids.dev_eui,'24E124126E268846',6
end_device_ids.dev_eui,'A84041674189B7E3',7
end_device_ids.dev_eui,'A840413E1189B7D8',8
end_device_ids.dev_eui,'A8404151E189B7CC',9
end_device_ids.dev_eui,'A840414AC189B7C1',10
end_device_ids.dev_eui,'A84041159189B7BA',11
end_device_ids.dev_eui,'A84041277189B7DE',12
end_device_ids.dev_eui,'A840416AB189B7E2',13
end_device_ids.dev_eui,'A84041F57189B7BE',14
end_device_ids.join_eui,'A840410000000101',0
end_device_ids.join_eui,'24E124C0002A0001',1
end_device_ids.dev_addr,'260B8B98',0
end_device_ids.dev_addr,'260B1D13',1
end_device_ids.dev_addr,'260BC841',2
end_device_ids.dev_addr,'260BFC50',3
end_device_ids.dev_addr,'260B6B32',4
end_device_ids.dev_addr,'260B3D02',5
end_device_ids.dev_addr,'260BF8F0',6
end_device_ids.dev_addr,'260BE73F',7
end_device_ids.dev_addr,'260B9A2E',8
end_device_ids.dev_addr,'260BF8DC',9
end_device_ids.dev_addr,'260BCE03',10
end_device_ids.dev_addr,'260B8361',11
end_device_ids.dev_addr,'260BA056',12
end_device_ids.dev_addr,'260B3005',13
end_device_ids.dev_addr,'260BD6C1',14
received_at,'2024-10-11T11:58:26.635451179Z',0
received_at,'2024-10-11T12:00:30.571247018Z',1
received_at,'2024-10-11T12:02:25.012696749Z',2
received_at,'2024-10-11T12:02:30.392187162Z',3
received_at,'2024-10-11T12:04:22.646049130Z',4
received_at,'2024-10-11T12:05:36.209323948Z',5
received_at,'2024-10-11T12:06:05.209187817Z',6
received_at,'2024-10-11T12:07:17.611412730Z',7
received_at,'2024-10-11T12:07:51.401974693Z',8
received_at,'2024-10-11T12:08:15.802245678Z',9
received_at,'2024-10-11T12:10:48.169952888Z',10
received_at,'2024-10-11T12:10:52.532694950Z',11
received_at,'2024-10-11T12:12:25.391709811Z',12
received_at,'2024-10-11T12:12:30.792986784Z',13
received_at,'2024-10-11T12:13:48.359229653Z',14
received_at,'2024-10-11T12:13:50.354819479Z',15
received_at,'2024-10-11T12:13:54.944539888Z',16
received_at,'2024-10-11T12:16:05.576223543Z',17
received_at,'2024-10-11T12:18:26.583595930Z',18
received_at,'2024-10-11T12:20:30.542622122Z',19
received_at,'2024-10-11T12:22:25.774539817Z',20
received_at,'2024-10-11T12:22:31.159350359Z',21
received_at,'2024-10-11T12:24:22.562031062Z',22
received_at,'2024-10-11T12:25:36.127854913Z',23
received_at,'2024-10-11T12:26:05.973363097Z',24
received_at,'2024-10-11T12:27:17.553672646Z',25
received_at,'2024-10-11T12:27:51.056355240Z',26
received_at,'2024-10-11T12:28:15.797358246Z',27
received_at,'2024-10-11T12:30:48.085205370Z',28
received_at,'2024-10-11T12:30:52.449800965Z',29
received_at,'2024-10-11T12:32:26.163242704Z',30
received_at,'2024-10-11T12:32:31.549142553Z',31
received_at,'2024-10-11T12:33:48.044820157Z',32
received_at,'2024-10-11T12:33:50.287368387Z',33
received_at,'2024-10-11T12:33:55.223189968Z',34
