end_device_ids.device_id,end_device_ids.application_ids.application_id,end_device_ids.dev_eui,end_device_ids.join_eui,end_device_ids.dev_addr,received_at
0,0,0,0,0,0
1,0,1,0,1,1
2,0,2,1,2,2
3,0,3,1,3,3
4,0,4,0,4,4
5,0,5,0,5,5
6,0,6,1,6,6
7,0,7,0,7,7
8,0,8,0,8,8
9,0,9,0,9,9
10,0,10,0,10,10
11,0,11,0,11,11
2,0,2,1,2,12
3,0,3,1,3,13
12,0,12,0,12,14
13,0,13,0,13,15
14,0,14,0,14,16
6,0,6,1,6,17
0,0,0,0,0,18
1,0,1,0,1,19
2,0,2,1,2,20
3,0,3,1,3,21
4,0,4,0,4,22
5,0,5,0,5,23
6,0,6,1,6,24
7,0,7,0,7,25
8,0,8,0,8,26
9,0,9,0,9,27
10,0,10,0,10,28
11,0,11,0,11,29
2,0,2,1,2,30
3,0,3,1,3,31
12,0,12,0,12,32
13,0,13,0,13,33
14,0,14,0,14,34
6,0,6,1,6,35
0,0,0,0,0,36
1,0,1,0,1,37
2,0,2,1,2,38
3,0,3,1,3,39
4,0,4,0,4,40
5,0,5,0,5,41
6,0,6,1,6,42
7,0,7,0,7,43
8,0,8,0,8,44
9,0,9,0,9,45
10,0,10,0,10,46
11,0,11,0,11,47
2,0,2,1,2,48
3,0,3,1,3,49
12,0,12,0,12,50
13,0,13,0,13,51
14,0,14,0,14,52
6,0,6,1,6,53
0,0,0,0,0,54
1,0,1,0,1,55
2,0,2,1,2,56
3,0,3,1,3,57
4,0,4,0,4,58
5,0,5,0,5,59
6,0,6,1,6,60
7,0,7,0,7,61
8,0,8,0,8,62
9,0,9,0,9,63
10,0,10,0,10,64
11,0,11,0,11,65
2,0,2,1,2,66
3,0,3,1,3,67
12,0,12,0,12,68
13,0,13,0,13,69
14,0,14,0,14,70
6,0,6,1,6,71
0,0,0,0,0,72
1,0,1,0,1,73
2,0,2,1,2,74
3,0,3,1,3,75
4,0,4,0,4,76
5,0,5,0,5,77
7,0,7,0,7,78
8,0,8,0,8,79
9,0,9,0,9,80
10,0,10,0,10,81
11,0,11,0,11,82
2,0,2,1,2,83
3,0,3,1,3,84
12,0,12,0,12,85
13,0,13,0,13,86
14,0,14,0,14,87
6,0,6,1,6,88
0,0,0,0,0,89
1,0,1,0,1,90
2,0,2,1,2,91
3,0,3,1,3,92
4,0,4,0,4,93
5,0,5,0,5,94
6,0,6,1,6,95
7,0,7,0,7,96
8,0,8,0,8,97
9,0,9,0,9,98
10,0,10,0,10,99
11,0,11,0,11,100
2,0,2,1,2,101
3,0,3,1,3,102
12,0,12,0,12,103
13,0,13,0,13,104
14,0,14,0,14,105
6,0,6,1,6,106
0,0,0,0,0,107
1,0,1,0,1,108
2,0,2,1,2,109
3,0,3,1,3,110
4,0,4,0,4,111
5,0,5,0,5,112
6,0,6,1,6,113
7,0,7,0,7,114
8,0,8,0,8,115
9,0,9,0,9,116
10,0,10,0,10,117
11,0,11,0,11,118
2,0,2,1,2,119
3,0,3,1,3,120
12,0,12,0,12,121
13,0,13,0,13,122
14,0,14,0,14,123
6,0,6,1,6,124
0,0,0,0,0,125
1,0,1,0,1,126
2,0,2,1,2,127
3,0,3,1,3,128
4,0,4,0,4,129
5,0,5,0,5,130
6,0,6,1,6,131
7,0,7,0,7,132
8,0,8,0,8,133
9,0,9,0,9,134
10,0,10,0,10,135
11,0,11,0,11,136
2,0,2,1,2,137
3,0,3,1,3,138
12,0,12,0,12,139
13,0,13,0,13,140
14,0,14,0,14,141
6,0,6,1,6,142
0,0,0,0,0,143
1,0,1,0,1,144
2,0,2,1,2,145
3,0,3,1,3,146
4,0,4,0,4,147
5,0,5,0,5,148
6,0,6,1,6,149
7,0,7,0,7,150
8,0,8,0,8,151
9,0,9,0,9,152
10,0,10,0,10,153
11,0,11,0,11,154
2,0,2,1,2,155
3,0,3,1,3,156
12,0,12,0,12,157
13,0,13,0,13,158
14,0,14,0,14,159
6,0,6,1,6,160
0,0,0,0,0,161
1,0,1,0,1,162
2,0,2,1,2,163
3,0,3,1,3,164
4,0,4,0,4,165
5,0,5,0,5,166
6,0,6,1,6,167
7,0,7,0,7,168
8,0,8,0,8,169
9,0,9,0,9,170
10,0,10,0,10,171
11,0,11,0,11,172
2,0,2,1,2,173
3,0,3,1,3,174
12,0,12,0,12,175
13,0,13,0,13,176
14,0,14,0,14,177
6,0,6,1,6,178
0,0,0,0,0,179
1,0,1,0,1,180
2,0,2,1,2,181
3,0,3,1,3,182
4,0,4,0,4,183
5,0,5,0,5,184
6,0,6,1,6,185
7,0,7,0,7,186
8,0,8,0,8,187
9,0,9,0,9,188
10,0,10,0,10,189
11,0,11,0,11,190
2,0,2,1,2,191
3,0,3,1,3,192
12,0,12,0,12,193
13,0,13,0,13,194
14,0,14,0,14,195
6,0,6,1,6,196
0,0,0,0,0,197
1,0,1,0,1,198
2,0,2,1,2,199
3,0,3,1,3,200
4,0,4,0,4,201
5,0,5,0,5,202
6,0,6,1,6,203
7,0,7,0,7,204
8,0,8,0,8,205
9,0,9,0,9,206
10,0,10,0,10,207
11,0,11,0,11,208
2,0,2,1,2,209
3,0,3,1,3,210
12,0,12,0,12,211
13,0,13,0,13,212
14,0,14,0,14,213
6,0,6,1,6,214
0,0,0,0,0,215
1,0,1,0,1,216
2,0,2,1,2,217
3,0,3,1,3,218
4,0,4,0,4,219
5,0,5,0,5,220
6,0,6,1,6,221
7,0,7,0,7,222
8,0,8,0,8,223
9,0,9,0,9,224
10,0,10,0,10,225
2,0,2,1,2,226
3,0,3,1,3,227
12,0,12,0,12,228
13,0,13,0,13,229
14,0,14,0,14,230
6,0,6,1,6,231
0,0,0,0,0,232
1,0,1,0,1,233
2,0,2,1,2,234
3,0,3,1,3,235
4,0,4,0,4,236
5,0,5,0,5,237
6,0,6,1,6,238
7,0,7,0,7,239
8,0,8,0,8,240
9,0,9,0,9,241
10,0,10,0,10,242
11,0,11,0,11,243
2,0,2,1,2,244
3,0,3,1,3,245
12,0,12,0,12,246
13,0,13,0,13,247
14,0,14,0,14,248
6,0,6,1,6,249
0,0,0,0,0,250
1,0,1,0,1,251
2,0,2,1,2,252
3,0,3,1,3,253
4,0,4,0,4,254
5,0,5,0,5,255
6,0,6,1,6,256
7,0,7,0,7,257
8,0,8,0,8,258
9,0,9,0,9,259
10,0,10,0,10,260
11,0,11,0,11,261
2,0,2,1,2,262
3,0,3,1,3,263
12,0,12,0,12,264
13,0,13,0,13,265
14,0,14,0,14,266
6,0,6,1,6,267
0,0,0,0,0,268
1,0,1,0,1,269
2,0,2,1,2,270
3,0,3,1,3,271
4,0,4,0,4,272
5,0,5,0,5,273
6,0,6,1,6,274
7,0,7,0,7,275
8,0,8,0,8,276
9,0,9,0,9,277
10,0,10,0,10,278
11,0,11,0,11,279
2,0,2,1,2,280
3,0,3,1,3,281
12,0,12,0,12,282
13,0,13,0,13,283
14,0,14,0,14,284
6,0,6,1,6,285
0,0,0,0,0,286
1,0,1,0,1,287
2,0,2,1,2,288
3,0,3,1,3,289
4,0,4,0,4,290
5,0,5,0,5,291
6,0,6,1,6,292
7,0,7,0,7,293
8,0,8,0,8,294
9,0,9,0,9,295
10,0,10,0,10,296
11,0,11,0,11,297
2,0,2,1,2,298
3,0,3,1,3,299
12,0,12,0,12,300
13,0,13,0,13,301
14,0,14,0,14,302
6,0,6,1,6,303
0,0,0,0,0,304
1,0,1,0,1,305
2,0,2,1,2,306
3,0,3,1,3,307
4,0,4,0,4,308
5,0,5,0,5,309
6,0,6,1,6,310
7,0,7,0,7,311
8,0,8,0,8,312
9,0,9,0,9,313
10,0,10,0,10,314
11,0,11,0,11,315
2,0,2,1,2,316
3,0,3,1,3,317
12,0,12,0,12,318
13,0,13,0,13,319
14,0,14,0,14,320
6,0,6,1,6,321
0,0,0,0,0,322
1,0,1,0,1,323
2,0,2,1,2,324
3,0,3,1,3,325
4,0,4,0,4,326
5,0,5,0,5,327
6,0,6,1,6,328
7,0,7,0,7,329
8,0,8,0,8,330
9,0,9,0,9,331
10,0,10,0,10,332
11,0,11,0,11,333
2,0,2,1,2,334
3,0,3,1,3,335
12,0,12,0,12,336
13,0,13,0,13,337
14,0,14,0,14,338
6,0,6,1,6,339
0,0,0,0,0,340
1,0,1,0,1,341
2,0,2,1,2,342
3,0,3,1,3,343
4,0,4,0,4,344
5,0,5,0,5,345
6,0,6,1,6,346
7,0,7,0,7,347
8,0,8,0,8,348
9,0,9,0,9,349
10,0,10,0,10,350
11,0,11,0,11,351
2,0,2,1,2,352
3,0,3,1,3,353
12,0,12,0,12,354
13,0,13,0,13,355
14,0,14,0,14,356
6,0,6,1,6,357
0,0,0,0,0,358
1,0,1,0,1,359
2,0,2,1,2,360
3,0,3,1,3,361
4,0,4,0,4,362
5,0,5,0,5,363
6,0,6,1,6,364
7,0,7,0,7,365
8,0,8,0,8,366
9,0,9,0,9,367
10,0,10,0,10,368
11,0,11,0,11,369
2,0,2,1,2,370
3,0,3,1,3,371
12,0,12,0,12,372
13,0,13,0,13,373
14,0,14,0,14,374
6,0,6,1,6,375
0,0,0,0,0,376
2,0,2,1,2,377
3,0,3,1,3,378
4,0,4,0,4,379
5,0,5,0,5,380
6,0,6,1,6,381
7,0,7,0,7,382
8,0,8,0,8,383
9,0,9,0,9,384
10,0,10,0,10,385
11,0,11,0,11,386
2,0,2,1,2,387
3,0,3,1,3,388
13,0,13,0,13,389
14,0,14,0,14,390
6,0,6,1,6,391
0,0,0,0,0,392
1,0,1,0,1,393
2,0,2,1,2,394
3,0,3,1,3,395
4,0,4,0,4,396
5,0,5,0,5,397
6,0,6,1,6,398
7,0,7,0,7,399
8,0,8,0,8,400
9,0,9,0,9,401
10,0,10,0,10,402
11,0,11,0,11,403
2,0,2,1,2,404
3,0,3,1,3,405
12,0,12,0,12,406
13,0,13,0,13,407
14,0,14,0,14,408
6,0,6,1,6,409
0,0,0,0,0,410
1,0,1,0,1,411
2,0,2,1,2,412
3,0,3,1,3,413
4,0,4,0,4,414
5,0,5,0,5,415
6,0,6,1,6,416
7,0,7,0,7,417
8,0,8,0,8,418
9,0,9,0,9,419
10,0,10,0,10,420
11,0,11,0,11,421
2,0,2,1,2,422
3,0,3,1,3,423
12,0,12,0,12,424
13,0,13,0,13,425
14,0,14,0,14,426
6,0,6,1,6,427
0,0,0,0,0,428
1,0,1,0,1,429
2,0,2,1,2,430
3,0,3,1,3,431
4,0,4,0,4,432
5,0,5,0,5,433
6,0,6,1,6,434
7,0,7,0,7,435
8,0,8,0,8,436
9,0,9,0,9,437
10,0,10,0,10,438
11,0,11,0,11,439
2,0,2,1,2,440
3,0,3,1,3,441
12,0,12,0,12,442
13,0,13,0,13,443
14,0,14,0,14,444
6,0,6,1,6,445
0,0,0,0,0,446
1,0,1,0,1,447
2,0,2,1,2,448
3,0,3,1,3,449
4,0,4,0,4,450
5,0,5,0,5,451
6,0,6,1,6,452
7,0,7,0,7,453
8,0,8,0,8,454
9,0,9,0,9,455
10,0,10,0,10,456
11,0,11,0,11,457
2,0,2,1,2,458
3,0,3,1,3,459
12,0,12,0,12,460
13,0,13,0,13,461
14,0,14,0,14,462
6,0,6,1,6,463
0,0,0,0,0,464
1,0,1,0,1,465
2,0,2,1,2,466
3,0,3,1,3,467
4,0,4,0,4,468
5,0,5,0,5,469
6,0,6,1,6,470
7,0,7,0,7,471
8,0,8,0,8,472
9,0,9,0,9,473
10,0,10,0,10,474
11,0,11,0,11,475
2,0,2,1,2,476
3,0,3,1,3,477
12,0,12,0,12,478
13,0,13,0,13,479
14,0,14,0,14,480
6,0,6,1,6,481
0,0,0,0,0,482
1,0,1,0,1,483
2,0,2,1,2,484
3,0,3,1,3,485
4,0,4,0,4,486
5,0,5,0,5,487
6,0,6,1,6,488
7,0,7,0,7,489
8,0,8,0,8,490
9,0,9,0,9,491
10,0,10,0,10,492
11,0,11,0,11,493
2,0,2,1,2,494
3,0,3,1,3,495
12,0,12,0,12,496
13,0,13,0,13,497
14,0,14,0,14,498
6,0,6,1,6,499
0,0,0,0,0,500
1,0,1,0,1,501
2,0,2,1,2,502
3,0,3,1,3,503
4,0,4,0,4,504
5,0,5,0,5,505
6,0,6,1,6,506
7,0,7,0,7,507
8,0,8,0,8,508
9,0,9,0,9,509
10,0,10,0,10,510
11,0,11,0,11,511
2,0,2,1,2,512
