id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0,0.59,0.56,0.58,0.60,0.59,0.57,0.58,0.57,0.58,0.58,0.58,0.59,0.59,0.58,0.60,0.58,0.59,0.59,0.59,0.59,0.60,0.60,0.58,0.59,0.57,14.62,0.58,false
1,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.001953125,0.57,0.54,0.55,0.57,0.58,0.56,0.57,0.55,0.55,0.56,0.55,0.56,0.57,0.56,0.58,0.57,0.57,0.58,0.56,0.57,0.58,0.58,0.55,0.58,0.54,14.10,0.56,false
2,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.00390625,0.63,0.62,0.62,0.61,0.61,0.63,0.63,0.60,0.63,0.62,0.63,0.63,0.62,0.62,0.61,0.62,0.63,0.61,0.63,0.62,0.61,0.63,0.62,0.62,0.63,15.53,0.62,false
3,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.005859375,0.62,0.60,0.59,0.59,0.59,0.61,0.61,0.57,0.60,0.58,0.61,0.60,0.60,0.59,0.58,0.59,0.59,0.58,0.60,0.59,0.60,0.60,0.58,0.59,0.60,14.86,0.59,false
4,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.0078125,0.53,0.50,0.52,0.54,0.56,0.52,0.53,0.53,0.52,0.53,0.52,0.53,0.54,0.53,0.54,0.53,0.54,0.54,0.53,0.53,0.53,0.55,0.53,0.54,0.52,13.28,0.53,false
5,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.009765625,0.53,0.50,0.52,0.54,0.54,0.51,0.52,0.52,0.51,0.53,0.51,0.52,0.53,0.52,0.54,0.52,0.52,0.53,0.53,0.53,0.54,0.53,0.52,0.54,0.52,13.12,0.52,false
6,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.01171875,0.62,0.62,0.62,0.61,0.62,0.63,0.62,0.62,0.62,0.62,0.61,0.62,0.60,0.61,0.61,0.60,0.62,0.61,0.63,0.61,0.61,0.63,0.60,0.62,0.60,15.38,0.62,false
7,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.013671875,0.54,0.52,0.52,0.53,0.53,0.53,0.52,0.52,0.51,0.52,0.50,0.51,0.52,0.52,0.51,0.51,0.53,0.51,0.53,0.53,0.54,0.52,0.53,0.53,0.53,13.06,0.52,false
8,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.015625,0.54,0.51,0.52,0.53,0.54,0.52,0.52,0.52,0.50,0.52,0.50,0.51,0.53,0.52,0.51,0.51,0.52,0.52,0.54,0.52,0.52,0.53,0.53,0.53,0.53,13.04,0.52,false
9,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.017578125,0.54,0.53,0.53,0.57,0.57,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.54,0.54,0.55,0.53,0.54,0.54,0.55,0.55,0.55,0.55,0.54,0.55,0.53,13.56,0.54,false
10,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.01953125,0.57,0.55,0.56,0.56,0.56,0.55,0.56,0.53,0.54,0.56,0.53,0.54,0.55,0.55,0.53,0.53,0.55,0.55,0.55,0.56,0.55,0.55,0.56,0.55,0.56,13.75,0.55,false
11,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.021484375,0.55,0.55,0.55,0.55,0.56,0.56,0.55,0.54,0.54,0.55,0.55,0.53,0.55,0.55,0.56,0.55,0.55,0.55,0.55,0.56,0.55,0.54,0.54,0.54,0.54,13.71,0.55,false
12,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.0234375,0.65,0.65,0.64,0.64,0.64,0.65,0.64,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.65,0.66,0.66,0.65,0.65,0.63,0.63,0.65,0.63,16.06,0.64,false
13,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.025390625,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.59,0.58,0.59,0.59,0.60,0.57,0.58,0.59,0.59,0.60,0.60,0.59,0.59,0.59,0.60,0.58,14.73,0.59,false
14,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.02734375,0.54,0.55,0.55,0.54,0.55,0.54,0.54,0.54,0.54,0.54,0.55,0.53,0.53,0.54,0.55,0.54,0.54,0.54,0.54,0.55,0.54,0.55,0.53,0.53,0.54,13.53,0.54,false
15,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.029296875,0.57,0.55,0.56,0.56,0.56,0.56,0.56,0.53,0.55,0.55,0.53,0.55,0.54,0.56,0.54,0.53,0.56,0.55,0.54,0.56,0.54,0.56,0.55,0.55,0.56,13.77,0.55,false
16,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.03125,0.52,0.51,0.52,0.51,0.52,0.52,0.52,0.50,0.51,0.51,0.49,0.49,0.49,0.51,0.50,0.50,0.52,0.50,0.49,0.50,0.51,0.51,0.51,0.52,0.50,12.68,0.51,false
17,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.033203125,0.61,0.60,0.61,0.60,0.60,0.60,0.61,0.61,0.61,0.62,0.59,0.61,0.61,0.61,0.61,0.60,0.61,0.60,0.60,0.60,0.61,0.61,0.60,0.61,0.61,15.15,0.61,false
18,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.03515625,0.51,0.50,0.51,0.50,0.51,0.50,0.50,0.49,0.50,0.50,0.48,0.48,0.49,0.50,0.48,0.49,0.51,0.49,0.48,0.49,0.49,0.51,0.49,0.51,0.50,12.41,0.50,false
19,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.037109375,0.51,0.49,0.50,0.52,0.51,0.49,0.51,0.49,0.50,0.50,0.49,0.49,0.50,0.50,0.51,0.48,0.51,0.48,0.49,0.50,0.49,0.51,0.48,0.50,0.50,12.45,0.50,false
20,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.0390625,0.59,0.58,0.57,0.57,0.57,0.58,0.57,0.59,0.58,0.57,0.57,0.57,0.57,0.58,0.57,0.57,0.59,0.57,0.57,0.57,0.57,0.59,0.56,0.57,0.58,14.37,0.57,false
21,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.041015625,0.57,0.56,0.54,0.55,0.55,0.55,0.55,0.56,0.55,0.55,0.56,0.55,0.55,0.56,0.55,0.55,0.56,0.55,0.55,0.55,0.55,0.57,0.54,0.54,0.56,13.82,0.55,false
22,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.04296875,0.50,0.49,0.50,0.49,0.50,0.48,0.50,0.49,0.49,0.49,0.48,0.48,0.49,0.48,0.51,0.48,0.50,0.48,0.48,0.48,0.48,0.49,0.46,0.50,0.49,12.21,0.49,false
23,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.044921875,0.55,0.56,0.54,0.56,0.56,0.55,0.55,0.53,0.55,0.56,0.54,0.54,0.53,0.55,0.55,0.55,0.57,0.55,0.53,0.56,0.54,0.55,0.55,0.54,0.54,13.70,0.55,false
24,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.046875,0.57,0.55,0.55,0.55,0.55,0.55,0.56,0.55,0.56,0.55,0.56,0.55,0.54,0.56,0.54,0.55,0.57,0.55,0.55,0.54,0.55,0.56,0.54,0.54,0.56,13.80,0.55,false
25,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.048828125,0.51,0.50,0.49,0.51,0.51,0.50,0.50,0.49,0.50,0.51,0.49,0.50,0.49,0.50,0.50,0.50,0.51,0.50,0.49,0.52,0.50,0.51,0.50,0.51,0.50,12.54,0.50,false
