iteration,precision,recall,f1Score,accuracy,trueNegativeRate,falsePositiveRate,mse
1,0.00,0.00,0.00,0.00,0.00,0.00,NaN
2,0.00,0.00,0.00,0.00,0.00,0.00,NaN
3,0.00,0.00,0.00,0.00,0.00,0.00,NaN
4,0.00,0.00,0.00,0.00,0.00,0.00,NaN
5,0.00,0.00,0.00,0.00,0.00,0.00,NaN
6,0.00,0.00,0.00,0.00,0.00,0.00,NaN
7,0.00,0.00,0.00,0.00,0.00,0.00,NaN
8,0.00,0.00,0.00,0.00,0.00,0.00,NaN
9,0.00,0.00,0.00,0.00,0.00,0.00,NaN
10,0.00,0.00,0.00,0.00,0.00,0.00,NaN
11,0.00,0.00,0.00,0.00,0.00,0.00,NaN
12,0.00,0.00,0.00,0.00,0.00,0.00,NaN
13,0.00,0.00,0.00,0.00,0.00,0.00,NaN
14,0.00,0.00,0.00,0.00,0.00,0.00,NaN
15,0.00,0.00,0.00,0.00,0.00,0.00,NaN
16,0.00,0.00,0.00,0.00,0.00,0.00,NaN
17,0.00,0.00,0.00,0.00,0.00,0.00,NaN
18,0.00,0.00,0.00,0.00,0.00,0.00,NaN
19,0.00,0.00,0.00,0.00,0.00,0.00,NaN
20,0.00,0.00,0.00,0.00,0.00,0.00,NaN
21,0.00,0.00,0.00,0.00,0.00,0.00,NaN
22,0.00,0.00,0.00,0.00,0.00,0.00,NaN
23,0.00,0.00,0.00,0.00,0.00,0.00,NaN
24,0.00,0.00,0.00,0.00,0.00,0.00,NaN
25,0.00,0.00,0.00,0.00,0.00,0.00,NaN
