id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
0,uplink_message.rx_metadata_0.time,0,received_at,0,0.54,0.56,0.55,0.57,0.57,0.54,0.55,0.57,0.55,0.58,0.58,0.57,0.57,0.55,0.57,0.58,0.56,0.55,0.57,0.56,0.56,0.54,0.56,0.55,0.58,14.03,0.56,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
1,uplink_message.rx_metadata_0.time,0.001953125,received_at,0.001953125,0.58,0.59,0.57,0.58,0.58,0.58,0.58,0.60,0.57,0.58,0.58,0.57,0.58,0.58,0.59,0.57,0.59,0.58,0.60,0.57,0.58,0.58,0.59,0.58,0.56,14.51,0.58,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
2,uplink_message.rx_metadata_0.time,0.00390625,received_at,0.00390625,0.56,0.56,0.53,0.53,0.55,0.55,0.53,0.55,0.53,0.53,0.54,0.53,0.55,0.55,0.53,0.53,0.53,0.53,0.55,0.55,0.54,0.55,0.56,0.53,0.54,13.53,0.54,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
3,uplink_message.rx_metadata_0.time,0.005859375,received_at,0.005859375,0.54,0.54,0.52,0.53,0.54,0.54,0.51,0.54,0.51,0.51,0.53,0.52,0.55,0.54,0.52,0.53,0.52,0.52,0.53,0.54,0.53,0.53,0.54,0.51,0.53,13.22,0.53,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
4,uplink_message.rx_metadata_0.time,0.0078125,received_at,0.0078125,0.57,0.55,0.54,0.55,0.57,0.56,0.56,0.56,0.53,0.54,0.55,0.56,0.56,0.55,0.56,0.56,0.55,0.54,0.55,0.56,0.55,0.55,0.55,0.55,0.55,13.82,0.55,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
5,uplink_message.rx_metadata_0.time,0.009765625,received_at,0.009765625,0.54,0.53,0.53,0.52,0.54,0.53,0.54,0.54,0.52,0.53,0.53,0.54,0.54,0.53,0.55,0.52,0.53,0.52,0.53,0.54,0.54,0.53,0.53,0.53,0.53,13.31,0.53,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
6,uplink_message.rx_metadata_0.time,0.01171875,received_at,0.01171875,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.57,0.54,0.54,0.55,0.55,0.57,0.55,0.57,0.55,0.55,0.56,0.57,0.55,0.56,0.56,0.56,0.54,0.54,13.90,0.56,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
7,uplink_message.rx_metadata_0.time,0.013671875,received_at,0.013671875,0.51,0.52,0.53,0.52,0.54,0.53,0.52,0.55,0.53,0.53,0.51,0.54,0.54,0.53,0.53,0.54,0.52,0.51,0.52,0.54,0.50,0.52,0.53,0.52,0.54,13.17,0.53,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.96,true
8,uplink_message.rx_metadata_0.time,0.015625,received_at,0.015625,0.51,0.52,0.51,0.51,0.53,0.51,0.52,0.53,0.50,0.53,0.51,0.53,0.54,0.51,0.54,0.52,0.51,0.51,0.51,0.53,0.52,0.52,0.53,0.51,0.52,12.98,0.52,true,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,true
9,uplink_message.rx_metadata_0.time,0.017578125,received_at,0.017578125,0.49,0.49,0.50,0.48,0.51,0.49,0.49,0.50,0.48,0.50,0.49,0.50,0.52,0.49,0.51,0.51,0.50,0.48,0.49,0.51,0.49,0.49,0.50,0.48,0.51,12.40,0.50,false,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0.24,true
