uplink_message.rx_metadata_0.gateway_ids.gateway_id,uplink_message.rx_metadata_0.gateway_ids.eui,uplink_message.rx_metadata_0.time,uplink_message.rx_metadata_0.timestamp,uplink_message.rx_metadata_0.rssi,uplink_message.rx_metadata_0.channel_rssi,uplink_message.rx_metadata_0.location.latitude,uplink_message.rx_metadata_0.location.longitude,uplink_message.rx_metadata_0.location.altitude,uplink_message.rx_metadata_0.location.source,uplink_message.rx_metadata_0.uplink_token,uplink_message.rx_metadata_0.received_at,received_at
'smartua-iot-r03','3436323818005700','2024-10-11T11:58:16.544213Z',3092399310,-98,-98,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABDOicnCCxoMCOKlpLgGELWi38wBILCJ84qAkOkB','2024-10-11T11:58:26.405707243Z','2024-10-11T11:58:26.635451179Z'
'smartua-iot-r05','3730392055004100','2024-10-11T12:00:14.750588Z',3216523680,-98,-98,38.38418726539637,-0.5101910233497621,10,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA1Egg3MDkgVQBBABCgg+H9CxoMCN6mpLgGEMPVia4BIICygb7Ok+kB','2024-10-11T12:00:30.338231860Z','2024-10-11T12:00:30.571247018Z'
'smartua-iot-r01','3133303726006500','2024-10-11T12:02:02.320220Z',1048476494,-103,-103,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABDO9vnzAxoMCNCnpLgGENzzxP0CILDRxvDB0ekB','2024-10-11T12:02:24.772123656Z','2024-10-11T12:02:25.012696749Z'
'smartua-iot-r01','3133303726006500','2024-10-11T12:02:07.701506Z',1053857086,-98,-98,38.3846865837538,-0.513212937943281,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAxEggxMzA3JgBlABC+qsL2AxoLCNanpLgGELvIrlcgsPSb9tXR6QE=','2024-10-11T12:02:30.155194983Z','2024-10-11T12:02:30.392187162Z'
'smartua-iot-r03','3436323818005700','2024-10-11T12:04:12.554874Z',3448411766,-90,-90,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABD2rKrsDBoMCMaopLgGELGh9dEBIPD57qqumukB','2024-10-11T12:04:22.416553319Z','2024-10-11T12:04:22.646049130Z'
'smartua-iot-r03','3436323818005700','2024-10-11T12:05:26.111757Z',3521968478,-91,-91,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABDe8rOPDRoMCI+ppLgGEL2r1NwDILCuuK3AnOkB','2024-10-11T12:05:35.975953523Z','2024-10-11T12:05:36.209323948Z'
'smartua-iot-r05','3730392055004100','2024-10-11T12:05:49.377371Z',3551153869,-97,-97,38.38418726539637,-0.5101910233497621,10,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjA1Egg3MDkgVQBBABDNnamdDRoMCKyppLgGEIzIydwDIMihj4qtnekB','2024-10-11T12:06:04.972602917Z','2024-10-11T12:06:05.209187817Z'
'smartua-iot-r03','3436323818005700','2024-10-11T12:07:07.511866Z',3623369446,-107,-107,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABDm9eC/DRoMCPWppLgGEMC9o78BIPCkmI26n+kB','2024-10-11T12:07:17.377464694Z','2024-10-11T12:07:17.611412730Z'
'smartua-iot-r03','3436323818005700','2024-10-11T12:07:41.295811Z',3657153550,-93,-93,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABCO+O7PDRoLCJeqpLgGEI+d8VggsK3a+reg6QE=','2024-10-11T12:07:51.162731845Z','2024-10-11T12:07:51.401974693Z'
'smartua-iot-r03','3436323818005700','2024-10-11T12:08:05.699385Z',3681557502,-102,-102,38.385917659159134,-0.5170252919197084,20,'SOURCE_REGISTRY','Ch0KGwoPc21hcnR1YS1pb3QtcjAzEgg0NjI4GABXABD+t8DbDRoMCK+qpLgGEPnghZoCILCwte+SoekB','2024-10-11T12:08:15.567818543Z','2024-10-11T12:08:15.802245678Z'
